Source,Target,Weight,Type
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Mercier_1771_L'an 2440_3,2,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Mercier_1771_L'an 2440_4,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Mercier_1782-1788_Tableau Paris - 2e ed t 2_1,3,undirected
Goudar_1757_L'histoire des Grecs_1,Goudar_1757_L'histoire des Grecs_2,4,undirected
Goudar_1757_L'histoire des Grecs_1,Goudar_1757_L'histoire des Grecs_3,5,undirected
Goudar_1757_L'histoire des Grecs_1,Goudar_1757_L'histoire des Grecs_4,2,undirected
Goudar_1757_L'histoire des Grecs_1,Goudar_1757_La paix de l'Europe_1,1,undirected
Goudar_1757_L'histoire des Grecs_1,Goudar_1757_La paix de l'Europe_3,1,undirected
Goudar_1757_L'histoire des Grecs_2,Goudar_1757_L'histoire des Grecs_1,4,undirected
Goudar_1757_L'histoire des Grecs_2,Goudar_1757_L'histoire des Grecs_3,6,undirected
Goudar_1757_L'histoire des Grecs_2,Goudar_1757_L'histoire des Grecs_4,1,undirected
Goudar_1757_L'histoire des Grecs_2,Goudar_1757_L'histoire des Grecs_5,1,undirected
Goudar_1757_L'histoire des Grecs_3,Goudar_1757_L'histoire des Grecs_1,5,undirected
Goudar_1757_L'histoire des Grecs_3,Goudar_1757_L'histoire des Grecs_2,6,undirected
Goudar_1757_L'histoire des Grecs_3,Goudar_1757_L'histoire des Grecs_4,3,undirected
Goudar_1757_L'histoire des Grecs_3,Goudar_1757_L'histoire des Grecs_5,2,undirected
Goudar_1757_L'histoire des Grecs_3,Goudar_1757_La paix de l'Europe_2,1,undirected
Goudar_1757_L'histoire des Grecs_4,Goudar_1757_L'histoire des Grecs_1,2,undirected
Goudar_1757_L'histoire des Grecs_4,Goudar_1757_L'histoire des Grecs_2,1,undirected
Goudar_1757_L'histoire des Grecs_4,Goudar_1757_L'histoire des Grecs_3,3,undirected
Goudar_1757_L'histoire des Grecs_4,Goudar_1757_L'histoire des Grecs_5,6,undirected
Goudar_1757_L'histoire des Grecs_5,Goudar_1757_L'histoire des Grecs_2,1,undirected
Goudar_1757_L'histoire des Grecs_5,Goudar_1757_L'histoire des Grecs_3,2,undirected
Goudar_1757_L'histoire des Grecs_5,Goudar_1757_L'histoire des Grecs_4,6,undirected
Goudar_1757_La paix de l'Europe_1,Goudar_1757_L'histoire des Grecs_1,1,undirected
Goudar_1757_La paix de l'Europe_1,Goudar_1757_La paix de l'Europe_2,6,undirected
Goudar_1757_La paix de l'Europe_1,Goudar_1757_La paix de l'Europe_3,4,undirected
Goudar_1757_La paix de l'Europe_1,PseudoBrissot_1789_Plan de Municipalité_1,1,undirected
Goudar_1757_La paix de l'Europe_2,Goudar_1757_L'histoire des Grecs_3,1,undirected
Goudar_1757_La paix de l'Europe_2,Goudar_1757_La paix de l'Europe_1,6,undirected
Goudar_1757_La paix de l'Europe_2,Goudar_1757_La paix de l'Europe_3,5,undirected
Goudar_1757_La paix de l'Europe_3,Goudar_1757_L'histoire des Grecs_1,1,undirected
Goudar_1757_La paix de l'Europe_3,Goudar_1757_La paix de l'Europe_1,4,undirected
Goudar_1757_La paix de l'Europe_3,Goudar_1757_La paix de l'Europe_2,5,undirected
Goudar_1757_La paix de l'Europe_3,PseudoBrissot_1789_Plan de Municipalité_1,2,undirected
Hébert_1789-1790_Almanach parisien_1,Hébert_1789-1790_Almanach parisien_2,1,undirected
Hébert_1789-1790_Almanach parisien_1,Hébert_1789-1790_Almanach parisien_9,6,undirected
Hébert_1789-1790_Almanach parisien_1,Hébert_1789-1790_Almanach parisien_10,3,undirected
Hébert_1789-1790_Almanach parisien_2,Hébert_1789-1790_Almanach parisien_1,1,undirected
Hébert_1789-1790_Almanach parisien_2,Hébert_1789-1790_Almanach parisien_9,3,undirected
Hébert_1789-1790_Almanach parisien_2,Hébert_1789-1790_Almanach parisien_10,6,undirected
Hébert_1789-1790_Almanach parisien_2,Hébert_1789-1790_Almanach parisien_11,2,undirected
Hébert_1789-1790_Almanach parisien_3,Hébert_1789-1790_Almanach parisien_4,2,undirected
Hébert_1789-1790_Almanach parisien_3,Hébert_1789-1790_Almanach parisien_6,2,undirected
Hébert_1789-1790_Almanach parisien_3,Hébert_1789-1790_Almanach parisien_11,6,undirected
Hébert_1789-1790_Almanach parisien_3,Hébert_1789-1790_Almanach parisien_12,2,undirected
Hébert_1789-1790_Almanach parisien_3,Hébert_1789-1790_Almanach parisien_14,2,undirected
Hébert_1789-1790_Almanach parisien_4,Hébert_1789-1790_Almanach parisien_3,2,undirected
Hébert_1789-1790_Almanach parisien_4,Hébert_1789-1790_Almanach parisien_6,1,undirected
Hébert_1789-1790_Almanach parisien_4,Hébert_1789-1790_Almanach parisien_12,6,undirected
Hébert_1789-1790_Almanach parisien_5,Hébert_1789-1790_Almanach parisien_6,1,undirected
Hébert_1789-1790_Almanach parisien_5,Hébert_1789-1790_Almanach parisien_13,6,undirected
Hébert_1789-1790_Almanach parisien_5,Hébert_1789-1790_Almanach parisien_14,4,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_3,2,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_4,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_5,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_7,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_11,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_12,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_13,1,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_14,6,undirected
Hébert_1789-1790_Almanach parisien_6,Hébert_1789-1790_Almanach parisien_15,4,undirected
Hébert_1789-1790_Almanach parisien_7,Hébert_1789-1790_Almanach parisien_6,1,undirected
Hébert_1789-1790_Almanach parisien_7,Hébert_1789-1790_Almanach parisien_13,3,undirected
Hébert_1789-1790_Almanach parisien_7,Hébert_1789-1790_Almanach parisien_15,6,undirected
Hébert_1789-1790_Almanach parisien_8,Hébert_1789-1790_Almanach parisien_9,2,undirected
Hébert_1789-1790_Almanach parisien_8,Hébert_1789-1790_Almanach parisien_10,1,undirected
Hébert_1789-1790_Almanach parisien_8,Hébert_1789-1790_Almanach parisien_16,6,undirected
Hébert_1789-1790_Almanach parisien_9,Hébert_1789-1790_Almanach parisien_1,6,undirected
Hébert_1789-1790_Almanach parisien_9,Hébert_1789-1790_Almanach parisien_2,3,undirected
Hébert_1789-1790_Almanach parisien_9,Hébert_1789-1790_Almanach parisien_8,2,undirected
Hébert_1789-1790_Almanach parisien_9,Hébert_1789-1790_Almanach parisien_10,1,undirected
