Source,Target,Weight,Type
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Brissot_1780_Recherches philosophiques sur le droit de propriété_2,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Brissot_1780_Recherches philosophiques sur le droit de propriété_9,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_1,Brissot_1780_Recherches philosophiques sur le droit de propriété_45,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_1,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_27,4,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_31,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_43,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_45,2,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_46,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_2,Brissot_1780_Recherches philosophiques sur le droit de propriété_49,4,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_9,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_12,6,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_19,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_22,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_24,5,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_25,2,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_36,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_43,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_44,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_47,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_49,4,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_3,Brissot_1780_Recherches philosophiques sur le droit de propriété_50,3,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_4,Brissot_1780_Recherches philosophiques sur le droit de propriété_10,2,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_4,Brissot_1780_Recherches philosophiques sur le droit de propriété_32,4,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_4,Brissot_1780_Recherches philosophiques sur le droit de propriété_38,1,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_4,Brissot_1780_Recherches philosophiques sur le droit de propriété_45,6,undirected
Brissot_1780_Recherches philosophiques sur le droit de propriété_5,Brissot_1780_Recherches philosophiques sur le droit de propriété_6,4,undirected
