Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Document numérique | NUMM-6293162 |;1;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P87/89 |;2;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB42-2192 |;3;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB42-2192 |;4;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | LB42-2192 |;5;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P87/89 |;6;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30163031s;30163031;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P87/89 |;7;L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;R. Vatar (Paris);1798-1799;;France -- 1795-1799 (Directoire);;fre | français | ;"[1]-22 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb328009653 | ISSN 26061139 |;32800965;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Document numérique | NUMP-25542 |;1;Journal du Licée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;"chez Perisse le jeune, libraire, correspondant général du Licée de Londres, rue du Marché-Neuf, près du notaire. Se trouve à Londres, au Bureau-général du Licée, N°. 26 Newman-Street, Oxford-Street ; & chez M. Walter, libraire, Gharing [sic] Cross M. Elmsley, libraire, dans le Strand. Avec approbation & privilége du Roi (A Paris)";1784-1785;"Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Par J. P. Brissot de Warville | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Licée de Londres, ou Tableau de l'état des sciences et des arts en Angleterre ; comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Lycée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre | ";;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328009653 | ISSN 26061139 |;32800965;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Haut-de-jardin - communication en banque de salle | 12480 |;2;Journal du Licée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;"chez Perisse le jeune, libraire, correspondant général du Licée de Londres, rue du Marché-Neuf, près du notaire. Se trouve à Londres, au Bureau-général du Licée, N°. 26 Newman-Street, Oxford-Street ; & chez M. Walter, libraire, Gharing [sic] Cross M. Elmsley, libraire, dans le Strand. Avec approbation & privilége du Roi (A Paris)";1784-1785;"Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Par J. P. Brissot de Warville | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Licée de Londres, ou Tableau de l'état des sciences et des arts en Angleterre ; comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Lycée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre | ";;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328009653 | ISSN 26061139 |;32800965;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-10466 |;3;Journal du Licée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte;;"chez Perisse le jeune, libraire, correspondant général du Licée de Londres, rue du Marché-Neuf, près du notaire. Se trouve à Londres, au Bureau-général du Licée, N°. 26 Newman-Street, Oxford-Street ; & chez M. Walter, libraire, Gharing [sic] Cross M. Elmsley, libraire, dans le Strand. Avec approbation & privilége du Roi (A Paris)";1784-1785;"Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Par J. P. Brissot de Warville | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre | Variante(s) de titre : Tableau de l'état présent des sciences et des arts en Angleterre. Comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Licée de Londres, ou Tableau de l'état des sciences et des arts en Angleterre ; comprenant le tableau littéraire, politique & civil de l'Angleterre | Variante(s) de titre : Journal du Lycée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre | ";;;fre | français | ;;
