Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb37236072m;37236072;monographie;texte imprimé;Document numérique | NUMM-45693 | ;1;Lettre pastorale de l'évêque du Calvados, et la traduction de sa lettre de communion adressée à notre saint père le Pape ([Reprod.]) Claude Fauchet;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1791;"Collection : Les archives de la Révolution française ; 8.826";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372360749;37236074;monographie;texte imprimé;Document numérique | NUMM-45696 | ;1;Lettre circulaire de M. Fauchet, évêque de Calvados, envoyée par lui à tous les curés de son diocèse, à tous les clubs et à toutes les sociétés du département ([Reprod.]) Claude Fauchet;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1791;"Collection : Les archives de la Révolution française ; 8.830";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372354834;37235483;monographie;texte imprimé;Document numérique | NUMM-45464 | ;1;L' interprète infidèle des saintes écritures ou Analyse raisonnée du sermon sur l'accord de la religion & de la liberté ([Reprod.]) par Claude Fauchet;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1791;"Collection : Les archives de la Révolution française ; 8.594";Liberté -- Christianisme;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37234905g;37234905;monographie;texte imprimé;Document numérique | NUMM-45909 | ;1;Sermon sur l'accord de la religion et de la liberté prononcé dans la métropole de Paris, le 4 février 1791, pour la solemnité civique des anciens représentans de la Commune, en mémoire de ce qu'à pareil jour, le Roi vint à l'Assemblée nationale reconnaître la souveraineté du peuple ([Reprod.]) Claude Lauchet, prédicateur du Roi,...;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1791;"Collection : Les archives de la Révolution française ; 8.1053";France. Assemblée nationale constituante. Constitution civile du clergé;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372523319;37252331;monographie;texte imprimé;Document numérique | NUMM-52112 | ;1;"Recueil de l'origine de la langue et poésie françoise, ryme et romans ; plus Les noms et sommaire des oeuvres de CXXVII. poetes françois, vivans avant l'an M.CCC. ([Reprod.]) [Claude Fauchet,...]";Fauchet, Claude (1530-1602). Auteur du texte;;Omnisys (Cambridge (Mass.));1581;"Collection : French books before 1601 ; 1.7";Français (langue) -- 16e siècle | Poésie française -- Avant 1500 | ;;frm | français moyen  | ;"1 microfilm ; 35 mm";
http://catalogue.bnf.fr/ark:/12148/cb37234731g;37234731;monographie;texte imprimé;Document numérique | NUMM-50596 | ;1;"Recueil de l'origine de la langue et poésie françoise, ryme et romans ; plus Les noms et sommaire des oeuvres de CXXVII. poetes françois, vivans avant l'an M.CCC. ([Reprod.]) [Claude Fauchet,...]";Fauchet, Claude (1530-1602). Auteur du texte;;France-Expansion (Paris);1581;"Collection : Archives de la linguistique française ; 150";Français (langue) -- 16e siècle | Poésie française -- Avant 1500 | ;;frm | français moyen  | ;"3 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb354059086;35405908;monographie;texte imprimé;Document numérique | NUMM-4401 | ;1;Recueil de l'origine de la langue et poésie française : rime et romans ([Reproduction en fac-similé]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1581;;Français (langue) -- 16e siècle | Poésie française -- 16e siècle | ;;fre | français | ;"1 vol. (209 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb354059086;35405908;monographie;texte imprimé;Tolbiac | libre-accès Haut-de-jardin | Littérature et art | Salle H | Littératures d'expression française | 84/31 FAUC 4 recu | ;2;Recueil de l'origine de la langue et poésie française : rime et romans ([Reproduction en fac-similé]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1581;;Français (langue) -- 16e siècle | Poésie française -- 16e siècle | ;;fre | français | ;"1 vol. (209 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb354059086;35405908;monographie;texte imprimé;Tolbiac | libre-accès | Littérature et art | Salle V | Littératures d'expression française | 84/31 FAUC 4 recu | ;3;Recueil de l'origine de la langue et poésie française : rime et romans ([Reproduction en fac-similé]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1581;;Français (langue) -- 16e siècle | Poésie française -- 16e siècle | ;;fre | français | ;"1 vol. (209 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb354059086;35405908;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-X-29755 | ;4;Recueil de l'origine de la langue et poésie française : rime et romans ([Reproduction en fac-similé]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1581;;Français (langue) -- 16e siècle | Poésie française -- 16e siècle | ;;fre | français | ;"1 vol. (209 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Document numérique | NUMM-4399 | ;1;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Document numérique | NUMM-4400 | ;2;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Tolbiac | libre-accès | Littérature et art | Salle V | Littératures d'expression française | 84/31 FAUC 2 o1 | Partie 1 | ;3;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Tolbiac | libre-accès | Littérature et art | Salle V | Littératures d'expression française | 84/31 FAUC 2 o2 | Partie 2 | ;4;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 2000-233786 | ;5;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb374005999;37400599;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 2000-233785 | ;6;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);1610;;;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb37238455m;37238455;monographie;texte imprimé;Document numérique | NUMM-42156 | ;1;Mémoire à messieurs du Comité de constitution de l'Assemblée nationale, sur la question de savoir si les administrateurs provisoires de la municipalité doivent rendre leurs premiers comptes aux représentans provisoires de la commune de Paris ([Reprod.]) [signé : l'Abbé Fauchet,...];Fauchet, Claude (1744-1793). Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 9.1.303";Administrateurs provisoires -- Paris (France);;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37235211q;37235211;monographie;texte imprimé;Document numérique | NUMM-45875 | ;1;Troisième discours sur la liberté françoise, prononcé le dimanche 27 septembre 1789, dans l'église de Notre-Dame... ([Reprod.]) par M. l'Abbé Fauchet,...;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 8.1018 | [Discours. 1789-09-27] | ";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372352064;37235206;monographie;texte imprimé;Document numérique | NUMM-45873 | ;1;Discours sur la liberté françoise, prononcé le mercredi 5 août 1789, dans l'église paroissiale de S. Jacques... ([Reprod.]) par M. l'Abbé Fauchet,...;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 8.1016 | [Discours. 1789-08-05] | ";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37235208t;37235208;monographie;texte imprimé;Document numérique | NUMM-45874 | ;1;Second discours sur la liberté françoise, prononcé le 31 août 1789, dans l'église paroissiale de Sainte-Marguerite... ([Reprod.]) par M. l'Abbé Fauchet,...;Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 8.1017 | [Discours. 1789-08-31] | ";;;fre | français | ;"1 microfiche ; 105*148 mm";
