Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Document numérique | IFN-8613394 | ;1;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Document numérique | IFN-8613395 | ;2;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | SMITH LESOUEF R-1916 | ;3;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | SMITH LESOUEF R-1917 | ;4;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES P-Y2-2325 (1) | ;5;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES P-Y2-2325 (2) | ;6;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-49150 (2) | ;7;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-49150 (4) | ;8;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-49161 | ;9;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30238973z;30238973;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-49162 | ;10;Les Liaisons dangereuses, ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres . Par M. C..... de L... Premiere [-quatrieme] partie;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte;;"A Amsterdam ; et se trouve à Paris, chez Durand neveu, libraire, à la Sagesse, rue Galande. M.DCC.LXXXII [1782]";1782;;;;fre | français | ;"4 t. en 2 vol. (248-242 ; 231-257 p.) ; in-12";
