Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb372346289;37234628;monographie;texte imprimé;Document numérique | NUMM-41457 | ;1;Sur le dix-huit brumaire : à Sieyès et à Bonaparte ([Reprod.]) par Lacretelle aîné;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Micro Graphix;1799;"Collection : Les archives de la Révolution française ; 6.2.1968";France -- 1799 (Coup d'état du 18 Brumaire);;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372418588;37241858;monographie;texte imprimé;Document numérique | NUMM-57150 | ;1;De l'établissement des connoissances humaines, et de l'instruction publique dans la Constitution française ([Reprod.]) [P.-L. Lacretelle];Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Micro Graphix;1791;"Collection : Les archives de la Révolution française ; 12.1022";Éducation -- France;;fre | français | ;"5 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb340287784;34028778;monographie;texte imprimé;Document numérique | NUMM-6309727 | ;1;Sur le dix-huit brumaire. A sieyès et à Bonaparte par Lacretelle aîné;;Lacretelle, Pierre-Louis (1751-1824). Fonction indéterminée;chez les marchands-nouveautés (Paris);1794;;France (1795-1799, Directoire);;fre | français | ;In-8°;
http://catalogue.bnf.fr/ark:/12148/cb340287784;34028778;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB42-809 (A) | ;2;Sur le dix-huit brumaire. A sieyès et à Bonaparte par Lacretelle aîné;;Lacretelle, Pierre-Louis (1751-1824). Fonction indéterminée;chez les marchands-nouveautés (Paris);1794;;France (1795-1799, Directoire);;fre | français | ;In-8°;
http://catalogue.bnf.fr/ark:/12148/cb37261217f;37261217;monographie;texte imprimé;Document numérique | NUMM-47487 | ;1;De la convocation de la prochaine tenue des Etats généraux en France ([Reprod.]) par M. de Lacretelle;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Pergamon press;1788;"Collection : Les archives de la Révolution française ; 5.553";France. États généraux;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb307102815;30710281;monographie;texte imprimé;Document numérique | NUMM-6266408 | ;1;Du système du gouvernement pendant la session actuelle et de l'affermissement de la constitution par la préférence de la réélection sur le tirage au sort pour les deux tiers conventionels . Par P.-L. Lacretelle aîné;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Du Pont (Paris);1797;;;;fre | français | ;"2 fasc. en 1 vol. (195-[3]-41 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb307102815;30710281;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB42-1328 | ;2;Du système du gouvernement pendant la session actuelle et de l'affermissement de la constitution par la préférence de la réélection sur le tirage au sort pour les deux tiers conventionels . Par P.-L. Lacretelle aîné;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Du Pont (Paris);1797;;;;fre | français | ;"2 fasc. en 1 vol. (195-[3]-41 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30710262w;30710262;monographie;texte imprimé;Document numérique | NUMM-9761330 | ;1;Fragmens politiques et littéraires , par P.-L. Lacretelle aîné...;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Foulon (Paris) | A. Eymeri (Paris) | Delaunay [etc.] (Paris) | ;1817;"Comprend : I. Politique ; II. Littérature";;;fre | français | ;"2 vol. (XXXI-[1]-356, XVII-[1]-376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30710262w;30710262;monographie;texte imprimé;Document numérique | NUMM-9762316 | ;2;Fragmens politiques et littéraires , par P.-L. Lacretelle aîné...;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Foulon (Paris) | A. Eymeri (Paris) | Delaunay [etc.] (Paris) | ;1817;"Comprend : I. Politique ; II. Littérature";;;fre | français | ;"2 vol. (XXXI-[1]-356, XVII-[1]-376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30710262w;30710262;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-52551 | ;3;Fragmens politiques et littéraires , par P.-L. Lacretelle aîné...;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Foulon (Paris) | A. Eymeri (Paris) | Delaunay [etc.] (Paris) | ;1817;"Comprend : I. Politique ; II. Littérature";;;fre | français | ;"2 vol. (XXXI-[1]-356, XVII-[1]-376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30710262w;30710262;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-52552 | ;4;Fragmens politiques et littéraires , par P.-L. Lacretelle aîné...;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Foulon (Paris) | A. Eymeri (Paris) | Delaunay [etc.] (Paris) | ;1817;"Comprend : I. Politique ; II. Littérature";;;fre | français | ;"2 vol. (XXXI-[1]-356, XVII-[1]-376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb346984465;34698446;monographie;texte imprimé;Document numérique | NUMM-85432 | ;1;De l'établissement des connoissances humaines et de l'instruction publique, dans la Constitution française ([Reprod.]) par P.L. Lacretelle;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"4 microfiches acétate de 49 images, diazoïques ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346984465;34698446;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 6767 | ;2;De l'établissement des connoissances humaines et de l'instruction publique, dans la Constitution française ([Reprod.]) par P.L. Lacretelle;Lacretelle, Pierre-Louis (1751-1824). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"4 microfiches acétate de 49 images, diazoïques ; 105 * 148 mm";
