Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb308878876;30887887;monographie;texte imprimé;Document numérique | NUMM-5414984 | ;1;Vers sur la naissance de Mgr. le duc d'Aquitaine , par M. Marmontel...;Marmontel, Jean-François (1723-1799). Auteur du texte;;S. Jorry (Paris);1753;;;;fre | français | ;"6 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb308878876;30887887;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-3514 | ;2;Vers sur la naissance de Mgr. le duc d'Aquitaine , par M. Marmontel...;Marmontel, Jean-François (1723-1799). Auteur du texte;;S. Jorry (Paris);1753;;;;fre | français | ;"6 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb308878380;30887838;monographie;texte imprimé;Document numérique | NUMM-6362240 | ;1;Les solitaires de Murcie, ou Histoire de deux amans . Par Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;Aubry (Paris);;;;;fre | français | ;"144 p. : ill. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb308878380;30887838;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51491 | ;2;Les solitaires de Murcie, ou Histoire de deux amans . Par Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;Aubry (Paris);;;;;fre | français | ;"144 p. : ill. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30887961s;30887961;monographie;texte imprimé;Document numérique | NUMM-1177786 | ;1;"Les Incas ou la destruction de l'empire du Pérou ; précédée du Discours de réception de Marmontel à l'Académie française (Nouvelle édition corrigée) par Marmontel";Marmontel, Jean-François (1723-1799). Auteur du texte;;E. Ducrocq (Paris);1864;Collection : Bibliothèque illustrée des familles;;;fre | français | ;"1 vol. (XXIV-300 p.) : fig. ; in-18";
http://catalogue.bnf.fr/ark:/12148/cb30887961s;30887961;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51477 | ;2;"Les Incas ou la destruction de l'empire du Pérou ; précédée du Discours de réception de Marmontel à l'Académie française (Nouvelle édition corrigée) par Marmontel";Marmontel, Jean-François (1723-1799). Auteur du texte;;E. Ducrocq (Paris);1864;Collection : Bibliothèque illustrée des familles;;;fre | français | ;"1 vol. (XXIV-300 p.) : fig. ; in-18";
http://catalogue.bnf.fr/ark:/12148/cb30887888j;30887888;monographie;texte imprimé;Document numérique | NUMM-5493724 | ;1;La voix des pauvres, épître au Roi sur l'incendie de l'Hôtel-Dieu . Par M. Marmontel,...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Valade (Paris);1773;;;;fre | français | ;"16 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30887888j;30887888;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-9940 | ;2;La voix des pauvres, épître au Roi sur l'incendie de l'Hôtel-Dieu . Par M. Marmontel,...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Valade (Paris);1773;;;;fre | français | ;"16 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30887888j;30887888;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-27324 | ;3;La voix des pauvres, épître au Roi sur l'incendie de l'Hôtel-Dieu . Par M. Marmontel,...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Valade (Paris);1773;;;;fre | français | ;"16 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30887888j;30887888;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-55011 | ;4;La voix des pauvres, épître au Roi sur l'incendie de l'Hôtel-Dieu . Par M. Marmontel,...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Valade (Paris);1773;;;;fre | français | ;"16 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb38765368k;38765368;monographie;texte imprimé;Document numérique | NUMM-131662 | ;1;Zémire et Azor, comédie ballet... / les paroles sont de M. Marmontel...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Didot ainé (Paris);1774;;;;fre | français | ;In-12;
http://catalogue.bnf.fr/ark:/12148/cb38765368k;38765368;monographie;texte imprimé;ARS | Arsenal | magasin | GD-22645 | ;2;Zémire et Azor, comédie ballet... / les paroles sont de M. Marmontel...;Marmontel, Jean-François (1723-1799). Auteur du texte;;Didot ainé (Paris);1774;;;;fre | français | ;In-12;
http://catalogue.bnf.fr/ark:/12148/cb30887815b;30887815;monographie;texte imprimé;Document numérique | NUMM-6375409 | ;1;Contes moraux , par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;[s.n.] (Londres);1780;;;;fre | français | ;"3 vol. : titre et pl. gravées, portrait par Cochin ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb30887815b;30887815;monographie;texte imprimé;Document numérique | NUMM-6413803 | ;2;Contes moraux , par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;[s.n.] (Londres);1780;;;;fre | français | ;"3 vol. : titre et pl. gravées, portrait par Cochin ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb30887815b;30887815;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51365 | ;3;Contes moraux , par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;[s.n.] (Londres);1780;;;;fre | français | ;"3 vol. : titre et pl. gravées, portrait par Cochin ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb30887815b;30887815;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51366 | ;4;Contes moraux , par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;[s.n.] (Londres);1780;;;;fre | français | ;"3 vol. : titre et pl. gravées, portrait par Cochin ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb30887815b;30887815;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51367 | ;5;Contes moraux , par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;[s.n.] (Londres);1780;;;;fre | français | ;"3 vol. : titre et pl. gravées, portrait par Cochin ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb308878369;30887836;monographie;texte imprimé;Document numérique | NUMM-5842704 | ;1;Les Déjeunés du village, ou les Aventures de l'innocence, par M. Marmontel, pour faire suite à "La Veillée" du même auteur;Marmontel, Jean-François (1723-1799). Auteur du texte;;J.-A. Latour (Liége);1791;;;;fre | français | ;In-12, 99 p.;
http://catalogue.bnf.fr/ark:/12148/cb308878369;30887836;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-75866 | ;2;Les Déjeunés du village, ou les Aventures de l'innocence, par M. Marmontel, pour faire suite à "La Veillée" du même auteur;Marmontel, Jean-François (1723-1799). Auteur du texte;;J.-A. Latour (Liége);1791;;;;fre | français | ;In-12, 99 p.;
http://catalogue.bnf.fr/ark:/12148/cb30887937x;30887937;monographie;texte imprimé;Document numérique | NUMM-148924 | ;1;Les Incas, ou la Destruction de l'empire du Pérou, par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;J. Bossange et Tenon (Paris);1821;;;;fre | français | ;2 vol. in-32, frontisp. gravés;
http://catalogue.bnf.fr/ark:/12148/cb30887937x;30887937;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51438 | ;2;Les Incas, ou la Destruction de l'empire du Pérou, par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;J. Bossange et Tenon (Paris);1821;;;;fre | français | ;2 vol. in-32, frontisp. gravés;
http://catalogue.bnf.fr/ark:/12148/cb30887937x;30887937;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-51439 | ;3;Les Incas, ou la Destruction de l'empire du Pérou, par M. Marmontel;Marmontel, Jean-François (1723-1799). Auteur du texte;;J. Bossange et Tenon (Paris);1821;;;;fre | français | ;2 vol. in-32, frontisp. gravés;
http://catalogue.bnf.fr/ark:/12148/cb308878845;30887884;monographie;texte imprimé;Document numérique | NUMM-6479801 | ;1;"La neuvaine de Cythère / par Marmontel,... ; avec notice par M. Charles Monselet";Marmontel, Jean-François (1723-1799). Auteur du texte;Monselet, Charles (1825-1888). Rédaction d'une notice descriptive;A. Barraud (Paris);1879;;;;fre | français | ;"1 vol. (XII-158 p.) : portrait par Cochin, vignettes ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb308878845;30887884;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-27321 | ;2;"La neuvaine de Cythère / par Marmontel,... ; avec notice par M. Charles Monselet";Marmontel, Jean-François (1723-1799). Auteur du texte;Monselet, Charles (1825-1888). Rédaction d'une notice descriptive;A. Barraud (Paris);1879;;;;fre | français | ;"1 vol. (XII-158 p.) : portrait par Cochin, vignettes ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb30887964t;30887964;monographie;texte imprimé;Document numérique | NUMM-1414914 | ;1;"L'empire du Pérou, ou les Incas / par Marmontel ; édition revue par A. R.";Marmontel, Jean-François (1723-1799). Auteur du texte;;Ardant frères (Limoges);1881;;;;fre | français | ;"1 vol. (240 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb30887964t;30887964;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Y2-12960 | ;2;"L'empire du Pérou, ou les Incas / par Marmontel ; édition revue par A. R.";Marmontel, Jean-François (1723-1799). Auteur du texte;;Ardant frères (Limoges);1881;;;;fre | français | ;"1 vol. (240 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb30887976t;30887976;monographie;texte imprimé;Document numérique | NUMM-5808112 | ;1;L'Ami de la maison, comédie en 3 actes et en vers, mêlée d'ariettes,... par M. Marmontel,... La musique est de M. Grétry. [Fontainebleau, 26 octobre 1771, et Théâtre de la Comédie italienne, 24 mai 1772.];Marmontel, Jean-François (1723-1799). Auteur du texte;;Vente (Paris);1823;;;;fre | français | ;In-8° , 42 p.;
