Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb37246634x;37246634;monographie;texte imprimé;Document numérique | NUMM-57154 | ;1;Projet de décrets sur l'instruction publique ([Reprod.]) [Talleyrand-Périgord];Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;Micro Graphix;1791;"Collection : Les archives de la Révolution française ; 12.1071";Écoles publiques -- France;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37236250v;37236250;monographie;texte imprimé;Document numérique | NUMM-48771 | ;1;Proposition faite à l'assemblée nationale sur les poids et mesures ([Reprod.]) par M. l'évêque d'Autun [Talleyrand];Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;Maxwell;1790;"Collection : Les archives de la Révolution française ; 12.815";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb31430412x;31430412;monographie;texte imprimé;Document numérique | NUMM-5787493 | ;1;Institut royal de France. Éloge de M. le Cte Reinhard, prononcé à l'Académie des sciences morales et politiques, par M. le P. de Talleyrand, dans la séance du 3 mars 1838;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;G. Warée (Paris);1838;;Reinhard;;fre | français | ;In-8° , 21 p.;
http://catalogue.bnf.fr/ark:/12148/cb31430412x;31430412;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LN27-17185 (B) | ;2;Institut royal de France. Éloge de M. le Cte Reinhard, prononcé à l'Académie des sciences morales et politiques, par M. le P. de Talleyrand, dans la séance du 3 mars 1838;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;G. Warée (Paris);1838;;Reinhard;;fre | français | ;In-8° , 21 p.;
http://catalogue.bnf.fr/ark:/12148/cb31430423k;31430423;monographie;texte imprimé;Document numérique | NUMM-3041155 | ;1;Pensées et maximes de M. de Talleyrand, précédées de ses premiers amours et suivies de l'opinion de Napoléon sur ce grand diplomate;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;les libraires (Paris);1835;;;;fre | français | ;In-12, 204 p.;
http://catalogue.bnf.fr/ark:/12148/cb31430423k;31430423;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-61413 | ;2;Pensées et maximes de M. de Talleyrand, précédées de ses premiers amours et suivies de l'opinion de Napoléon sur ce grand diplomate;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;les libraires (Paris);1835;;;;fre | français | ;In-12, 204 p.;
http://catalogue.bnf.fr/ark:/12148/cb31430417n;31430417;monographie;texte imprimé;Document numérique | NUMM-94544 | ;1;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;Bourgogne (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"47 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430417n;31430417;monographie;texte imprimé;Document numérique | NUMM-6470942 | ;2;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;Bourgogne (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"47 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430417n;31430417;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LF78-16 | ;3;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;Bourgogne (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"47 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430417n;31430417;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-9057 | ;4;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;Bourgogne (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"47 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430417n;31430417;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-9803 (5) | ;5;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;Bourgogne (France) -- 1789-1799 (Révolution) -- Sources;;fre | français | ;"47 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314303897;31430389;monographie;texte imprimé;Document numérique | NUMM-5783357 | ;1;Talleyrand, ancien évêque d'Autun, a ses concitoyens.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;[Paris.] De l'Imprimerie de Plassan, rue du Cimetière Saint-André-des-Arcs, n° 10 [1792].;1792;;;;fre | français | ;"1 placard ; in-folio plano";
http://catalogue.bnf.fr/ark:/12148/cb314303897;31430389;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFILM FOL-LN27-19316 | ;2;Talleyrand, ancien évêque d'Autun, a ses concitoyens.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;[Paris.] De l'Imprimerie de Plassan, rue du Cimetière Saint-André-des-Arcs, n° 10 [1792].;1792;;;;fre | français | ;"1 placard ; in-folio plano";
http://catalogue.bnf.fr/ark:/12148/cb314303897;31430389;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | FOL-LN27-19316 | ;3;Talleyrand, ancien évêque d'Autun, a ses concitoyens.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;[Paris.] De l'Imprimerie de Plassan, rue du Cimetière Saint-André-des-Arcs, n° 10 [1792].;1792;;;;fre | français | ;"1 placard ; in-folio plano";
http://catalogue.bnf.fr/ark:/12148/cb314303897;31430389;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | R186447 | ;4;Talleyrand, ancien évêque d'Autun, a ses concitoyens.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;[Paris.] De l'Imprimerie de Plassan, rue du Cimetière Saint-André-des-Arcs, n° 10 [1792].;1792;;;;fre | français | ;"1 placard ; in-folio plano";
http://catalogue.bnf.fr/ark:/12148/cb314303897;31430389;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | R186447 | ;5;Talleyrand, ancien évêque d'Autun, a ses concitoyens.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;[Paris.] De l'Imprimerie de Plassan, rue du Cimetière Saint-André-des-Arcs, n° 10 [1792].;1792;;;;fre | français | ;"1 placard ; in-folio plano";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;Document numérique | NUMM-5684371 | ;1;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB42-1945 | ;2;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB42-1945 | ;3;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-LC2-992 (4) | ;4;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S112847 | ;5;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb314304138;31430413;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S112847 | ;6;Lettre du ministre des relations extérieures à M. Gerry, envoyé des États-Unis, en lui envoyant ses passe-ports;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Laran (Paris);1797;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;Document numérique | NUMM-5432455 | ;1;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P95/858 | ;2;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB45-98 | ;3;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB45-98 | ;4;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P95/858 | ;5;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430405n;31430405;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P95/858 | ;6;Discours de M. le prince de Bénévent, au Roi, en lui présentant le Sénat, à Saint-Ouen, le 2 mai 1814.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;([Paris.] Imprimerie de P. Gueffier, rue Guénégaud, n° 31 [1814].);1814;;France (1814-1815);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;Document numérique | NUMM-62587 | ;1;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P89/2700 | ;2;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 4-LK9-228 | ;3;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-LK9-228 | ;4;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P89/2700 | ;5;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31430408p;31430408;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P89/2700 | ;6;Essai sur les avantages à retirer de colonies nouvelles dans les circonstances présentes;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;impr. de Baudouin (Paris);1797;;;;fre | français | ;"16 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb316943993;31694399;monographie;texte imprimé;Document numérique | NUMM-62627 | ;1;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;;;fre | français | ;"[2]-45 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb316943993;31694399;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P89/4036 | ;2;Des loteries . Par M. l'évêque d'Autun.;Talleyrand-Périgord, Charles-Maurice de (1754-1838). Auteur du texte;;A Paris, chez Barrois l'aîné, libraire, quai des Augustins, n°. 19. M. DCC. LXXXIX.;1789;;;;fre | français | ;"[2]-45 p. ; in-8";
