Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb31434131b;31434131;monographie;texte imprimé;Document numérique | NUMM-3046076 | ;1;Réflexions rapides pour M. le cardinal de Rohan sur le sommaire de la dame de la Motte;;Target, Guy-Jean-Baptiste (1733-1807). Rédacteur;Hardouin et Gattey (Paris);;[Factum (Collier (Affaire du))];Collier, Affaire du (1785-1786) (Factums FA);;fre | français | ;"24 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31434131b;31434131;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-FM-28069 (16) | ;2;Réflexions rapides pour M. le cardinal de Rohan sur le sommaire de la dame de la Motte;;Target, Guy-Jean-Baptiste (1733-1807). Rédacteur;Hardouin et Gattey (Paris);;[Factum (Collier (Affaire du))];Collier, Affaire du (1785-1786) (Factums FA);;fre | français | ;"24 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31434134c;31434134;monographie;texte imprimé;Document numérique | NUMM-3046073 | ;1;Mémoire pour Louis-René-Édouard de Rohan, cardinal,... évêque... de Strasbourg..., contre M. le procureur général, en présence de la dame de La Motte, ou sieur de Villette, de la demoiselle d'Oliva et du sieur comte de Cagliostro...;Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;impr. de Lottin l'aîné et de Lottin de Saint-Germain (Paris);1786;;;;fre | français | ;"146 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31434134c;31434134;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-FM-28069 (13) | ;2;Mémoire pour Louis-René-Édouard de Rohan, cardinal,... évêque... de Strasbourg..., contre M. le procureur général, en présence de la dame de La Motte, ou sieur de Villette, de la demoiselle d'Oliva et du sieur comte de Cagliostro...;Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;impr. de Lottin l'aîné et de Lottin de Saint-Germain (Paris);1786;;;;fre | français | ;"146 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31434134c;31434134;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-FM-28077 (11) | ;3;Mémoire pour Louis-René-Édouard de Rohan, cardinal,... évêque... de Strasbourg..., contre M. le procureur général, en présence de la dame de La Motte, ou sieur de Villette, de la demoiselle d'Oliva et du sieur comte de Cagliostro...;Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;impr. de Lottin l'aîné et de Lottin de Saint-Germain (Paris);1786;;;;fre | français | ;"146 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb372616611;37261661;monographie;texte imprimé;Document numérique | NUMM-47525 | ;1;Suite de l'écrit intitulé, "Les Etats-généraux convoqués par Louis XVI" ([Reprod.]) [par G. J. B. Target];Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;Pergamon press;179.;"Collection : Les archives de la Révolution française ; 5.592";"France. États généraux (1789 ; Versailles)";;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372616522;37261652;monographie;texte imprimé;Document numérique | NUMM-47524 | ;1;Les Etats-généraux convoqués par Louis XVI ([Reprod.]) [par G. J. B. Target];Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;Pergamon press;179.;"Collection : Les archives de la Révolution française ; 5.591";"France. États généraux (1789 ; Versailles)";;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372613182;37261318;monographie;texte imprimé;Document numérique | NUMM-47526 | ;1;IIe suite de l'écrit intitulé, "Les Etats-généraux convoqués par Louis XVI" ([Reprod.]) [par G.-J.-B. Target];Target, Guy-Jean-Baptiste (1733-1807). Auteur du texte;;Pergamon press;179.;"Collection : Les archives de la Révolution française ; 5.593";"France. États généraux (1789 ; Versailles)";;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb36728588c;36728588;monographie;texte imprimé;Document numérique | NUMM-4226503 | ;1;Mémoire et consultation pour les comte de Carcado et marquis de Molac (contre la demoiselle d'Eon / [Signé : Target. 9 août 1779]);;Target, Guy-Jean-Baptiste (1733-1807). Rédacteur;P.-G. Simon (Paris);1779;[Factum. Eon, demoiselle d'. 1779];;;fre | français | ;In-4 °;
http://catalogue.bnf.fr/ark:/12148/cb36728588c;36728588;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-FM-34541 (3) | ;2;Mémoire et consultation pour les comte de Carcado et marquis de Molac (contre la demoiselle d'Eon / [Signé : Target. 9 août 1779]);;Target, Guy-Jean-Baptiste (1733-1807). Rédacteur;P.-G. Simon (Paris);1779;[Factum. Eon, demoiselle d'. 1779];;;fre | français | ;In-4 °;
