Source,Target,Weight,Type
Bergasse_3,Bergasse_5,4,undirected
Bergasse_3,Bergasse_6,4,undirected
Bergasse_3,Bergasse_7,6,undirected
Bergasse_5,Bergasse_3,4,undirected
Bergasse_5,Bergasse_6,3,undirected
Bergasse_5,Bergasse_7,5,undirected
Bergasse_6,Bergasse_3,4,undirected
Bergasse_6,Bergasse_5,3,undirected
Bergasse_6,Bergasse_7,2,undirected
Bergasse_7,Bergasse_3,6,undirected
Bergasse_7,Bergasse_5,5,undirected
Bergasse_7,Bergasse_6,2,undirected
Brissot_1,Brissot_5,6,undirected
Brissot_1,Brissot_6,5,undirected
Brissot_1,Brissot_8,4,undirected
Brissot_5,Brissot_1,6,undirected
Brissot_5,Brissot_6,4,undirected
Brissot_5,Brissot_8,2,undirected
Brissot_6,Brissot_1,5,undirected
Brissot_6,Brissot_5,4,undirected
Brissot_6,Brissot_8,3,undirected
Brissot_8,Brissot_1,4,undirected
Brissot_8,Brissot_5,2,undirected
Brissot_8,Brissot_6,3,undirected
Condorcet_11,Condorcet_14,6,undirected
Condorcet_11,Condorcet_4,4,undirected
Condorcet_11,Condorcet_7,1,undirected
Condorcet_14,Condorcet_11,6,undirected
Condorcet_14,Condorcet_4,4,undirected
Condorcet_14,Condorcet_7,5,undirected
Condorcet_4,Condorcet_11,4,undirected
Condorcet_4,Condorcet_14,4,undirected
Condorcet_4,Condorcet_7,3,undirected
Condorcet_7,Condorcet_11,1,undirected
Condorcet_7,Condorcet_14,5,undirected
Condorcet_7,Condorcet_4,3,undirected
Condorcet_7,Garat_9,1,undirected
D'Alembert_1,D'Alembert_11,6,undirected
D'Alembert_1,D'Alembert_3,5,undirected
D'Alembert_1,D'Alembert_5,4,undirected
D'Alembert_11,D'Alembert_1,6,undirected
D'Alembert_11,D'Alembert_3,4,undirected
D'Alembert_11,D'Alembert_5,2,undirected
D'Alembert_3,D'Alembert_1,5,undirected
D'Alembert_3,D'Alembert_11,4,undirected
D'Alembert_3,D'Alembert_5,3,undirected
D'Alembert_5,D'Alembert_1,4,undirected
D'Alembert_5,D'Alembert_11,2,undirected
D'Alembert_5,D'Alembert_3,3,undirected
Delisle-de-Sales_13,Delisle-de-Sales_14,5,undirected
Delisle-de-Sales_13,Delisle-de-Sales_18,6,undirected
Delisle-de-Sales_13,Delisle-de-Sales_7,4,undirected
Delisle-de-Sales_14,Delisle-de-Sales_13,5,undirected
Delisle-de-Sales_14,Delisle-de-Sales_18,4,undirected
Delisle-de-Sales_14,Delisle-de-Sales_7,2,undirected
Delisle-de-Sales_18,Delisle-de-Sales_13,6,undirected
Delisle-de-Sales_18,Delisle-de-Sales_14,4,undirected
Delisle-de-Sales_18,Delisle-de-Sales_7,3,undirected
Delisle-de-Sales_7,Delisle-de-Sales_13,4,undirected
Delisle-de-Sales_7,Delisle-de-Sales_14,2,undirected
Delisle-de-Sales_7,Delisle-de-Sales_18,3,undirected
Garat_10,Garat_3,5,undirected
Garat_10,Garat_8,3,undirected
Garat_10,Garat_9,5,undirected
Garat_3,Garat_10,5,undirected
Garat_3,Garat_8,2,undirected
Garat_3,Garat_9,3,undirected
Garat_8,Garat_10,3,undirected
Garat_8,Garat_3,2,undirected
Garat_8,Garat_9,6,undirected
Garat_9,Condorcet_7,1,undirected
Garat_9,Garat_10,5,undirected
Garat_9,Garat_3,3,undirected
Garat_9,Garat_8,6,undirected
Gouges_1,Gouges_2,3,undirected
Gouges_1,Gouges_3,2,undirected
Gouges_1,Gouges_5,5,undirected
Gouges_2,Gouges_1,3,undirected
Gouges_2,Gouges_3,4,undirected
Gouges_2,Gouges_5,6,undirected
Gouges_3,Gouges_1,2,undirected
Gouges_3,Gouges_2,4,undirected
Gouges_3,Gouges_5,4,undirected
Gouges_5,Gouges_1,5,undirected
Gouges_5,Gouges_2,6,undirected
Gouges_5,Gouges_3,4,undirected
La-Harpe_5,La-Harpe_6,3,undirected
La-Harpe_5,La-Harpe_7,5,undirected
La-Harpe_5,La-Harpe_9,2,undirected
La-Harpe_6,La-Harpe_5,3,undirected
La-Harpe_6,La-Harpe_7,6,undirected
La-Harpe_6,La-Harpe_9,5,undirected
La-Harpe_7,La-Harpe_5,5,undirected
La-Harpe_7,La-Harpe_6,6,undirected
La-Harpe_7,La-Harpe_9,3,undirected
La-Harpe_9,La-Harpe_5,2,undirected
La-Harpe_9,La-Harpe_6,5,undirected
La-Harpe_9,La-Harpe_7,3,undirected
Marmontel_10,Marmontel_14,6,undirected
Marmontel_10,Marmontel_2,2,undirected
Marmontel_10,Marmontel_6,5,undirected
Marmontel_14,Marmontel_10,6,undirected
Marmontel_14,Marmontel_2,5,undirected
Marmontel_14,Marmontel_6,2,undirected
Marmontel_2,Marmontel_10,2,undirected
Marmontel_2,Marmontel_14,5,undirected
Marmontel_2,Marmontel_6,4,undirected
Marmontel_6,Marmontel_10,5,undirected
Marmontel_6,Marmontel_14,2,undirected
Marmontel_6,Marmontel_2,4,undirected
Sieyes_11,Sieyes_7,4,undirected
Sieyes_11,Sieyes_8,5,undirected
Sieyes_11,Sieyes_9,3,undirected
Sieyes_7,Sieyes_11,4,undirected
Sieyes_7,Sieyes_8,4,undirected
Sieyes_7,Sieyes_9,2,undirected
Sieyes_8,Sieyes_11,5,undirected
Sieyes_8,Sieyes_7,4,undirected
Sieyes_8,Sieyes_9,6,undirected
Sieyes_9,Sieyes_11,3,undirected
Sieyes_9,Sieyes_7,2,undirected
Sieyes_9,Sieyes_8,6,undirected
Villar_1,Villar_2,5,undirected
Villar_1,Villar_4,6,undirected
Villar_1,Villar_6,2,undirected
Villar_2,Villar_1,5,undirected
Villar_2,Villar_4,3,undirected
Villar_2,Villar_6,3,undirected
Villar_4,Villar_1,6,undirected
Villar_4,Villar_2,3,undirected
Villar_4,Villar_6,5,undirected
Villar_6,Villar_1,2,undirected
Villar_6,Villar_2,3,undirected
Villar_6,Villar_4,5,undirected
