Source,Target,Weight,Type
Bergasse_3,Bergasse_5,506,undirected
Bergasse_3,Bergasse_6,511,undirected
Bergasse_3,Bergasse_7,409,undirected
Bergasse_5,Bergasse_3,506,undirected
Bergasse_5,Bergasse_6,206,undirected
Bergasse_5,Bergasse_7,389,undirected
Bergasse_6,Bergasse_3,511,undirected
Bergasse_6,Bergasse_5,206,undirected
Bergasse_6,Bergasse_7,403,undirected
Bergasse_7,Bergasse_3,409,undirected
Bergasse_7,Bergasse_5,389,undirected
Bergasse_7,Bergasse_6,403,undirected
Brissot_1,Brissot_5,575,undirected
Brissot_1,Brissot_6,536,undirected
Brissot_1,Brissot_8,322,undirected
Brissot_5,Brissot_1,575,undirected
Brissot_5,Brissot_6,342,undirected
Brissot_5,Brissot_8,187,undirected
Brissot_5,Sieyes_7,9,undirected
Brissot_6,Brissot_1,536,undirected
Brissot_6,Brissot_5,342,undirected
Brissot_6,Brissot_8,434,undirected
Brissot_8,Brissot_1,322,undirected
Brissot_8,Brissot_5,187,undirected
Brissot_8,Brissot_6,434,undirected
Brissot_8,Condorcet_14,19,undirected
Condorcet_11,Condorcet_14,556,undirected
Condorcet_11,Condorcet_4,425,undirected
Condorcet_11,Condorcet_7,150,undirected
Condorcet_14,Brissot_8,19,undirected
Condorcet_14,Condorcet_11,556,undirected
Condorcet_14,Condorcet_4,474,undirected
Condorcet_14,Condorcet_7,447,undirected
Condorcet_14,Garat_9,1,undirected
Condorcet_4,Condorcet_11,425,undirected
Condorcet_4,Condorcet_14,474,undirected
Condorcet_4,Condorcet_7,120,undirected
Condorcet_4,Garat_9,22,undirected
Condorcet_7,Condorcet_11,150,undirected
Condorcet_7,Condorcet_14,447,undirected
Condorcet_7,Condorcet_4,120,undirected
Condorcet_7,Garat_8,117,undirected
Condorcet_7,Garat_9,169,undirected
D'Alembert_1,D'Alembert_11,601,undirected
D'Alembert_1,D'Alembert_3,443,undirected
D'Alembert_1,D'Alembert_5,415,undirected
D'Alembert_11,D'Alembert_1,601,undirected
D'Alembert_11,D'Alembert_3,460,undirected
D'Alembert_11,D'Alembert_5,239,undirected
D'Alembert_3,D'Alembert_1,443,undirected
D'Alembert_3,D'Alembert_11,460,undirected
D'Alembert_3,D'Alembert_5,266,undirected
D'Alembert_5,D'Alembert_1,415,undirected
D'Alembert_5,D'Alembert_11,239,undirected
D'Alembert_5,D'Alembert_3,266,undirected
Delisle-de-Sales_13,Delisle-de-Sales_14,532,undirected
Delisle-de-Sales_13,Delisle-de-Sales_18,511,undirected
Delisle-de-Sales_13,Delisle-de-Sales_7,420,undirected
Delisle-de-Sales_14,Delisle-de-Sales_13,532,undirected
Delisle-de-Sales_14,Delisle-de-Sales_18,373,undirected
Delisle-de-Sales_14,Delisle-de-Sales_7,202,undirected
Delisle-de-Sales_18,Delisle-de-Sales_13,511,undirected
Delisle-de-Sales_18,Delisle-de-Sales_14,373,undirected
Delisle-de-Sales_18,Delisle-de-Sales_7,386,undirected
Delisle-de-Sales_7,Delisle-de-Sales_13,420,undirected
Delisle-de-Sales_7,Delisle-de-Sales_14,202,undirected
Delisle-de-Sales_7,Delisle-de-Sales_18,386,undirected
Garat_10,Garat_3,600,undirected
Garat_10,Garat_8,364,undirected
Garat_10,Garat_9,488,undirected
Garat_3,Garat_10,600,undirected
Garat_3,Garat_8,148,undirected
Garat_3,Garat_9,305,undirected
Garat_8,Condorcet_7,117,undirected
Garat_8,Garat_10,364,undirected
Garat_8,Garat_3,148,undirected
Garat_8,Garat_9,462,undirected
Garat_9,Condorcet_14,1,undirected
Garat_9,Condorcet_4,22,undirected
Garat_9,Condorcet_7,169,undirected
Garat_9,Garat_10,488,undirected
Garat_9,Garat_3,305,undirected
Garat_9,Garat_8,462,undirected
Gouges_1,Gouges_2,311,undirected
Gouges_1,Gouges_3,471,undirected
Gouges_1,Gouges_5,534,undirected
Gouges_2,Gouges_1,311,undirected
Gouges_2,Gouges_3,296,undirected
Gouges_2,Gouges_5,492,undirected
Gouges_3,Gouges_1,471,undirected
Gouges_3,Gouges_2,296,undirected
Gouges_3,Gouges_5,320,undirected
Gouges_5,Gouges_1,534,undirected
Gouges_5,Gouges_2,492,undirected
Gouges_5,Gouges_3,320,undirected
La-Harpe_5,La-Harpe_6,385,undirected
La-Harpe_5,La-Harpe_7,305,undirected
La-Harpe_5,La-Harpe_9,300,undirected
La-Harpe_5,Sieyes_11,16,undirected
La-Harpe_6,La-Harpe_5,385,undirected
La-Harpe_6,La-Harpe_7,516,undirected
La-Harpe_6,La-Harpe_9,575,undirected
La-Harpe_6,Sieyes_11,16,undirected
La-Harpe_7,La-Harpe_5,305,undirected
La-Harpe_7,La-Harpe_6,516,undirected
La-Harpe_7,La-Harpe_9,294,undirected
La-Harpe_7,Sieyes_11,11,undirected
La-Harpe_7,Sieyes_9,18,undirected
La-Harpe_9,La-Harpe_5,300,undirected
La-Harpe_9,La-Harpe_6,575,undirected
La-Harpe_9,La-Harpe_7,294,undirected
La-Harpe_9,Sieyes_11,56,undirected
