"Bergasse_3" "Bergasse_5" "Bergasse_6" "Bergasse_7" "Brissot_1" "Brissot_5" "Brissot_6" "Brissot_8" "Condorcet_11" "Condorcet_14" "Condorcet_4" "Condorcet_7" "D'Alembert_1" "D'Alembert_11" "D'Alembert_3" "D'Alembert_5" "Delisle-de-Sales_13" "Delisle-de-Sales_14" "Delisle-de-Sales_18" "Delisle-de-Sales_7" "Garat_10" "Garat_3" "Garat_8" "Garat_9" "Gouges_1" "Gouges_2" "Gouges_3" "Gouges_5" "La-Harpe_5" "La-Harpe_6" "La-Harpe_7" "La-Harpe_9" "Marmontel_10" "Marmontel_14" "Marmontel_2" "Marmontel_6" "Sieyes_11" "Sieyes_7" "Sieyes_8" "Sieyes_9" "Villar_1" "Villar_2" "Villar_4" "Villar_6"
"de" 5.18962075848303 5.23690773067332 5.29470529470529 6.03190428713858 4.25 4.39121756487026 3.44655344655345 4.39780109945027 5.54445554445554 5.994005994006 5.3 6.09390609390609 5.04747626186907 5.0949050949051 4.89755122438781 5.34732633683158 4.89755122438781 5.95 6.78981527708437 4.44333499750374 4.88778054862843 4.15 5.29735132433783 5.7 5.15 5.5 5.44727636181909 4.84757621189405 4.64303544682976 3.89415876185721 5.03740648379052 3.7332005973121 4.44333499750374 4.44555444555445 4.65 4.34782608695652 4.3956043956044 3.7962037962038 3.95 4.1 4.34565434565435 4.89266100848727 5.23952095808383 5.99700149925037
"la" 2.44510978043912 2.24438902743142 1.94805194805195 2.04386839481555 3.45 2.94411177644711 3.94605394605395 3.64817591204398 3.6963036963037 2.84715284715285 3.4 3.24675324675325 3.89805097451274 3.74625374625375 2.94852573713143 3.29835082458771 3.54822588705647 3.15 4.24363454817773 3.19520718921618 3.44139650872818 3.5 3.99800099950025 3.55 4.45 3.6 3.99800099950025 3.9480259870065 2.34648027958063 2.29655516724913 2.8428927680798 3.18566450970632 2.69595606590115 3.04695304695305 2.55 3.04847576211894 2.64735264735265 2.6973026973027 3.8 2.4 3.14685314685315 3.44483275087369 2.64471057884232 2.79860069965018
"les" 1.49700598802395 1.44638403990025 1.94805194805195 1.8444666001994 3.3 3.29341317365269 2.84715284715285 3.44827586206897 2.8971028971029 2.997002997003 2.65 2.44755244755245 1.44927536231884 1.54845154845155 1.94902548725637 1.84907546226887 2.3488255872064 2.05 2.99550673989016 2.49625561657514 3.99002493765586 4.4 3.69815092453773 3.05 2.65 2.7 2.4487756121939 2.99850074962519 2.04692960559161 2.49625561657514 1.99501246882793 1.84171229467397 1.7473789316026 1.998001998002 2.15 2.24887556221889 2.7972027972028 2.44755244755245 2.65 2.3 2.24775224775225 1.99700449326011 1.89620758483034 2.09895052473763
"le" 2.84431137724551 2.49376558603491 3.04695304695305 2.79162512462612 2.35 1.59680638722555 1.6983016983017 2.19890054972514 2.14785214785215 2.04795204795205 1.75 1.84815184815185 1.79910044977511 2.2977022977023 3.09845077461269 1.94902548725637 2.54872563718141 2.65 2.39640539191213 2.19670494258612 2.49376558603491 2.95 2.14892553723138 1.85 1.9 1.95 1.94902548725637 2.24887556221889 2.74588117823265 2.54618072890664 1.44638403990025 2.28969636635142 2.14677983025462 1.8981018981019 2.05 2.64867566216892 2.1978021978022 2.14785214785215 1.95 2.25 2.0979020979021 2.59610584123814 2.39520958083832 2.09895052473763
"que" 1.94610778443114 2.14463840399003 2.24775224775225 1.79461615154536 1.05 1.54690618762475 1.3986013986014 1.49925037481259 1.3986013986014 0.999000999000999 1.25 1.54845154845155 2.19890054972514 1.7982017982018 2.19890054972514 2.3488255872064 1.94902548725637 2.5 1.49775336994508 2.09685471792312 1.59600997506234 1.6 1.64917541229385 1.4 1.85 1.8 1.79910044977511 1.89905047476262 2.84573140289566 2.94558162755866 2.44389027431421 2.48880039820806 1.39790314528208 2.04795204795205 1.7 1.69915042478761 2.2977022977023 1.84815184815185 1.75 1.9 1.1988011988012 1.44782825761358 1.94610778443114 1.24937531234383
"il" 1.84630738522954 2.09476309226933 2.34765234765235 1.59521435692921 1.25 0.798403193612774 1.34865134865135 1.29935032483758 2.1978021978022 1.7982017982018 2.15 1.6983016983017 1.84907546226887 1.54845154845155 1.24937531234383 1.49925037481259 1.24937531234383 1.4 1.49775336994508 1.09835247129306 1.24688279301746 1.7 2.29885057471264 1.85 1.4 1.3 1.34932533733133 1.49925037481259 1.7473789316026 1.99700449326011 2.24438902743142 1.69238427078148 1.54767848227659 2.2977022977023 2.05 1.94902548725637 1.94805194805195 1.998001998002 1.85 1.75 0.799200799200799 1.54767848227659 1.69660678642715 2.09895052473763
"des" 1.64670658682635 1.69576059850374 1.2987012987013 1.34596211365902 1.85 1.59680638722555 1.64835164835165 1.84907546226887 1.84815184815185 2.54745254745255 2.35 2.24775224775225 1.24937531234383 0.749250749250749 0.999500249875062 0.949525237381309 1.89905047476262 1.7 1.7473789316026 2.39640539191213 2.09476309226933 1.6 1.84907546226887 1.9 1.35 1.9 1.49925037481259 1.5992003998001 1.24812780828757 1.54767848227659 1.14713216957606 1.59283225485316 1.19820269595607 1.14885114885115 0.8 1.39930034982509 1.4985014985015 1.94805194805195 1.85 1.45 1.04895104895105 1.49775336994508 1.44710578842315 1.34932533733133
"en" 1.39720558882236 1.29675810473815 1.04895104895105 1.54536390827517 1.1 0.998003992015968 1.24875124875125 0.849575212393803 1.2987012987013 1.34865134865135 1.3 1.84815184815185 0.849575212393803 1.6983016983017 1.49925037481259 1.74912543728136 0.79960019990005 0.8 0.948577134298552 0.898652021967049 1.09725685785536 1.2 1.14942528735632 1 1.25 1 0.899550224887556 1.64917541229385 1.39790314528208 1.69745381927109 1.14713216957606 2.04081632653061 1.54767848227659 1.54845154845155 1.6 1.5992003998001 1.34865134865135 1.54845154845155 1.3 1.25 1.04895104895105 1.29805292061907 1.24750499001996 1.49925037481259
"qui" 1.14770459081836 1.09725685785536 0.899100899100899 0.897308075772682 1.3 1.69660678642715 1.5984015984016 1.79910044977511 1.54845154845155 1.998001998002 1.45 1.64835164835165 1.54922538730635 0.949050949050949 1.44927536231884 1.14942528735632 1.49925037481259 1.8 1.99700449326011 1.39790314528208 1.29675810473815 1.6 1.54922538730635 1.85 1 0.8 1.04947526236882 0.79960019990005 1.24812780828757 1.34797803295057 0.798004987531172 1.09507217521155 0.748876684972541 0.749250749250749 0.75 0.899550224887556 1.2987012987013 1.7982017982018 1.15 0.8 1.04895104895105 0.948577134298552 1.34730538922156 0.749625187406297
"qu" 1.64670658682635 1.84538653366584 1.44855144855145 1.39581256231306 1 0.499001996007984 0.599400599400599 1.04947526236882 0.949050949050949 1.24875124875125 1.45 1.0989010989011 1.54922538730635 0.899100899100899 0.849575212393803 1.34932533733133 1.14942528735632 1.25 0.399400898652022 0.898652021967049 1.44638403990025 1.65 1.19940029985008 1.3 0.4 0.85 0.499750124937531 0.849575212393803 1.69745381927109 2.09685471792312 1.64588528678304 1.59283225485316 0.948577134298552 1.1988011988012 1.05 1.34932533733133 2.04795204795205 1.44855144855145 1.3 1.35 1.64835164835165 1.44782825761358 1.04790419161677 1.34932533733133
