Source,Target,Weight,Type
Bergasse_3,Bergasse_7,906,undirected
Bergasse_3,Brissot_9,205,undirected
Bergasse_3,Condorcet_5,9,undirected
Bergasse_3,Delisle-de-Sales_24,368,undirected
Bergasse_3,La-Harpe_7,14,undirected
Bergasse_3,Marmontel_3,74,undirected
Bergasse_3,Marmontel_7,213,undirected
Bergasse_3,Villar_5,4,undirected
Bergasse_7,Bergasse_3,906,undirected
Bergasse_7,Condorcet_7,89,undirected
Bergasse_7,Delisle-de-Sales_14,141,undirected
Bergasse_7,Delisle-de-Sales_24,214,undirected
Bergasse_7,G1785_2_Second tableau_1,26,undirected
Bergasse_7,G1785_2_Second tableau_3,69,undirected
Bergasse_7,Gouges_2,60,undirected
Bergasse_7,Marmontel_3,69,undirected
Brissot_1,Brissot_9,906,undirected
Brissot_1,Condorcet_7,165,undirected
Brissot_1,G1785_0_Préface_2,165,undirected
Brissot_1,Garat_5,50,undirected
Brissot_1,Garat_6,6,undirected
Brissot_1,Gouges_2,87,undirected
Brissot_1,Gouges_6,507,undirected
Brissot_1,Sieyes_11,10,undirected
Brissot_1,Sieyes_9,439,undirected
Brissot_9,Bergasse_3,205,undirected
Brissot_9,Brissot_1,906,undirected
Brissot_9,G1785_4_Discours préliminaire_1,11,undirected
Brissot_9,Gouges_2,75,undirected
Brissot_9,Gouges_6,110,undirected
Brissot_9,La-Harpe_10,1,undirected
Brissot_9,La-Harpe_7,64,undirected
Brissot_9,Sieyes_11,373,undirected
Brissot_9,Sieyes_9,17,undirected
Condorcet_5,Bergasse_3,9,undirected
Condorcet_5,Condorcet_7,906,undirected
Condorcet_5,D'Alembert_11,5,undirected
Condorcet_5,D'Alembert_18,51,undirected
Condorcet_5,Delisle-de-Sales_14,22,undirected
Condorcet_5,G1785_3_Troisième tableau_4,12,undirected
Condorcet_5,G1785_4_Discours préliminaire_1,1,undirected
Condorcet_5,G1785_4_Discours préliminaire_2,307,undirected
Condorcet_5,Garat_6,359,undirected
Condorcet_5,Gouges_6,26,undirected
Condorcet_7,Bergasse_7,89,undirected
Condorcet_7,Brissot_1,165,undirected
Condorcet_7,Condorcet_5,906,undirected
Condorcet_7,Delisle-de-Sales_24,9,undirected
Condorcet_7,G1785_4_Discours préliminaire_2,22,undirected
Condorcet_7,Garat_6,1,undirected
Condorcet_7,Gouges_6,7,undirected
Condorcet_7,Sieyes_11,1,undirected
Condorcet_7,Villar_6,369,undirected
D'Alembert_11,Condorcet_5,5,undirected
D'Alembert_11,D'Alembert_18,906,undirected
D'Alembert_11,G1785_0_Préface_1,20,undirected
D'Alembert_11,La-Harpe_10,32,undirected
D'Alembert_11,La-Harpe_7,42,undirected
D'Alembert_11,Marmontel_3,22,undirected
D'Alembert_11,Marmontel_7,118,undirected
D'Alembert_11,Sieyes_11,559,undirected
D'Alembert_11,Sieyes_9,6,undirected
D'Alembert_18,Condorcet_5,51,undirected
D'Alembert_18,D'Alembert_11,906,undirected
D'Alembert_18,G1785_0_Préface_1,54,undirected
D'Alembert_18,G1785_0_Préface_2,7,undirected
D'Alembert_18,Garat_5,25,undirected
D'Alembert_18,Sieyes_11,83,undirected
D'Alembert_18,Sieyes_9,295,undirected
D'Alembert_18,Villar_6,8,undirected
Delisle-de-Sales_14,Bergasse_7,141,undirected
Delisle-de-Sales_14,Condorcet_5,22,undirected
Delisle-de-Sales_14,Delisle-de-Sales_24,906,undirected
Delisle-de-Sales_14,G1785_0_Préface_1,60,undirected
Delisle-de-Sales_14,G1785_0_Préface_2,7,undirected
Delisle-de-Sales_14,Garat_5,201,undirected
Delisle-de-Sales_14,Garat_6,22,undirected
Delisle-de-Sales_14,Marmontel_3,6,undirected
Delisle-de-Sales_14,Marmontel_7,367,undirected
Delisle-de-Sales_14,Villar_6,6,undirected
Delisle-de-Sales_24,Bergasse_3,368,undirected
Delisle-de-Sales_24,Bergasse_7,214,undirected
Delisle-de-Sales_24,Condorcet_7,9,undirected
Delisle-de-Sales_24,Delisle-de-Sales_14,906,undirected
Delisle-de-Sales_24,G1785_0_Préface_2,12,undirected
Delisle-de-Sales_24,Gouges_2,208,undirected
Delisle-de-Sales_24,Villar_5,22,undirected
Delisle-de-Sales_24,Villar_6,79,undirected
G1785_0_Préface_1,D'Alembert_11,20,undirected
G1785_0_Préface_1,D'Alembert_18,54,undirected
G1785_0_Préface_1,Delisle-de-Sales_14,60,undirected
G1785_0_Préface_1,G1785_0_Préface_2,906,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_2,174,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_6,268,undirected
G1785_0_Préface_1,G1785_3_Troisième tableau_3,4,undirected
G1785_0_Préface_1,G1785_4_Discours préliminaire_1,49,undirected
G1785_0_Préface_2,Brissot_1,165,undirected
G1785_0_Préface_2,D'Alembert_18,7,undirected
G1785_0_Préface_2,Delisle-de-Sales_14,7,undirected
G1785_0_Préface_2,Delisle-de-Sales_24,12,undirected
G1785_0_Préface_2,G1785_0_Préface_1,906,undirected
G1785_0_Préface_2,G1785_1_Tableau général de la littérature_2,194,undirected
G1785_0_Préface_2,G1785_1_Tableau général de la littérature_6,22,undirected
G1785_0_Préface_2,G1785_2_Second tableau_1,56,undirected
G1785_0_Préface_2,G1785_3_Troisième tableau_3,2,undirected
G1785_0_Préface_2,G1785_4_Discours préliminaire_1,6,undirected
G1785_0_Préface_2,Garat_5,57,undirected
G1785_0_Préface_2,Garat_6,2,undirected
G1785_0_Préface_2,Villar_6,13,undirected
G1785_1_Tableau général de la littérature_2,G1785_0_Préface_1,174,undirected
G1785_1_Tableau général de la littérature_2,G1785_0_Préface_2,194,undirected
G1785_1_Tableau général de la littérature_2,G1785_1_Tableau général de la littérature_6,904,undirected
G1785_1_Tableau général de la littérature_2,G1785_2_Second tableau_1,81,undirected
G1785_1_Tableau général de la littérature_2,G1785_3_Troisième tableau_3,268,undirected
G1785_1_Tableau général de la littérature_2,G1785_3_Troisième tableau_4,256,undirected
G1785_1_Tableau général de la littérature_2,G1785_4_Discours préliminaire_2,42,undirected
G1785_1_Tableau général de la littérature_6,G1785_0_Préface_1,268,undirected
G1785_1_Tableau général de la littérature_6,G1785_0_Préface_2,22,undirected
G1785_1_Tableau général de la littérature_6,G1785_1_Tableau général de la littérature_2,904,undirected
G1785_1_Tableau général de la littérature_6,G1785_2_Second tableau_3,7,undirected
G1785_1_Tableau général de la littérature_6,G1785_3_Troisième tableau_3,290,undirected
G1785_1_Tableau général de la littérature_6,G1785_3_Troisième tableau_4,187,undirected
G1785_2_Second tableau_1,Bergasse_7,26,undirected
G1785_2_Second tableau_1,G1785_0_Préface_2,56,undirected
G1785_2_Second tableau_1,G1785_1_Tableau général de la littérature_2,81,undirected
