Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb37236775k;37236775;monographie;texte imprimé;Document numérique | NUMM-42803 | ;1;Opinion sur le divorce, prononcée au Conseil des Cinq-cents, le 12 pluviôse an 5 ([Reprod.]) par Jean-Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Micro Graphix;1797;"Collection : Les archives de la Révolution française ; 9.4.338";Divorce -- Droit -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346933758;34693375;monographie;texte imprimé;Document numérique | NUMM-85298 | ;1;Du nouvel ordre social ([Reprod.]) par Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346933758;34693375;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5934 | ;2;Du nouvel ordre social ([Reprod.]) par Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346933758;34693375;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5776 | ;3;Du nouvel ordre social ([Reprod.]) par Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346933758;34693375;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5934 | ;4;Du nouvel ordre social ([Reprod.]) par Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346933758;34693375;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5934 | ;5;Du nouvel ordre social ([Reprod.]) par Henry Bancal,...;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb30051725x;30051725;monographie;texte imprimé;Document numérique | NUMM-4232485 | ;1;Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;France. Convention nationale. Éditeur scientifique;Impr. nationale (Paris);1792;;;;fre | français | ;In-8° , 28 p.;
http://catalogue.bnf.fr/ark:/12148/cb30051725x;30051725;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE38-1862 | ;2;Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;France. Convention nationale. Éditeur scientifique;Impr. nationale (Paris);1792;;;;fre | français | ;In-8° , 28 p.;
http://catalogue.bnf.fr/ark:/12148/cb30051725x;30051725;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-R-7251 (3) | ;3;Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;France. Convention nationale. Éditeur scientifique;Impr. nationale (Paris);1792;;;;fre | français | ;In-8° , 28 p.;
http://catalogue.bnf.fr/ark:/12148/cb300517148;30051714;monographie;texte imprimé;Document numérique | NUMM-85304 | ;1;Henri Bancal, député à la Convention, à Anacharsis Clootz, son collègue;Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte;;Impr. du Cercle social (Paris);1793-1794;;;;fre | français | ;"16 p. ; in-8";
