Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb37243863b;37243863;monographie;texte imprimé;Document numérique | NUMM-43208 | ;1;Observations sur un article de Journal de M. Brissot de Warville, concernant ma protestation contre les assignats-monnoie ([Reprod.]) [Nicolas Bergasse];Bergasse, Nicolas (1750-1832). Auteur du texte;;Maxwell;1790;"Collection : Les archives de la Révolution française ; 10.1.4";Assignats;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372627428;37262742;monographie;texte imprimé;Document numérique | NUMM-47944 | ;1;Cahier du Tiers-Etat à l'assemblée des Etats-généraux de l'année 1789 ([Reprod.]) [Nicolas Bergasse];Bergasse, Nicolas. Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.1019";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37237410d;37237410;monographie;texte imprimé;Document numérique | NUMM-41862 | ;1;Observations sur le préjugé de la noblesse héréditaire ([Reprod.]) par M. Bergasse;Bergasse, Nicolas (1750-1832). Auteur du texte;;Micro Graphix;1789;"Collection : Les archives de la Révolution française ; 9.1.9";Noblesse -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372610632;37261063;monographie;texte imprimé;Document numérique | NUMM-47045 | ;1;Discours sur l'humanité des juges dans l'administration de la justice criminelle ([Reprod.]) par M. Bergasse;Bergasse, Nicolas (1750-1832). Auteur du texte;;Pergamon press;179.;"Collection : Les archives de la Révolution française ; 5.105";Justice -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb44730159s;44730159;monographie;texte imprimé;Document numérique | NUMM-1091537 | ;1;Cahier du Tiers-Etat à l'Assemblée des Etats-Généraux de l'année 1789 ou Instructions importantes aux députés sur la réforme des abus dont on doit faire la demande / par M. Bergasse;Bergasse, Nicolas (1750-1832). Auteur du texte;;[s.n.];;;;;fre | français | ;"43 p. ; in-8° (21 cm)";
http://catalogue.bnf.fr/ark:/12148/cb44730159s;44730159;monographie;texte imprimé;Document numérique | collection de sécurité | LEG_490 | ;2;Cahier du Tiers-Etat à l'Assemblée des Etats-Généraux de l'année 1789 ou Instructions importantes aux députés sur la réforme des abus dont on doit faire la demande / par M. Bergasse;Bergasse, Nicolas (1750-1832). Auteur du texte;;[s.n.];;;;;fre | français | ;"43 p. ; in-8° (21 cm)";
http://catalogue.bnf.fr/ark:/12148/cb300872248;30087224;monographie;texte imprimé;Document numérique | NUMM-6275944 | ;1;Discours et fragments de M. Bergasse.;Bergasse, Nicolas (1750-1832). Auteur du texte;;Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.;1808;;;;fre | français | ;"[2]-VI-244 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb300872248;30087224;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P96/4037 | ;2;Discours et fragments de M. Bergasse.;Bergasse, Nicolas (1750-1832). Auteur du texte;;Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.;1808;;;;fre | français | ;"[2]-VI-244 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb300872248;30087224;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE Z-23315 | ;3;Discours et fragments de M. Bergasse.;Bergasse, Nicolas (1750-1832). Auteur du texte;;Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.;1808;;;;fre | français | ;"[2]-VI-244 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb300872248;30087224;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-23315 | ;4;Discours et fragments de M. Bergasse.;Bergasse, Nicolas (1750-1832). Auteur du texte;;Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.;1808;;;;fre | français | ;"[2]-VI-244 p. ; in-8";
