Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb35988930m;35988930;monographie;texte imprimé;Document numérique | NUMM-7138 | ;1;M. de Calonne tout entier ([Reproduction en fac-similé]) Jean-Louis Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Slatkine (Genève) | Mégariotis reprints (Genève) | ;1788;;Calonne, Charles-Alexandre de (1734-1802) | Politique et gouvernement -- France -- 1774-1792 | France -- 1774-1792 (Louis XVI) | ;;fre | français | ;"1 vol. (VIII-370-36 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb35988930m;35988930;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB39-538 (A) | ;2;M. de Calonne tout entier ([Reproduction en fac-similé]) Jean-Louis Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Slatkine (Genève) | Mégariotis reprints (Genève) | ;1788;;Calonne, Charles-Alexandre de (1734-1802) | Politique et gouvernement -- France -- 1774-1792 | France -- 1774-1792 (Louis XVI) | ;;fre | français | ;"1 vol. (VIII-370-36 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb35988930m;35988930;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | HS 88/936 | ;3;M. de Calonne tout entier ([Reproduction en fac-similé]) Jean-Louis Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Slatkine (Genève) | Mégariotis reprints (Genève) | ;1788;;Calonne, Charles-Alexandre de (1734-1802) | Politique et gouvernement -- France -- 1774-1792 | France -- 1774-1792 (Louis XVI) | ;;fre | français | ;"1 vol. (VIII-370-36 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb372609817;37260981;monographie;texte imprimé;Document numérique | NUMM-46983 | ;1;Un petit mot de réponse à M. de Calonne, sur sa Requête au roi ([Reprod.]) par M. Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Pergamon press;1787;"Collection : Les archives de la Révolution française ; 5.41";Calonne, Charles-Alexandre de (1734-1802);;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351884169;35188416;monographie;texte imprimé;Document numérique | NUMM-6476 | ;1;Système de la raison ou Le prophète philosophe ([Reproduction en fac-similé]) par M. Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Éditions d'Histoire sociale (Paris);1791;;;;fre | français | ;"1 vol. ([II]-XVI-87 p.) ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb351884169;35188416;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16-R-14224 | ;2;Système de la raison ou Le prophète philosophe ([Reproduction en fac-similé]) par M. Carra;Carra, Jean-Louis (1742-1793). Auteur du texte;;Éditions d'Histoire sociale (Paris);1791;;;;fre | français | ;"1 vol. ([II]-XVI-87 p.) ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb301990922;30199092;monographie;texte imprimé;Document numérique | NUMM-9756446 | ;1;Dissertation élémentaire sur la nature de la lumière, du feu et de l'électricité ... par M. Carra,...;Carra, Jean-Louis (1742-1793). Auteur du texte;;E. Onfroy (Paris);1787;;;;fre | français | ;"86 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb301990922;30199092;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | V-33947 | ;2;Dissertation élémentaire sur la nature de la lumière, du feu et de l'électricité ... par M. Carra,...;Carra, Jean-Louis (1742-1793). Auteur du texte;;E. Onfroy (Paris);1787;;;;fre | français | ;"86 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb301990922;30199092;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | R-12919 | ;3;Dissertation élémentaire sur la nature de la lumière, du feu et de l'électricité ... par M. Carra,...;Carra, Jean-Louis (1742-1793). Auteur du texte;;E. Onfroy (Paris);1787;;;;fre | français | ;"86 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb37262650m;37262650;monographie;texte imprimé;Document numérique | NUMM-47469 | ;1;L'orateur des Etats-généraux pour 1789, seconde partie : suite de l'Orateur des Etats-généraux, pour 1789, adressée aux François, aux membres de l'Assemblée nationale, à tous les peuples de l'Europe & à tous les rois de la terre, divisée en cinq discours ([Reprod.]) [par Carra];Carra, Jean-Louis. Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.535";;;fre | français | ;"1 microfiche ; 105*148 mm";
