Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb372439101;37243910;monographie;texte imprimé;Document numérique | NUMM-56833 | ;1;Dissection du projet de M. l'évêque d'Autun, sur l'échange universel et direct des créances de l'Etat contre les biens nationaux, à laquelle on a joint de nouvelles considérations, tant sur la convenance d'une grande émission d'assignats-monnoie, que sur les arrangements de finance les plus convenables aux circonstances, et une lettre de l'auteur à M. Cérutti, sur le parallèle que M. Bergasse, député de la sénéchaussée de Lyon, a fait des billets de Law et des assignats-monnoie ([Reprod.]) par M. Clavière;Clavière, Étienne. Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 10.1.159";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243131s;37243131;monographie;texte imprimé;Document numérique | NUMM-56807 | ;1;"Réflexions sur les formes et les principes auxquels une nation doit assujétir l'administration des finances... ; suivies d'une Lettre à M. Baumez, sur l'organisation du Trésor public, où l'auteur discute les avantages et la nécessité d'une caisse publique ([Reprod.]) par M. Clavière";Clavière, Étienne. Auteur du texte;;Micro Graphix;1791;"Collection : Les archives de la Révolution française ; 10.1.6";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37241024r;37241024;monographie;texte imprimé;Document numérique | NUMM-56854 | ;1;Observations sommaires sur le projet d'une refonte générale des monnoies ([Reprod.]) par M. Clavière;Clavière, Étienne. Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 10.1.219";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243335q;37243335;monographie;texte imprimé;Document numérique | NUMM-56756 | ;1;Administration nationale des économies du peuple, établie en faveur des journaliers, artisans & autres citoyens laborieux, dans chacun des départemens de la République, sous la surveillance des représentans de la nation ([Reprod.]) [Clavière];Clavière, Étienne. Auteur du texte;;Micro Graphix;1793;"Collection : Les archives de la Révolution française ; 9.5.223";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372436675;37243667;monographie;texte imprimé;Document numérique | NUMM-43269 | ;1;Compte rendu par le ministre, au premier février 1793 ([Reprod.]) [Clavière];Clavière, Étienne. Auteur du texte;;Maxwell;1793;"Collection : Les archives de la Révolution française ; 10.1.76";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372433184;37243318;monographie;texte imprimé;Document numérique | NUMM-43219 | ;1;Dissection du projet de M. l'évêque d'Autun, sur l'échange universel et direct des créances de l'état contre les biens nationaux, à laquelle on a joint de nouvelles considérations, tant sur la convenance d'une grande émission d'assignats-monnoie, que sur les arrangemens de finance les plus convenables aux circonstances ([Reprod.]) par M. Clavière;Clavière, Étienne. Auteur du texte;;Maxwell;1790;"Collection : Les archives de la Révolution française ; 10.1.15";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243585t;37243585;monographie;texte imprimé;Document numérique | NUMM-43259 | ;1;Lettre de M. Clavière, à M. Beaumez, sur l'organisation du Trésor public ([Reprod.]) ;Clavière, Étienne. Auteur du texte;;Maxwell;1790;"Collection : Les archives de la Révolution française ; 10.1.61";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37242960b;37242960;monographie;texte imprimé;Document numérique | NUMM-56910 | ;1;Réflexions adressées à l'Assemblée nationale, sur les moyens de concilier l'impôt du tabac avec la liberté du commerce, et les rapports que la France doit entretenir avec les Américains libres, sur l'usage des licences ou patentes qui permettent de fabriquer ou vendre, etc., etc. ([Reprod.]) par M. Clavière;Clavière, Étienne (1735-1793). Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 10.1.510";Commerce -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37241474d;37241474;monographie;texte imprimé;Document numérique | NUMM-56861 | ;1;Réponse au mémoire de M. Necker, concernant les assignats, et à d'autres objections contre une création qui les porte à deux milliards ([Reprod.]) par M. Clavière;Clavière, Étienne (1735-1793). Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 10.1.262";Assignats;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37234505c;37234505;monographie;texte imprimé;Document numérique | NUMM-48143 | ;1;Proclamation : extrait du registre des délibérations du Conseil exécutif provisoire... ([Reprod.]) [signé : Clavière, Lebrun, Pache... [et al.];Clavière, Étienne. Auteur du texte;;Maxwell;1793;"Collection : Les archives de la Révolution française ; 12.29";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37241478s;37241478;monographie;texte imprimé;Document numérique | NUMM-56860 | ;1;Coupons d'assignats : pétition proposée aux quarante-huit sections de Paris ([Reprod.]) par M. Clavière,...;Clavière, Étienne (1735-1793). Auteur du texte;;Micro Graphix;179.;"Collection : Les archives de la Révolution française ; 10.1.261";Assignats;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372410195;37241019;monographie;texte imprimé;Document numérique | NUMM-56654 | ;1;"Dissection du projet de M. l'évêque d'Autun, sur l'échange universel et direct des créances de l'Etat contre les biens nationaux ; à laquelle on a joint de Nouvelles considérations, tant sur la convenance d'une grande émission d'assignats-monnoie, que sur les arrangemens de finance les plus convenables aux circonstances ; et une Lettre de l'auteur à M. Cérutti, sur le parallèle que M. Bergasse, député de la sénéchaussée de Lyon, a fait des billets de Law et des assignats-monnoie ([Reprod.]) par M. Clavière";Clavière, Étienne (1735-1793). Auteur du texte;;Micro Graphix;1790;"Collection : Les archives de la Révolution française ; 9.2.45";Finances publiques -- France;;fre | français | ;"3 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243779f;37243779;monographie;texte imprimé;Document numérique | NUMM-43218 | ;1;Opinions d'un créancier de l'Etat, sur quelques matières de finance importantes dans le moment actuel ([Reprod.]) par M. Clavière;Clavière, Étienne (1735-1793). Auteur du texte;;Maxwell;1789;"Collection : Les archives de la Révolution française ; 10.1.18";Finances -- France;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372436822;37243682;monographie;texte imprimé;Document numérique | NUMM-43222 | ;1;Exposé sommaire de la conduite de Clavière, ex-ministre des contributions ([Reprod.]) fait par lui-même;Clavière, Étienne. Auteur du texte;;Maxwell;1793-1794;"Collection : Les archives de la Révolution française ; 10.1.18";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37244463g;37244463;monographie;texte imprimé;Document numérique | NUMM-56823 | ;1;De la foi publique envers les créanciers de l'état : lettres à M. Linguet sur le n ° CXVI de ses annales : ouvrage dans lequel, après avoir indiqué l'état le plus modique du revenu général de la France, on prouve que la banqueroute n'est ni nécessaire, ni utile, ni politique, & que la confiance doit ranimer l'esprit public... ([Reprod.]) par M***;Clavière, Étienne. Auteur du texte;;Micro Graphix;1788;"Collection : Les archives de la Révolution française ; 10.1.139";;;fre | français | ;"3 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243448b;37243448;monographie;texte imprimé;Document numérique | NUMM-43268 | ;1;Exposé sommaire de la conduite de Clavière, ex-ministre des contributions : adressé à ses juges, à ses concitoyens, et à ses ennemis ([Reprod.]) fait par lui-même;Clavière, Étienne. Auteur du texte;;Maxwell;1793-1794;"Collection : Les archives de la Révolution française ; 10.1.75";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb302486035;30248603;monographie;texte imprimé;Document numérique | NUMM-6248566 | ;1;Discours de M. Clavière,... à la Société des amis de la Constitution, séante aux Jacobins Saint-Honoré, le 4 avril 1792;Clavière, Étienne (1735-1793). Auteur du texte;;impr. du Patriote français (Paris);1792;;;;fre | français | ;"5 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb302486035;30248603;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB40-2261 | ;2;Discours de M. Clavière,... à la Société des amis de la Constitution, séante aux Jacobins Saint-Honoré, le 4 avril 1792;Clavière, Étienne (1735-1793). Auteur du texte;;impr. du Patriote français (Paris);1792;;;;fre | français | ;"5 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30248614t;30248614;monographie;texte imprimé;Document numérique | NUMM-324507 | ;1;[Lettre d'envoi à la Société des Amis de la constitution du discours de É. Clavière sur la situation politique du pays, 13 avril 1792];Clavière, Étienne (1735-1793). Auteur du texte;;[s.n.];;;Paris (France) (1789-1799, Révolution) | Amis de la constitution, séant aux Jacobins | ;;fre | français | ;"4 p. ; in-fol.";
http://catalogue.bnf.fr/ark:/12148/cb30248614t;30248614;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | FOL-LB40-2263 | ;2;[Lettre d'envoi à la Société des Amis de la constitution du discours de É. Clavière sur la situation politique du pays, 13 avril 1792];Clavière, Étienne (1735-1793). Auteur du texte;;[s.n.];;;Paris (France) (1789-1799, Révolution) | Amis de la constitution, séant aux Jacobins | ;;fre | français | ;"4 p. ; in-fol.";
http://catalogue.bnf.fr/ark:/12148/cb37243734g;37243734;monographie;texte imprimé;Document numérique | NUMM-44847 | ;1;Adresse de la Société des Amis des Noirs, à l'Assemblée nationale, à toutes les villes de commerce, à toutes les manufactures, aux colonies, à toutes les sociétés des amis de la Constitution : adresse dans laquelle on approfondit les relations politiques et commerciales entre la métropole et les colonies... ([Reprod.]) réd. par E. Clavière,...;Société des Amis des Noirs et des colonies (France). Auteur du texte;Clavière, Étienne. Rédacteur;Maxwell;1791;"Collection : Les archives de la Révolution française ; 11.2.64";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Document numérique | NUMS-100333420 | ;1;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/629 | ;2;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB39-353 | ;3;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
