Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Document numérique | NUMP-11779 | ;1;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | 8-LC2-804 | ;2;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | RES 8-LC2-804 | ;3;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | Z CORRE-11 (9 BIS,247) | ;4;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | 8-LC2-804 (A) | ;5;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Tolbiac | Rez-de-jardin | magasin | 8-LC2-804 (C) | ;6;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;ARS | Arsenal | magasin | 8-H-9557 (7) | ;7;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;ARS | Arsenal | magasin | 8-JO-20067 (10, 2) | ;8;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb328896115 | ISSN 20187025 | ;32889611;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;ARS | Arsenal | magasin | 8-JO-20181 (D) | ;9;Le Vieux cordelier (1793) | Le Vieux cordelier | ;Desmoulins, Camille (1760-1794). Auteur du texte;;[Desenne] (Paris);1793-1794;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb31089945s;31089945;monographie;texte imprimé;Document numérique | NUMM-426434 | ;1;Adresse aux législateurs, aux gouvernans de toutes les républiques de l'Europe... sur un des principaux moyens d'y encourager les talens et d'y faire fleurir les sciences et les arts utiles, c'est-à-dire sur le droit de propriété des auteurs, tel qu'il doit être , par un ami de Camille Desmoulins;Pesme-Laurenceau. Auteur du texte;;impr. de la Soc. typ. des Trois Amis (Paris);1797;;;;fre | français | ;"13 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31089945s;31089945;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-F PIECE-805 | ;2;Adresse aux législateurs, aux gouvernans de toutes les républiques de l'Europe... sur un des principaux moyens d'y encourager les talens et d'y faire fleurir les sciences et les arts utiles, c'est-à-dire sur le droit de propriété des auteurs, tel qu'il doit être , par un ami de Camille Desmoulins;Pesme-Laurenceau. Auteur du texte;;impr. de la Soc. typ. des Trois Amis (Paris);1797;;;;fre | français | ;"13 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb39359260r;39359260;monographie;texte imprimé;Document numérique | NUMM-1504858 | ;1;Les aristocrates aux abois, ou Correspondance d'un patriote de France avec un patriote Brabançon;Desmoulins, Camille (1760-1794). Auteur du texte;;[Paris, vers 1790];1790;;;;fre | français | ;"8 p. ; in-8";
