Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb372423104;37242310;monographie;texte imprimé;Document numérique | NUMM-43456 | ;1;Mémoire sur l'impôt, considéré dans ses rapports avec la constitution ([Reprod.]) par Charles-Louis Ducrest,...;Ducrest, Charles-Louis (1747-1824). Auteur du texte;;Maxwell;1791;"Collection : Les archives de la Révolution française ; 10.1.362";Impôt -- France;;fre | français | ;"3 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372623665;37262366;monographie;texte imprimé;Document numérique | NUMM-47892 | ;1;Mémoire sur la meilleure manière de faire les élections dans une grande assemblée, et de ramener les opinions à une seule ([Reprod.]) par M. le marquis Ducrest;Ducrest, Charles-Louis. Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.967";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb303665499;30366549;monographie;texte imprimé;Document numérique | NUMM-930504 | ;1;Nouveau système de navigation, ayant pour objet la liberté des mers pour toutes les nations, et la restauration immédiate de notre commerce maritime ... par M. Ducrest;Ducrest, Charles-Louis (1747-1824). Auteur du texte;;J. G. Dentu (Paris);1811;;;;fre | français | ;"XVII-[1 bl.]-83 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb303665499;30366549;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | V-23436 | ;2;Nouveau système de navigation, ayant pour objet la liberté des mers pour toutes les nations, et la restauration immédiate de notre commerce maritime ... par M. Ducrest;Ducrest, Charles-Louis (1747-1824). Auteur du texte;;J. G. Dentu (Paris);1811;;;;fre | français | ;"XVII-[1 bl.]-83 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30366554w;30366554;monographie;texte imprimé;Document numérique | NUMM-6220363 | ;1;"Vues nouvelles sur les courans d'eau, la navigation intérieure et la marine ; par C.-L. Ducrest";Ducrest, Charles-Louis (1747-1824). Auteur du texte;;Courcier (Paris) | Magimel (Paris) | F. Didot [etc.] (Paris) | ;1803;;;;fre | français | ;"XIV-211 p.-[1] p. de pl. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30366554w;30366554;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | V-23435 | ;2;"Vues nouvelles sur les courans d'eau, la navigation intérieure et la marine ; par C.-L. Ducrest";Ducrest, Charles-Louis (1747-1824). Auteur du texte;;Courcier (Paris) | Magimel (Paris) | F. Didot [etc.] (Paris) | ;1803;;;;fre | français | ;"XIV-211 p.-[1] p. de pl. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30366554w;30366554;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | VZ-2228 | ;3;"Vues nouvelles sur les courans d'eau, la navigation intérieure et la marine ; par C.-L. Ducrest";Ducrest, Charles-Louis (1747-1824). Auteur du texte;;Courcier (Paris) | Magimel (Paris) | F. Didot [etc.] (Paris) | ;1803;;;;fre | français | ;"XIV-211 p.-[1] p. de pl. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30366551v;30366551;monographie;texte imprimé;Document numérique | NUMM-5865043 | ;1;Traité de la monarchie absolue et des véritables moyens pour opérer la libération de la France, garantir l'intégrité de son territoire et assurer le bonheur du peuple, par M. le Mis Ducrest,...;Ducrest, Charles-Louis (1747-1824). Auteur du texte;;au Bureau polymathique (Paris);1816;;;;fre | français | ;In-8° , 315 p.;
http://catalogue.bnf.fr/ark:/12148/cb30366551v;30366551;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB48-439 | ;2;Traité de la monarchie absolue et des véritables moyens pour opérer la libération de la France, garantir l'intégrité de son territoire et assurer le bonheur du peuple, par M. le Mis Ducrest,...;Ducrest, Charles-Louis (1747-1824). Auteur du texte;;au Bureau polymathique (Paris);1816;;;;fre | français | ;In-8° , 315 p.;
http://catalogue.bnf.fr/ark:/12148/cb31604734r;31604734;monographie;texte imprimé;Document numérique | NUMM-318668 | ;1;Siècle de Louis XIV, par Voltaire. Nouvelle édition, avec des retranchemens, des notes et une préface, par Mme la comtesse de Genlis. Tome premier [-troisième];Voltaire (1694-1778). Auteur du texte;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Éditeur scientifique;chez l'éditeur des oeuvres de Mme la comtesse de Genlis (Paris);1820;;France (1643-1715, Louis XIV);;fre | français | ;3 vol. in-12. (Bengesco, n 1202.);
