Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb30402150c;30402150;monographie;texte imprimé;Document numérique | NUMM-9660381 | ;1;Lettre à M*** sur l'imputation faite à M. Colbert d'avoir interdit la liberté du commerce des grains;Éprémesnil, Jacques Duval d' (1714-1764). Auteur du texte;;Panckoukcke [sic] (Paris);1763;;;;fre | français | ;"71-[1] p. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30402150c;30402150;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | F-25978 | ;2;Lettre à M*** sur l'imputation faite à M. Colbert d'avoir interdit la liberté du commerce des grains;Éprémesnil, Jacques Duval d' (1714-1764). Auteur du texte;;Panckoukcke [sic] (Paris);1763;;;;fre | français | ;"71-[1] p. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30402150c;30402150;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5704 (1) | ;3;Lettre à M*** sur l'imputation faite à M. Colbert d'avoir interdit la liberté du commerce des grains;Éprémesnil, Jacques Duval d' (1714-1764). Auteur du texte;;Panckoukcke [sic] (Paris);1763;;;;fre | français | ;"71-[1] p. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb37239942w;37239942;monographie;texte imprimé;Document numérique | NUMM-44944 | ;1;Observations de M. d'Epremesnil, sur un sujet très important ([Reprod.]) ;Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte;;Pergamon press;1790;"Collection : Les archives de la Révolution française ; 5.66";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372607941;37260794;monographie;texte imprimé;Document numérique | NUMM-47094 | ;1;Discours de M. d'Eprémesnil, au moment où il s'est remis entre les mains de M. d'Agout ([Reprod.]) ;Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte;;Pergamon press;179.;"Collection : Les archives de la Révolution française ; 5.154";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb36735100h;36735100;monographie;texte imprimé;Document numérique | NUMM-3041679 | ;1;"Mémoire à consulter et consultation, pour le sieur Duval Dumanoir, & M. Duval d'Espremenil, avocat du roi au Châtelet ; héritiers du feû sieur Duval de Leyrit, gouverneur de Pondichéry . Avec les lettres que les sieurs Duval de Leyrit & de Lally se sont écrites dans l'Inde, pour servir de pièces justificatives";Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte | Duval Dumanoir. Auteur du texte | Duval de Leyrit. Auteur du texte | ;;A Paris, de l'imprimerie de Michel Lambert, au College de Bourgogne, rue des Cordeliers. M.DCC. LXVI.;1766;"[Factum. Lally-Tollendal, Thomas Arthur de (1702-1766 ; comteAffaire). 1766]";Lally-Tollendal, Thomas Arthur de -- Affaire (Factums FA);;fre | français | ;"VIII-579 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb36735100h;36735100;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-FM-15836 (1) | ;2;"Mémoire à consulter et consultation, pour le sieur Duval Dumanoir, & M. Duval d'Espremenil, avocat du roi au Châtelet ; héritiers du feû sieur Duval de Leyrit, gouverneur de Pondichéry . Avec les lettres que les sieurs Duval de Leyrit & de Lally se sont écrites dans l'Inde, pour servir de pièces justificatives";Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte | Duval Dumanoir. Auteur du texte | Duval de Leyrit. Auteur du texte | ;;A Paris, de l'imprimerie de Michel Lambert, au College de Bourgogne, rue des Cordeliers. M.DCC. LXVI.;1766;"[Factum. Lally-Tollendal, Thomas Arthur de (1702-1766 ; comteAffaire). 1766]";Lally-Tollendal, Thomas Arthur de -- Affaire (Factums FA);;fre | français | ;"VIII-579 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb36735100h;36735100;monographie;texte imprimé;ARS | Arsenal | magasin | 4-J-2623 | ;3;"Mémoire à consulter et consultation, pour le sieur Duval Dumanoir, & M. Duval d'Espremenil, avocat du roi au Châtelet ; héritiers du feû sieur Duval de Leyrit, gouverneur de Pondichéry . Avec les lettres que les sieurs Duval de Leyrit & de Lally se sont écrites dans l'Inde, pour servir de pièces justificatives";Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte | Duval Dumanoir. Auteur du texte | Duval de Leyrit. Auteur du texte | ;;A Paris, de l'imprimerie de Michel Lambert, au College de Bourgogne, rue des Cordeliers. M.DCC. LXVI.;1766;"[Factum. Lally-Tollendal, Thomas Arthur de (1702-1766 ; comteAffaire). 1766]";Lally-Tollendal, Thomas Arthur de -- Affaire (Factums FA);;fre | français | ;"VIII-579 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb36735101v;36735101;monographie;texte imprimé;Document numérique | NUMM-3045432 | ;1;"Mémoire a consulter et consultation, pour le sieur Duval Dumanoir, & M. Duval d'Espremenil, avocat du roi au Châtelet ; héritiers du feu sieur Duval de Leyrit, gouverneur de Pondichéry . Avec les lettres que les sieurs Duval de Leyrit & de Lally se sont écrites dans l'Inde, pour servir de pièces justificatives";Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte | Duval Dumanoir. Auteur du texte | Duval de Leyrit. Auteur du texte | ;;A Paris, de l'imprimerie de Michel Lambert, au Collège de Bourgogne, rue des Cordeliers. M.DCC.LXVI.;1766;"[Factum. Lally-Tollendal, Thomas Arthur de (1702-1766 ; comteAffaire). 1766]";Lally-Tollendal, Thomas Arthur de -- Affaire (Factums FA);;fre | français | ;"VIII-579 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb36735101v;36735101;monographie;texte imprimé;Document numérique | NUMM-3045542 | ;2;"Mémoire a consulter et consultation, pour le sieur Duval Dumanoir, & M. Duval d'Espremenil, avocat du roi au Châtelet ; héritiers du feu sieur Duval de Leyrit, gouverneur de Pondichéry . Avec les lettres que les sieurs Duval de Leyrit & de Lally se sont écrites dans l'Inde, pour servir de pièces justificatives";Eprémesnil, Jean-Jacques Duval d' (1745-1794). Auteur du texte | Duval Dumanoir. Auteur du texte | Duval de Leyrit. Auteur du texte | ;;A Paris, de l'imprimerie de Michel Lambert, au Collège de Bourgogne, rue des Cordeliers. M.DCC.LXVI.;1766;"[Factum. Lally-Tollendal, Thomas Arthur de (1702-1766 ; comteAffaire). 1766]";Lally-Tollendal, Thomas Arthur de -- Affaire (Factums FA);;fre | français | ;"VIII-579 p. ; in-4";
