Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb393337817;39333781;monographie;texte imprimé;Document numérique | NUMM-1510732 | ;1;Les sens, poème en cinq parties / [par Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Lejay (Genève);;;;;fre | français | ;in-8;
http://catalogue.bnf.fr/ark:/12148/cb393337817;39333781;monographie;texte imprimé;ARS | Arsenal | magasin de la Réserve | RESERVE 4-BL-3563 (3) | ;2;Les sens, poème en cinq parties / [par Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Lejay (Genève);;;;;fre | français | ;in-8;
http://catalogue.bnf.fr/ark:/12148/cb352825912;35282591;monographie;texte imprimé;Document numérique | NUMM-8332 | ;1;Théâtre complet ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève);1778-1784;;;;fre | français | ;"4 t. en 1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb352825912;35282591;monographie;texte imprimé;Tolbiac | libre-accès Haut-de-jardin | Littérature et art | Salle H | Littératures d'expression française | 84/33 MERC 2 t | ;2;Théâtre complet ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève);1778-1784;;;;fre | français | ;"4 t. en 1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb352825912;35282591;monographie;texte imprimé;Tolbiac | libre-accès | Littérature et art | Salle V | Littératures d'expression française | 84/33 MERC 2 t | ;3;Théâtre complet ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève);1778-1784;;;;fre | français | ;"4 t. en 1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb352825912;35282591;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | FOL-YF-214 (1-4) | ;4;Théâtre complet ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève);1778-1784;;;;fre | français | ;"4 t. en 1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb352825912;35282591;monographie;texte imprimé;Richelieu | Arts du spectacle | magasin | 4-Y-2903 | ;5;Théâtre complet ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève);1778-1784;;;;fre | français | ;"4 t. en 1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Document numérique | NUMM-81815 | ;1;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Document numérique | NUMM-9751303 | ;2;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 6721 | ;3;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-6384 (32) | ;4;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Y2-48566 (32) | ;5;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-9294 | ;6;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 6721 | ;7;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb372804682;37280468;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 6721 | ;8;Les songes et visions philosophiques / Louis-Sébastien Mercier;Mercier, Louis-Sébastien. Auteur du texte;;[s.n.] (Amsterdam);1788;"Collection : Voyages imaginaires, songes, visions et romans cabalistiques ; 32";;;fre | français | ;"335 p. : ill. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Document numérique | NUMM-84456 | ;1;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Document numérique | NUMM-84457 | ;2;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Document numérique | NUMM-84458 | ;3;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 724 | ;4;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 725 | ;5;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 726 | ;6;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-442 (1) | ;7;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-442 (2) | ;8;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-442 (3) | ;9;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 724 | ;10;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 725 | ;11;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 726 | ;12;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 724 | ;13;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 725 | ;14;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb351539501;35153950;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 726 | ;15;"L'an deux mille quatre cent-quarante : rêve s'il en fût jamais ; suivi de L'homme de fer : songe ([Reprod.]) [Louis-Sébastien Mercier]";Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Hachette (Paris);1786;;;;fre | français | ;"7 + 7 + 6 microfiches de 60 images ; 105 x 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8320 | ;1;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8321 | ;2;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8322 | ;3;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8323 | ;4;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8324 | ;5;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8325 | ;6;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8326 | ;7;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8327 | ;8;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8328 | ;9;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8329 | ;10;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Document numérique | NUMM-8330 | ;11;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb346230123;34623012;monographie;texte imprimé;Tolbiac | libre-accès | Philosophie, histoire, sciences de l'homme | Salle L | Histoire, archéologie | 944.360 3 MERC t1-2 | 1-2 | ;12;Tableau de Paris ([Reprod. en fac-sim.]) Louis-Sébastien Mercier;Mercier, Louis-Sébastien (1740-1814). Auteur du texte;;Slatkine (Genève) | [diffusion Champion] (Paris) | [diffusion Minard] () | ;1782-1788;;Moeurs et coutumes -- Paris (France) -- 18e siècle | Paris (France) | ;;fre | français | ;"12 t. en 6 vol. ; 22 cm";
