Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Document numérique | NUMM-5602826 | ;1;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE VZ-2341 | ;2;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | F-40110 | ;3;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | V-46940 | ;4;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | VZ-2341 | ;5;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-23862 (2) | ;6;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5276 (2) | ;7;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5860 | ;8;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5861 | ;9;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5862 (1) | ;10;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-5863 (1) | ;11;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S143379 | ;12;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517829;30951782;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S143379 | ;13;De la Caisse d'escompte . Par le comte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1785;;;;fre | français | ;"XVI-226 [i.e. 228]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb33328414f;33328414;monographie;texte imprimé;Document numérique | NUMM-9767739 | ;1;Correspondance entre M. C*** et le comte De Mirabeau sur le rapport de M. Necker, et sur l'arrêt du conseil du 29 décembre, qui continue pour six mois, force de monnaie au papier de la caisse d'escompte;;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur de lettres;;1789;;;;fre | français | ;In-8°;
http://catalogue.bnf.fr/ark:/12148/cb33328414f;33328414;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | V-35410 | ;2;Correspondance entre M. C*** et le comte De Mirabeau sur le rapport de M. Necker, et sur l'arrêt du conseil du 29 décembre, qui continue pour six mois, force de monnaie au papier de la caisse d'escompte;;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur de lettres;;1789;;;;fre | français | ;In-8°;
http://catalogue.bnf.fr/ark:/12148/cb30951885m;30951885;monographie;texte imprimé;Document numérique | NUMM-1509090 | ;1;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 62 p.;
http://catalogue.bnf.fr/ark:/12148/cb30951885m;30951885;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | M-29849 | ;2;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 62 p.;
http://catalogue.bnf.fr/ark:/12148/cb30951886z;30951886;monographie;texte imprimé;Document numérique | NUMM-1509089 | ;1;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 84 p.;
http://catalogue.bnf.fr/ark:/12148/cb30951886z;30951886;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MZ-4750 | ;2;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 84 p.;
http://catalogue.bnf.fr/ark:/12148/cb364047285;36404728;monographie;texte imprimé;Document numérique | NUMM-131515 | ;1;"Précis historique de la maison impériale des Comnènes, où l'on trouve l'origine, les moeurs et les usages des Maniotes ; précédé d'une filiation directe et reconnue par lettres patentes du roi du mois d'avril 1782, depuis David, dernier empereur de Trébisonde, jusqu'à Démétrius Comnène, actuellement capitaine de cavalerie en France";Comnène, Démétrius (1749-1821). Auteur du texte | Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte | ;;;1784;;Comnène;;fre | français | ;"184 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb364047285;36404728;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LM3-230 | ;2;"Précis historique de la maison impériale des Comnènes, où l'on trouve l'origine, les moeurs et les usages des Maniotes ; précédé d'une filiation directe et reconnue par lettres patentes du roi du mois d'avril 1782, depuis David, dernier empereur de Trébisonde, jusqu'à Démétrius Comnène, actuellement capitaine de cavalerie en France";Comnène, Démétrius (1749-1821). Auteur du texte | Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte | ;;;1784;;Comnène;;fre | français | ;"184 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30951883x;30951883;monographie;texte imprimé;Document numérique | NUMM-1509218 | ;1;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 91 p.;
http://catalogue.bnf.fr/ark:/12148/cb30951883x;30951883;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES P-Z-150 (16,4) | ;2;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 91 p.;
http://catalogue.bnf.fr/ark:/12148/cb30951883x;30951883;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-9640 (2) | ;3;Lettre remise à Frédéric-Guillaume II, roi régnant de Prusse, le jour de son avènement au trône, par le Cte de Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte;;;1787;;;;fre | français | ;In-8° , 91 p.;
http://catalogue.bnf.fr/ark:/12148/cb309517949;30951794;monographie;texte imprimé;Document numérique | NUMM-5626469 | ;1;Conversation du comte de Mirabeau avec monsieur le garde-des-sceaux de France, au sujet de son procès avec madame son épouse , suivi du Testament de M. l'abbé Pommilr ["sic pour" Pommier].;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte | Pommier, Abbé. Auteur du texte | ;;A Paris. M. DCC. LXXXIV.;1784;Comprend : Testament;Mirabeau, Honoré-Gabriel de Riqueti, Cte de;;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517949;30951794;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LN27-14227 | ;2;Conversation du comte de Mirabeau avec monsieur le garde-des-sceaux de France, au sujet de son procès avec madame son épouse , suivi du Testament de M. l'abbé Pommilr ["sic pour" Pommier].;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte | Pommier, Abbé. Auteur du texte | ;;A Paris. M. DCC. LXXXIV.;1784;Comprend : Testament;Mirabeau, Honoré-Gabriel de Riqueti, Cte de;;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb309517949;30951794;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-9639 (1) | ;3;Conversation du comte de Mirabeau avec monsieur le garde-des-sceaux de France, au sujet de son procès avec madame son épouse , suivi du Testament de M. l'abbé Pommilr ["sic pour" Pommier].;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte | Pommier, Abbé. Auteur du texte | ;;A Paris. M. DCC. LXXXIV.;1784;Comprend : Testament;Mirabeau, Honoré-Gabriel de Riqueti, Cte de;;fre | français | ;"39 p. ; in-8";
