Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb301681229;30168122;monographie;texte imprimé;Document numérique | NUMM-5425923 | ;1;Romance de la rosière de Salanci, chantée chez M. le prieur de Salanci, par Mme la Ctesse de Genlis, le 8 juin 1766... par M. le Cte de Genlis;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";;impr. de P. Rocher (Noyon);1766;;;;fre | français | ;In-4° , 4 p.;
http://catalogue.bnf.fr/ark:/12148/cb301681229;30168122;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-2943 | ;2;Romance de la rosière de Salanci, chantée chez M. le prieur de Salanci, par Mme la Ctesse de Genlis, le 8 juin 1766... par M. le Cte de Genlis;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";;impr. de P. Rocher (Noyon);1766;;;;fre | français | ;In-4° , 4 p.;
http://catalogue.bnf.fr/ark:/12148/cb372616135;37261613;monographie;texte imprimé;Document numérique | NUMM-44053 | ;1;Rapport des commissaires de la Convention nationale aux armées réunies ([Reprod.]) par le citoyen Sillery,...;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";France. Convention nationale. Éditeur scientifique;Maxwell;179.;"Collection : Les archives de la Révolution française ; 11.1a.238";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37248560p;37248560;monographie;texte imprimé;Document numérique | NUMM-44537 | ;1;"Décret relatif à la correspondance des grades du service de mer avec celui de terre ; précédé du Rapport fait par M. Sillery, au nom du Comité de la marine du 22 mai 1791 ([Reprod.]) impr. par ordre de l'Assemblée nationale";"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";France. Assemblée nationale législative (1791-1792). Comité de marine. Éditeur scientifique;Maxwell;1791;"Collection : Les archives de la Révolution française ; 11.1b.182";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37243372x;37243372;monographie;texte imprimé;Document numérique | NUMM-44536 | ;1;Opinion de M. de Sillery, et projet de décret, sur l'admission des aspirans dans le corps de la marine militaire ([Reprod.]) impr. par ordre de l'Assemblée nationale;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";France. Assemblée nationale constituante (1789-1791). Éditeur scientifique;Maxwell;1791;"Collection : Les archives de la Révolution française ; 11.1b.181";Capitaines de navire -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37249147m;37249147;monographie;texte imprimé;Document numérique | NUMM-44482 | ;1;"Décret de l'Assemblée nationale, sur les moyens d'appliquer au Corps actuel de la Marine les décrets relatifs à l'organisation de ce corps ; précédé du Rapport fait au nom du Comité de la marine ([Reprod.]) par M. de Sillery, le 23 avril 1791, impr. p̂ar ordre de l'Assemblée nationale";"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | France. Assemblée nationale constituante (1789-1791). Comité de la marine. Auteur du texte | ";;Maxwell;1791;"Collection : Les archives de la Révolution française ; 11.1b.127";France. Marine -- Organisation;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;Document numérique | NUMM-6214506 | ;1;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P88/1557 | ;2;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB41-141 | ;3;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB41-141 | ;4;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;ARS | Arsenal | magasin | BR-22078 | ;5;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P88/1557 | ;6;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31151449d;31151449;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P88/1557 | ;7;Adresse des commissaires de la Convention nationale, a l'armée de la République.;"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte | Prieur, Pierre-Louis (1756-1827). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ";;(A Metz, de l'Imprimerie de Claude Lamort [1792].);1792;;France (1792-1795);;fre | français | ;"3 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb37243367b;37243367;monographie;texte imprimé;Document numérique | NUMM-44538 | ;1;"Rapport sur le traitement du corps de la marine ([Reprod.]) fait au nom du Comité de la marine ; par M. de Sillery ; impr. par ordre de l'Assemblée nationale";"Genlis, Charles-Alexis-Pierre Brulart (1737-1793 ; comte de). Auteur du texte";France. Assemblée nationale constituante (1789-1791). Comité de la marine. Éditeur scientifique | France. Assemblée nationale constituante (1789-1791). Éditeur scientifique | ;Maxwell;1791;"Collection : Les archives de la Révolution française ; 11.1b.183";Capitaines de navire -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
