"","link","Type.de.notice","Type.de.document","Titre","Auteur","Contributeur","Editeur","Date","Description","Sujet","Langue","Format","pages","link_gallica"
"1","http://catalogue.bnf.fr/ark:/12148/cb37236775k","monographie","texte imprimé","Opinion sur le divorce, prononcée au Conseil des Cinq-cents, le 12 pluviôse an 5 ([Reprod.]) par Jean-Henry Bancal,...","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","","Micro Graphix","1797","Collection : Les archives de la Révolution française ; 9.4.338","Divorce -- Droit -- France","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k42803h"
"2","http://catalogue.bnf.fr/ark:/12148/cb346933758","monographie","texte imprimé","Du nouvel ordre social ([Reprod.]) par Henry Bancal,...","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","","Hachette (Paris)","1792","","","fre | français | ","1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k85298x"
"3","http://catalogue.bnf.fr/ark:/12148/cb30051725x","monographie","texte imprimé","Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","France. Convention nationale. Éditeur scientifique","Impr. nationale (Paris)","1792","","","fre | français | ","In-8° , 28 p.","8° , 28 p.","https://gallica.bnf.fr/ark:/12148/bpt6k42324856"
"4","http://catalogue.bnf.fr/ark:/12148/cb300517148","monographie","texte imprimé","Henri Bancal, député à la Convention, à Anacharsis Clootz, son collègue","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","","Impr. du Cercle social (Paris)","1793-1794","","","fre | français | ","16 p. ; in-8","16 p.","https://gallica.bnf.fr/ark:/12148/bpt6k853041"
"5","http://catalogue.bnf.fr/ark:/12148/cb30051721j","monographie","texte imprimé","Des prochaines élections de l'an VI , par Jean-Henri Bancal, ex-représentant du peuple à la Convention nationale et au Conseil des Cinq-Cents","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","","impr. de Baudouin (Paris)","1798","","","fre | français | ","12 p. ; in-8","12 p.","https://gallica.bnf.fr/ark:/12148/bpt6k62669573"
"6","http://catalogue.bnf.fr/ark:/12148/cb40036168f","monographie","texte imprimé","Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République , par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte","France. Convention nationale. Éditeur scientifique","impr. de J. Ferrand (Rouen)","1793","[Discours. 1792-12-24]","Écoles publiques -- France | Auvergne (France) -- 1789-1799 (Révolution) -- Sources | Haute-Normandie (France) -- 1789-1799 (Révolution) -- Sources | ","fre | français | ","1 fasc. (28 p.) ; 20 cm","1 fasc. (28 p.","https://gallica.bnf.fr/ark:/12148/bpt6k2207561"
"7","http://catalogue.bnf.fr/ark:/12148/cb300568033","monographie","texte imprimé","Les époques de la nation française, et les quatre dynasties ; par Bertrand Barère.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, chez L. Colas, impr.-libr., rue du Petit-Lion-Saint-Sulpice, en face de la rue Garencière ; Delaunay, libr., Palais-Royal, galeries de bois. 23 mai 1815.","1815","","France -- 1815 (Cent-Jours)","fre | français | ","21-[1 bl.]-[1] p. ; in-8","21-[1 bl.]-[1] p.","https://gallica.bnf.fr/ark:/12148/bpt6k6306761w"
"8","http://catalogue.bnf.fr/ark:/12148/cb30056796n","monographie","texte imprimé","Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.","1815","","France (1815, Cent-Jours)","fre | français | ","[4]-43 p. ; in-8","4]-43 p.","https://gallica.bnf.fr/ark:/12148/bpt6k56243149"
"9","http://catalogue.bnf.fr/ark:/12148/cb37244091m","monographie","texte imprimé","Rapport à faire par Barère, au nom de l'opinion publique, ou Bertrand Barère, représentant du peuple, juge de monsieur Barère de Vieuzac, écuyer, conseiller du roi, rapporteur de la liste civile, président des Feuillans, valet de Mirabeau, de d'Orléans, de Danton, de Brissot, etc. et secrétaire en chef du crime sous Robespierre ([Reprod.]) ","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","Micro Graphix","1794-1795","Collection : Les archives de la Révolution française ; 6.2.1686","","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k412070"
"10","http://catalogue.bnf.fr/ark:/12148/cb30056825d","monographie","texte imprimé","Observations présentées a l'Assemblée nationale, par M. Barère de Vieuzac, député du Bigorre, sur la nécessité de faire de ce pays d'États un département, dont la ville de Tarbes soit le chef-lieu.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","([Paris.] De l'Imp. de Ballard, rue des Mathurius [sic]. [1789])","1789","","Bigorre (France)","fre | français | ","22 p. ; in-8","22 p.","https://gallica.bnf.fr/ark:/12148/bpt6k8535307"
