;link_bnf;link_gallica;author_short;selected;Titre;Date;Format;Auteur;Contributeur;Editeur;Description;Sujet;Langue;Format;link_gallica
1;http://catalogue.bnf.fr/ark:/12148/cb37236072m;https://gallica.bnf.fr/ark:/12148/bpt6k45693g;Fauchet;;Lettre pastorale de l'évêque du Calvados, et la traduction de sa lettre de communion adressée à notre saint père le Pape ([Reprod.]) Claude Fauchet;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.826";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45693g
2;http://catalogue.bnf.fr/ark:/12148/cb372360749;https://gallica.bnf.fr/ark:/12148/bpt6k45696h;Fauchet;;Lettre circulaire de M. Fauchet, évêque de Calvados, envoyée par lui à tous les curés de son diocèse, à tous les clubs et à toutes les sociétés du département ([Reprod.]) Claude Fauchet;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.830";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45696h
3;http://catalogue.bnf.fr/ark:/12148/cb372354834;https://gallica.bnf.fr/ark:/12148/bpt6k45464b;Fauchet;;L' interprète infidèle des saintes écritures ou Analyse raisonnée du sermon sur l'accord de la religion & de la liberté ([Reprod.]) par Claude Fauchet;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.594";Liberté -- Christianisme;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45464b
4;http://catalogue.bnf.fr/ark:/12148/cb37234905g;https://gallica.bnf.fr/ark:/12148/bpt6k45909k;Fauchet;;Sermon sur l'accord de la religion et de la liberté prononcé dans la métropole de Paris, le 4 février 1791, pour la solemnité civique des anciens représentans de la Commune, en mémoire de ce qu'à pareil jour, le Roi vint à l'Assemblée nationale reconnaître la souveraineté du peuple ([Reprod.]) Claude Lauchet, prédicateur du Roi,...;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.1053";France. Assemblée nationale constituante. Constitution civile du clergé;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45909k
5;http://catalogue.bnf.fr/ark:/12148/cb372523319;https://gallica.bnf.fr/ark:/12148/bpt6k52112r;Fauchet;;"Recueil de l'origine de la langue et poésie françoise, ryme et romans ; plus Les noms et sommaire des oeuvres de CXXVII. poetes françois, vivans avant l'an M.CCC. ([Reprod.]) [Claude Fauchet,...]";1581;"1 microfilm ; 35 mm";Fauchet, Claude (1530-1602). Auteur du texte;;Omnisys (Cambridge (Mass.));"Collection : French books before 1601 ; 1.7";Français (langue) -- 16e siècle | Poésie française -- Avant 1500 |;frm | français moyen  | ;"1 microfilm ; 35 mm";https://gallica.bnf.fr/ark:/12148/bpt6k52112r
6;http://catalogue.bnf.fr/ark:/12148/cb37234731g;https://gallica.bnf.fr/ark:/12148/bpt6k505967;Fauchet;;"Recueil de l'origine de la langue et poésie françoise, ryme et romans ; plus Les noms et sommaire des oeuvres de CXXVII. poetes françois, vivans avant l'an M.CCC. ([Reprod.]) [Claude Fauchet,...]";1581;"3 microfiches ; 105*148 mm";Fauchet, Claude (1530-1602). Auteur du texte;;France-Expansion (Paris);"Collection : Archives de la linguistique française ; 150";Français (langue) -- 16e siècle | Poésie française -- Avant 1500 |;frm | français moyen  | ;"3 microfiches ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k505967
7;http://catalogue.bnf.fr/ark:/12148/cb354059086;https://gallica.bnf.fr/ark:/12148/bpt6k44012;Fauchet;;Recueil de l'origine de la langue et poésie française : rime et romans ([Reproduction en fac-similé]) Claude Fauchet;1581;"1 vol. (209 p.) ; 23 cm";Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);;Français (langue) -- 16e siècle | Poésie française -- 16e siècle |;fre | français | ;"1 vol. (209 p.) ; 23 cm";https://gallica.bnf.fr/ark:/12148/bpt6k44012
8;http://catalogue.bnf.fr/ark:/12148/cb374005999;https://gallica.bnf.fr/ark:/12148/bpt6k4399s | https://gallica.bnf.fr/ark:/12148/bpt6k4400r;Fauchet;;Oeuvres : revues et corrigées en ceste dernière édition ([Reprod. en fac-sim.]) Claude Fauchet;1610;"2 vol. (592 p.) ; 23 cm";Fauchet, Claude (1530-1602). Auteur du texte;;Slatkine (Genève);;;frm | français moyen  | ;"2 vol. (592 p.) ; 23 cm";https://gallica.bnf.fr/ark:/12148/bpt6k4399s | https://gallica.bnf.fr/ark:/12148/bpt6k4400r
9;http://catalogue.bnf.fr/ark:/12148/cb37238455m;https://gallica.bnf.fr/ark:/12148/bpt6k421565;Fauchet;;Mémoire à messieurs du Comité de constitution de l'Assemblée nationale, sur la question de savoir si les administrateurs provisoires de la municipalité doivent rendre leurs premiers comptes aux représentans provisoires de la commune de Paris ([Reprod.]) [signé : l'Abbé Fauchet,...];1790;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Micro Graphix;"Collection : Les archives de la Révolution française ; 9.1.303";Administrateurs provisoires -- Paris (France);fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k421565
10;http://catalogue.bnf.fr/ark:/12148/cb37235211q;https://gallica.bnf.fr/ark:/12148/bpt6k458753;Fauchet;;Troisième discours sur la liberté françoise, prononcé le dimanche 27 septembre 1789, dans l'église de Notre-Dame... ([Reprod.]) par M. l'Abbé Fauchet,...;1789;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.1018 | [Discours. 1789-09-27] |";;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k458753
