Source,Target,Weight,Type
Bergasse_10,Bergasse_11,6,undirected
Bergasse_10,Bergasse_2,2,undirected
Bergasse_10,Bergasse_6,3,undirected
Bergasse_11,Bergasse_10,6,undirected
Bergasse_11,Bergasse_2,3,undirected
Bergasse_11,Bergasse_6,5,undirected
Bergasse_2,Bergasse_10,2,undirected
Bergasse_2,Bergasse_11,3,undirected
Bergasse_2,Bergasse_6,5,undirected
Bergasse_6,Bergasse_10,3,undirected
Bergasse_6,Bergasse_11,5,undirected
Bergasse_6,Bergasse_2,5,undirected
Brissot_2,Brissot_4,3,undirected
Brissot_2,Brissot_8,2,undirected
Brissot_2,Brissot_9,5,undirected
Brissot_4,Brissot_2,3,undirected
Brissot_4,Brissot_8,6,undirected
Brissot_4,Brissot_9,5,undirected
Brissot_8,Brissot_2,2,undirected
Brissot_8,Brissot_4,6,undirected
Brissot_8,Brissot_9,3,undirected
Brissot_9,Brissot_2,5,undirected
Brissot_9,Brissot_4,5,undirected
Brissot_9,Brissot_8,3,undirected
Condorcet_11,Condorcet_2,2,undirected
Condorcet_11,Condorcet_7,3,undirected
Condorcet_11,Condorcet_8,6,undirected
Condorcet_2,Condorcet_11,2,undirected
Condorcet_2,Condorcet_7,6,undirected
Condorcet_2,Condorcet_8,4,undirected
Condorcet_7,Condorcet_11,3,undirected
Condorcet_7,Condorcet_2,6,undirected
Condorcet_7,Condorcet_8,3,undirected
Condorcet_8,Condorcet_11,6,undirected
Condorcet_8,Condorcet_2,4,undirected
Condorcet_8,Condorcet_7,3,undirected
D'Alembert_10,D'Alembert_12,6,undirected
D'Alembert_10,D'Alembert_13,2,undirected
D'Alembert_10,D'Alembert_3,3,undirected
D'Alembert_12,D'Alembert_10,6,undirected
D'Alembert_12,D'Alembert_13,4,undirected
D'Alembert_12,D'Alembert_3,5,undirected
D'Alembert_13,D'Alembert_10,2,undirected
D'Alembert_13,D'Alembert_12,4,undirected
D'Alembert_13,D'Alembert_3,4,undirected
D'Alembert_3,D'Alembert_10,3,undirected
D'Alembert_3,D'Alembert_12,5,undirected
D'Alembert_3,D'Alembert_13,4,undirected
Delisle-de-Sales_11,Delisle-de-Sales_18,6,undirected
Delisle-de-Sales_11,Delisle-de-Sales_6,3,undirected
Delisle-de-Sales_11,Delisle-de-Sales_7,5,undirected
Delisle-de-Sales_18,Delisle-de-Sales_11,6,undirected
Delisle-de-Sales_18,Delisle-de-Sales_6,2,undirected
Delisle-de-Sales_18,Delisle-de-Sales_7,3,undirected
Delisle-de-Sales_6,Delisle-de-Sales_11,3,undirected
Delisle-de-Sales_6,Delisle-de-Sales_18,2,undirected
Delisle-de-Sales_6,Delisle-de-Sales_7,5,undirected
Delisle-de-Sales_7,Delisle-de-Sales_11,5,undirected
Delisle-de-Sales_7,Delisle-de-Sales_18,3,undirected
Delisle-de-Sales_7,Delisle-de-Sales_6,5,undirected
Garat_10,Garat_4,4,undirected
Garat_10,Garat_5,5,undirected
Garat_10,Garat_8,3,undirected
Garat_4,Garat_10,4,undirected
Garat_4,Garat_5,6,undirected
Garat_4,Garat_8,2,undirected
