Source,Target,Weight,Type
Bergasse_10,Bergasse_11,606,undirected
Bergasse_10,Bergasse_2,208,undirected
Bergasse_10,Bergasse_6,324,undirected
Bergasse_11,Bergasse_10,606,undirected
Bergasse_11,Bergasse_2,389,undirected
Bergasse_11,Bergasse_6,452,undirected
Bergasse_2,Bergasse_10,208,undirected
Bergasse_2,Bergasse_11,389,undirected
Bergasse_2,Bergasse_6,445,undirected
Bergasse_2,Delisle-de-Sales_18,16,undirected
Bergasse_6,Bergasse_10,324,undirected
Bergasse_6,Bergasse_11,452,undirected
Bergasse_6,Bergasse_2,445,undirected
Brissot_2,Brissot_4,312,undirected
Brissot_2,Brissot_8,233,undirected
Brissot_2,Brissot_9,498,undirected
Brissot_2,Condorcet_7,1,undirected
Brissot_4,Brissot_2,312,undirected
Brissot_4,Brissot_8,606,undirected
Brissot_4,Brissot_9,503,undirected
Brissot_8,Brissot_2,233,undirected
Brissot_8,Brissot_4,606,undirected
Brissot_8,Brissot_9,260,undirected
Brissot_8,Sieyes_3,1,undirected
Brissot_8,Sieyes_4,1,undirected
Brissot_9,Brissot_2,498,undirected
Brissot_9,Brissot_4,503,undirected
Brissot_9,Brissot_8,260,undirected
Brissot_9,Sieyes_11,9,undirected
Condorcet_11,Condorcet_2,47,undirected
Condorcet_11,Condorcet_7,391,undirected
Condorcet_11,Condorcet_8,539,undirected
Condorcet_11,Delisle-de-Sales_18,6,undirected
Condorcet_11,Garat_10,72,undirected
Condorcet_11,Garat_8,2,undirected
Condorcet_2,Condorcet_11,47,undirected
Condorcet_2,Condorcet_7,606,undirected
Condorcet_2,Condorcet_8,435,undirected
Condorcet_2,Garat_8,84,undirected
Condorcet_7,Brissot_2,1,undirected
Condorcet_7,Condorcet_11,391,undirected
Condorcet_7,Condorcet_2,606,undirected
Condorcet_7,Condorcet_8,219,undirected
Condorcet_7,Garat_4,59,undirected
Condorcet_8,Condorcet_11,539,undirected
Condorcet_8,Condorcet_2,435,undirected
Condorcet_8,Condorcet_7,219,undirected
Condorcet_8,Delisle-de-Sales_6,15,undirected
D'Alembert_10,D'Alembert_12,606,undirected
D'Alembert_10,D'Alembert_13,302,undirected
D'Alembert_10,D'Alembert_3,208,undirected
D'Alembert_12,D'Alembert_10,606,undirected
D'Alembert_12,D'Alembert_13,470,undirected
D'Alembert_12,D'Alembert_3,400,undirected
D'Alembert_13,D'Alembert_10,302,undirected
D'Alembert_13,D'Alembert_12,470,undirected
D'Alembert_13,D'Alembert_3,438,undirected
D'Alembert_3,D'Alembert_10,208,undirected
D'Alembert_3,D'Alembert_12,400,undirected
D'Alembert_3,D'Alembert_13,438,undirected
Delisle-de-Sales_11,Delisle-de-Sales_18,546,undirected
Delisle-de-Sales_11,Delisle-de-Sales_6,200,undirected
Delisle-de-Sales_11,Delisle-de-Sales_7,564,undirected
Delisle-de-Sales_18,Bergasse_2,16,undirected
Delisle-de-Sales_18,Condorcet_11,6,undirected
Delisle-de-Sales_18,Delisle-de-Sales_11,546,undirected
Delisle-de-Sales_18,Delisle-de-Sales_6,338,undirected
Delisle-de-Sales_18,Delisle-de-Sales_7,254,undirected
Delisle-de-Sales_6,Condorcet_8,15,undirected
Delisle-de-Sales_6,Delisle-de-Sales_11,200,undirected
Delisle-de-Sales_6,Delisle-de-Sales_18,338,undirected
Delisle-de-Sales_6,Delisle-de-Sales_7,463,undirected
Delisle-de-Sales_6,Garat_4,21,undirected
Delisle-de-Sales_6,Garat_8,1,undirected
Delisle-de-Sales_7,Delisle-de-Sales_11,564,undirected
Delisle-de-Sales_7,Delisle-de-Sales_18,254,undirected
Delisle-de-Sales_7,Delisle-de-Sales_6,463,undirected
Garat_10,Condorcet_11,72,undirected
Garat_10,Garat_4,475,undirected
Garat_10,Garat_5,334,undirected
Garat_10,Garat_8,330,undirected
Garat_4,Condorcet_7,59,undirected
Garat_4,Delisle-de-Sales_6,21,undirected
Garat_4,Garat_10,475,undirected
Garat_4,Garat_5,590,undirected
Garat_4,Garat_8,172,undirected
Garat_5,Garat_10,334,undirected
Garat_5,Garat_4,590,undirected
Garat_5,Garat_8,493,undirected
Garat_8,Condorcet_11,2,undirected
Garat_8,Condorcet_2,84,undirected
Garat_8,Delisle-de-Sales_6,1,undirected
Garat_8,Garat_10,330,undirected
Garat_8,Garat_4,172,undirected
Garat_8,Garat_5,493,undirected
Gouges_2,Gouges_3,606,undirected
Gouges_2,Gouges_4,505,undirected
Gouges_2,Gouges_5,303,undirected
Gouges_3,Gouges_2,606,undirected
Gouges_3,Gouges_4,303,undirected
Gouges_3,Gouges_5,505,undirected
Gouges_4,Gouges_2,505,undirected
Gouges_4,Gouges_3,303,undirected
Gouges_4,Gouges_5,202,undirected
Gouges_5,Gouges_2,303,undirected
Gouges_5,Gouges_3,505,undirected
Gouges_5,Gouges_4,202,undirected
La-Harpe_1,La-Harpe_4,302,undirected
La-Harpe_1,La-Harpe_6,165,undirected
La-Harpe_1,La-Harpe_9,606,undirected
La-Harpe_1,Sieyes_2,85,undirected
La-Harpe_4,La-Harpe_1,302,undirected
La-Harpe_4,La-Harpe_6,413,undirected
La-Harpe_4,La-Harpe_9,387,undirected
La-Harpe_4,Sieyes_2,126,undirected
La-Harpe_4,Sieyes_3,2,undirected
La-Harpe_6,La-Harpe_1,165,undirected
La-Harpe_6,La-Harpe_4,413,undirected
La-Harpe_6,La-Harpe_9,442,undirected
