"Bergasse_10" "Bergasse_11" "Bergasse_2" "Bergasse_6" "Brissot_2" "Brissot_4" "Brissot_8" "Brissot_9" "Condorcet_11" "Condorcet_2" "Condorcet_7" "Condorcet_8" "D'Alembert_10" "D'Alembert_12" "D'Alembert_13" "D'Alembert_3" "Delisle-de-Sales_11" "Delisle-de-Sales_18" "Delisle-de-Sales_6" "Delisle-de-Sales_7" "Garat_10" "Garat_4" "Garat_5" "Garat_8" "Gouges_2" "Gouges_3" "Gouges_4" "Gouges_5" "La-Harpe_1" "La-Harpe_4" "La-Harpe_6" "La-Harpe_9" "Marmontel_14" "Marmontel_15" "Marmontel_17" "Marmontel_18" "Sieyes_11" "Sieyes_2" "Sieyes_3" "Sieyes_4" "Villar_2" "Villar_3" "Villar_4" "Villar_6"
"de" 5.08474576271186 5.49450549450549 5.08728179551122 5.12948207171315 4.44333499750374 3.95 4.39340988517224 3.9 5.59720139930035 6.04697651174413 5.59440559440559 5.45 5.55 4.89755122438781 5.84123814278582 5.39730134932534 5.3946053946054 3.79241516966068 5.5472263868066 5.43640897755611 5.04747626186907 5.3946053946054 5.14742628685657 5.84415584415584 5.65 4.74525474525475 5.69715142428786 4.65 4.44555444555445 3.94408387418872 4.59770114942529 4.33482810164424 4.2 4.64071856287425 4.99001996007984 3.35 4.54545454545455 3.3 4.15 4.55 5.04495504495504 5.14485514485514 5.4917623564653 4.69061876247505
"la" 2.29312063808574 2.04795204795205 2.44389027431421 2.2410358565737 3.5446829755367 2.7 3.49475786320519 3.2 3.09845077461269 4.29785107446277 3.1968031968032 3.55 4.2 3.9480259870065 3.5446829755367 4.24787606196902 2.94705294705295 3.0439121756487 3.34832583708146 3.29177057356608 2.99850074962519 3.44655344655345 3.74812593703148 3.3966033966034 3.35 3.5964035964036 4.19790104947526 4.1 2.24775224775225 3.19520718921618 2.4487756121939 2.79023418036871 2.65 2.49500998003992 2.84431137724551 2.5 3.64635364635365 3.35 2.7 2.85 2.6973026973027 2.8971028971029 2.39640539191213 2.79441117764471
"les" 2.19341974077767 1.44855144855145 2.19451371571072 1.09561752988048 3.34498252621068 3.45 3.79430853719421 3.3 2.54872563718141 2.79860069965018 3.04695304695305 2.25 2.25 1.44927536231884 1.54767848227659 2.49875062468766 2.2977022977023 2.79441117764471 2.49875062468766 2.14463840399003 3.79810094952524 2.8971028971029 3.9480259870065 2.94705294705295 2.8 2.6973026973027 2.69865067466267 2.5 2.24775224775225 2.64603095356965 2.4487756121939 2.24215246636771 2.35 2.34530938123752 1.59680638722555 1.9 2.6973026973027 2 2.05 2.8 2.14785214785215 2.14785214785215 2.19670494258612 1.84630738522954
"le" 2.14356929212363 2.84715284715285 2.29426433915212 2.4402390438247 1.7473789316026 2.35 2.04692960559161 2.15 1.74912543728136 1.94902548725637 1.74825174825175 1.95 2.2 1.84907546226887 1.99700449326011 1.54922538730635 2.44755244755245 1.74650698602794 2.39880059970015 2.04488778054863 2.64867566216892 3.0969030969031 2.4487756121939 1.94805194805195 2.05 2.14785214785215 1.74912543728136 2.55 1.54845154845155 1.69745381927109 2.84857571214393 1.8435475834579 2.5 2.39520958083832 2.24550898203593 2 1.5984015984016 2.1 2.1 1.85 2.5974025974026 3.04695304695305 2.44633050424363 2.79441117764471
"que" 2.39282153539382 1.94805194805195 1.84538653366584 2.04183266932271 1.09835247129306 1.6 1.7473789316026 1.6 1.64917541229385 1.49925037481259 1.24875124875125 1.3 1.75 2.29885057471264 2.09685471792312 1.84907546226887 1.7982017982018 1.69660678642715 1.94902548725637 1.89526184538653 1.49925037481259 1.4985014985015 1.74912543728136 1.2987012987013 1.4 1.74825174825175 1.34932533733133 1.75 3.04695304695305 2.79580629056415 2.54872563718141 2.09267563527653 1.75 2.49500998003992 1.54690618762475 2 1.4985014985015 2.35 2.25 2.15 1.2987012987013 1.34865134865135 2.09685471792312 1.54690618762475
"il" 2.04386839481555 1.24875124875125 2.04488778054863 2.29083665338645 0.848726909635547 1.15 1.54767848227659 1.5 2.14892553723138 2.14892553723138 2.4975024975025 1.35 1.1 1.29935032483758 1.8472291562656 1.74912543728136 1.5984015984016 1.44710578842315 1.5992003998001 1.24688279301746 1.84907546226887 1.54845154845155 1.39930034982509 1.5984015984016 1.75 1.4985014985015 1.04947526236882 1.5 1.998001998002 2.34648027958063 1.39930034982509 2.24215246636771 1.95 2.44510978043912 1.99600798403194 2.2 1.4985014985015 2.1 1.75 1.6 1.8981018981019 2.1978021978022 1.54767848227659 1.14770459081836
"des" 1.59521435692921 1.54845154845155 1.59600997506234 1.44422310756972 1.8472291562656 1.95 1.54767848227659 1.5 1.99900049975012 2.29885057471264 1.6983016983017 2 1 1.44927536231884 0.848726909635547 1.5992003998001 1.4985014985015 1.79640718562874 2.09895052473763 2.49376558603491 2.29885057471264 2.3976023976024 2.24887556221889 2.1978021978022 2.1 1.3986013986014 2.19890054972514 1.3 1.3986013986014 1.24812780828757 1.39930034982509 1.34529147982063 1.6 1.14770459081836 0.898203592814371 1.65 1.6983016983017 2 1.4 1.35 1.6983016983017 1.5984015984016 1.49775336994508 1.34730538922156
"qu" 1.4456630109671 1.6983016983017 1.69576059850374 1.54382470119522 1.14827758362456 0.6 1.19820269595607 0.8 1.34932533733133 1.19940029985008 1.2987012987013 1.35 0.95 1.49925037481259 1.14827758362456 0.949525237381309 1.24875124875125 1.14770459081836 1.29935032483758 0.798004987531172 1.39930034982509 1.54845154845155 1.44927536231884 1.04895104895105 0.95 0.849150849150849 0.649675162418791 0.55 2.0979020979021 1.69745381927109 1.34932533733133 2.09267563527653 1.5 1.24750499001996 1.59680638722555 1.15 1.4985014985015 1.65 1.15 1.55 1.14885114885115 1.2987012987013 1.29805292061907 1.49700598802395
"qui" 1.14656031904287 1.2987012987013 1.34663341645885 1.54382470119522 1.19820269595607 1.55 1.09835247129306 1.35 1.74912543728136 1.39930034982509 1.64835164835165 1.6 1 0.999500249875062 1.39790314528208 1.19940029985008 1.14885114885115 1.94610778443114 1.94902548725637 1.59600997506234 1.49925037481259 1.54845154845155 1.64917541229385 1.0989010989011 0.95 0.999000999000999 1.29935032483758 0.9 1.24875124875125 1.44782825761358 1.29935032483758 0.847035376183358 0.55 0.998003992015968 0.798403193612774 1.15 1.2987012987013 0.8 1.05 1.05 0.699300699300699 1.34865134865135 1.34797803295057 1.04790419161677
"en" 0.847457627118644 0.749250749250749 1.29675810473815 1.59362549800797 1.14827758362456 0.85 1.24812780828757 1.1 0.999500249875062 1.14942528735632 1.34865134865135 1.3 1.3 1.74912543728136 1.64752870693959 1.04947526236882 1.04895104895105 1.04790419161677 1.19940029985008 0.947630922693267 0.999500249875062 1.14885114885115 0.899550224887556 0.899100899100899 1 1.04895104895105 1.44927536231884 1.4 1.54845154845155 1.04842735896156 1.29935032483758 1.54459392127554 1.3 1.19760479041916 1.54690618762475 1.45 1.1988011988012 1.15 1.35 1.55 1.34865134865135 1.04895104895105 1.49775336994508 1.19760479041916
