Source,Target,Weight,Type
Bergasse_3,Bergasse_7,6,undirected
Bergasse_3,Delisle-de-Sales_24,2,undirected
Bergasse_3,Marmontel_3,1,undirected
Bergasse_3,Marmontel_7,4,undirected
Bergasse_7,Bergasse_3,6,undirected
Bergasse_7,Delisle-de-Sales_14,1,undirected
Bergasse_7,Delisle-de-Sales_24,1,undirected
Bergasse_7,Marmontel_3,2,undirected
Brissot_1,Brissot_9,6,undirected
Brissot_1,Condorcet_7,1,undirected
Brissot_1,G1785_0_Préface_2,2,undirected
Brissot_1,Gouges_6,3,undirected
Brissot_1,Sieyes_9,5,undirected
Brissot_9,Brissot_1,6,undirected
Brissot_9,Gouges_2,3,undirected
Brissot_9,Sieyes_11,1,undirected
Condorcet_5,Condorcet_7,6,undirected
Condorcet_5,G1785_4_Discours préliminaire_2,4,undirected
Condorcet_5,Garat_6,3,undirected
Condorcet_7,Brissot_1,1,undirected
Condorcet_7,Condorcet_5,6,undirected
Condorcet_7,Villar_6,3,undirected
D'Alembert_11,D'Alembert_18,6,undirected
D'Alembert_11,La-Harpe_10,1,undirected
D'Alembert_11,Sieyes_11,5,undirected
D'Alembert_18,D'Alembert_11,6,undirected
D'Alembert_18,Sieyes_11,1,undirected
D'Alembert_18,Sieyes_9,2,undirected
Delisle-de-Sales_14,Bergasse_7,1,undirected
Delisle-de-Sales_14,Delisle-de-Sales_24,6,undirected
Delisle-de-Sales_14,Marmontel_7,2,undirected
Delisle-de-Sales_24,Bergasse_3,2,undirected
Delisle-de-Sales_24,Bergasse_7,1,undirected
Delisle-de-Sales_24,Delisle-de-Sales_14,6,undirected
Delisle-de-Sales_24,Villar_6,1,undirected
G1785_0_Préface_1,G1785_0_Préface_2,6,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_2,1,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_6,2,undirected
G1785_0_Préface_2,Brissot_1,2,undirected
G1785_0_Préface_2,G1785_0_Préface_1,6,undirected
