Source,Target,Weight,Type
Bergasse_13,Bergasse_7,605,undirected
Bergasse_13,Condorcet_3,144,undirected
Bergasse_13,Delisle-de-Sales_14,54,undirected
Bergasse_13,Delisle-de-Sales_24,322,undirected
Bergasse_13,Gouges_2,5,undirected
Bergasse_13,Marmontel_2,10,undirected
Bergasse_7,Bergasse_13,605,undirected
Bergasse_7,D'Alembert_2,68,undirected
Bergasse_7,Delisle-de-Sales_14,66,undirected
Bergasse_7,Marmontel_10,143,undirected
Bergasse_7,Marmontel_2,164,undirected
Brissot_10,Brissot_3,606,undirected
Brissot_10,Condorcet_15,439,undirected
Brissot_10,D'Alembert_2,33,undirected
Brissot_10,D'Alembert_20,14,undirected
Brissot_10,Garat_1,73,undirected
Brissot_10,Garat_3,6,undirected
Brissot_10,Gouges_5,126,undirected
Brissot_10,Sieyes_2,277,undirected
Brissot_3,Brissot_10,606,undirected
Brissot_3,Condorcet_15,114,undirected
Brissot_3,G1785_0_Préface_1,17,undirected
Brissot_3,Gouges_5,168,undirected
Brissot_3,La-Harpe_12,259,undirected
Brissot_3,Sieyes_11,8,undirected
Condorcet_15,Brissot_10,439,undirected
Condorcet_15,Brissot_3,114,undirected
Condorcet_15,Condorcet_3,538,undirected
Condorcet_15,G1785_1_Tableau général de la littérature_4,7,undirected
Condorcet_15,Garat_3,174,undirected
Condorcet_3,Bergasse_13,144,undirected
Condorcet_3,Condorcet_15,538,undirected
Condorcet_3,Delisle-de-Sales_14,17,undirected
Condorcet_3,Delisle-de-Sales_24,121,undirected
Condorcet_3,G1785_3_Troisième tableau_2,62,undirected
Condorcet_3,Garat_3,7,undirected
Condorcet_3,Sieyes_2,41,undirected
D'Alembert_2,Bergasse_7,68,undirected
D'Alembert_2,Brissot_10,33,undirected
D'Alembert_2,D'Alembert_20,606,undirected
D'Alembert_2,La-Harpe_12,218,undirected
D'Alembert_20,Brissot_10,14,undirected
D'Alembert_20,D'Alembert_2,606,undirected
D'Alembert_20,G1785_0_Préface_1,69,undirected
D'Alembert_20,G1785_2_Second tableau_2,92,undirected
D'Alembert_20,La-Harpe_12,148,undirected
Delisle-de-Sales_14,Bergasse_13,54,undirected
Delisle-de-Sales_14,Bergasse_7,66,undirected
Delisle-de-Sales_14,Condorcet_3,17,undirected
Delisle-de-Sales_14,Delisle-de-Sales_24,591,undirected
Delisle-de-Sales_14,G1785_0_Préface_4,178,undirected
Delisle-de-Sales_14,Garat_3,5,undirected
Delisle-de-Sales_14,Gouges_2,39,undirected
Delisle-de-Sales_14,Marmontel_2,6,undirected
Delisle-de-Sales_14,Villar_5,88,undirected
Delisle-de-Sales_24,Bergasse_13,322,undirected
Delisle-de-Sales_24,Condorcet_3,121,undirected
Delisle-de-Sales_24,Delisle-de-Sales_14,591,undirected
Delisle-de-Sales_24,Gouges_2,1,undirected
Delisle-de-Sales_24,Marmontel_10,233,undirected
Delisle-de-Sales_24,Marmontel_2,16,undirected
Delisle-de-Sales_24,Villar_5,98,undirected
G1785_0_Préface_1,Brissot_3,17,undirected
G1785_0_Préface_1,D'Alembert_20,69,undirected
G1785_0_Préface_1,G1785_0_Préface_4,606,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_4,5,undirected
G1785_0_Préface_1,G1785_1_Tableau général de la littérature_6,104,undirected
G1785_0_Préface_1,G1785_3_Troisième tableau_2,8,undirected
G1785_0_Préface_1,Garat_3,288,undirected
