Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb300568033;30056803;monographie;texte imprimé;Document numérique | NUMM-6306761 | ;1;"Les époques de la nation française, et les quatre dynasties ; par Bertrand Barère.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;"A Paris, chez L. Colas, impr.-libr., rue du Petit-Lion-Saint-Sulpice, en face de la rue Garencière ; Delaunay, libr., Palais-Royal, galeries de bois. 23 mai 1815.";1815;;France -- 1815 (Cent-Jours);;fre | français | ;"21-[1 bl.]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb300568033;30056803;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB46-292 | ;2;"Les époques de la nation française, et les quatre dynasties ; par Bertrand Barère.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;"A Paris, chez L. Colas, impr.-libr., rue du Petit-Lion-Saint-Sulpice, en face de la rue Garencière ; Delaunay, libr., Palais-Royal, galeries de bois. 23 mai 1815.";1815;;France -- 1815 (Cent-Jours);;fre | français | ;"21-[1 bl.]-[1] p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30056796n;30056796;monographie;texte imprimé;Document numérique | NUMM-5624314 | ;1;"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.;1815;;France (1815, Cent-Jours);;fre | français | ;"[4]-43 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30056796n;30056796;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB46-283 | ;2;"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.;1815;;France (1815, Cent-Jours);;fre | français | ;"[4]-43 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30056796n;30056796;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB46-283 | ;3;"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.;1815;;France (1815, Cent-Jours);;fre | français | ;"[4]-43 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30056796n;30056796;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S0035965 | ;4;"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.;1815;;France (1815, Cent-Jours);;fre | français | ;"[4]-43 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30056796n;30056796;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S0035965 | ;5;"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.";Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.;1815;;France (1815, Cent-Jours);;fre | français | ;"[4]-43 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb37244091m;37244091;monographie;texte imprimé;Document numérique | NUMM-41207 | ;1;Rapport à faire par Barère, au nom de l'opinion publique, ou Bertrand Barère, représentant du peuple, juge de monsieur Barère de Vieuzac, écuyer, conseiller du roi, rapporteur de la liste civile, président des Feuillans, valet de Mirabeau, de d'Orléans, de Danton, de Brissot, etc. et secrétaire en chef du crime sous Robespierre ([Reprod.]) ;Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte;;Micro Graphix;1794-1795;"Collection : Les archives de la Révolution française ; 6.2.1686";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37241674z;37241674;monographie;texte imprimé;Document numérique | NUMM-42986 | ;1;"Premier rapport fait au nom du Comité de salut public, sur les moyens d'extirper la mendicité dans les campagnes, & sur les secours que doit accorder la République aux citoyens indigens : séance du 22 floréal ([Reprod.]) par M. Barère ; [à la] Convention nationale";France. Convention nationale. Comité de salut public. Auteur du texte;Barère de Vieuzac, Bertrand (1755-1841). Rédacteur;Micro Graphix;1794;"Collection : Les archives de la Révolution française ; 9.5.66";Mendicité -- France;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb32690374x | ISSN 2426248X | ;32690374;périodique : notice d'ensemble bibliographique | publication en série;publication en série imprimée;Document numérique | NUMP-10146 | ;1;Les Alors, ou Origine des mesures révolutionnaires;;Barère de Vieuzac, Bertrand (1755-1841). Éditeur scientifique;De l'Imprimerie de Charpentier, rue Denis n° 62 (Paris);1795-1795;;;;fre | français | ;;
