Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb329151911;32915191;monographie;texte imprimé;Document numérique | NUMM-6457 | ;1;Explication du "Tableau économique" à madame de*** : extrait des éphémérides de 1767 et 1768 ([Reprod. en fac-sim.]) par M. l'abbé Baudeau...;Baudeau, Nicolas (1730-1792?). Auteur du texte;;Éditions d'Histoire sociale (Paris);1776;;;;fre | français | ;"1 vol. (172 p.-[1] dépl.) ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb329151911;32915191;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16-R-12881 | ;2;Explication du "Tableau économique" à madame de*** : extrait des éphémérides de 1767 et 1768 ([Reprod. en fac-sim.]) par M. l'abbé Baudeau...;Baudeau, Nicolas (1730-1792?). Auteur du texte;;Éditions d'Histoire sociale (Paris);1776;;;;fre | français | ;"1 vol. (172 p.-[1] dépl.) ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;Document numérique | NUMM-9739090 | ;1;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | E*-2686 | ;2;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RZ-3086 | ;3;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RZ-3186 | ;4;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | S-15416 | ;5;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-2934 | ;6;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-2935 | ;7;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30066425h;30066425;monographie;texte imprimé;ARS | Arsenal | magasin | 8-S-2936 | ;8;Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau;Baudeau, Nicolas (1730-1792?). Auteur du texte;;[s.n.];1775;;;;fre | français | ;"X-306 p. ; in-8";
