Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb346945365;34694536;monographie;texte imprimé;Document numérique | NUMM-85277 | ;1;Les poésies ([Reprod.]) de Nicolas Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1793;;;;fre | français | ;"3 microfiches acétate de 98 images, diazoïques : négatives ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945365;34694536;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5911 | ;2;Les poésies ([Reprod.]) de Nicolas Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1793;;;;fre | français | ;"3 microfiches acétate de 98 images, diazoïques : négatives ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945365;34694536;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5757 | ;3;Les poésies ([Reprod.]) de Nicolas Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1793;;;;fre | français | ;"3 microfiches acétate de 98 images, diazoïques : négatives ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945365;34694536;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5911 | ;4;Les poésies ([Reprod.]) de Nicolas Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1793;;;;fre | français | ;"3 microfiches acétate de 98 images, diazoïques : négatives ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945365;34694536;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5911 | ;5;Les poésies ([Reprod.]) de Nicolas Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1793;;;;fre | français | ;"3 microfiches acétate de 98 images, diazoïques : négatives ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693529n;34693529;monographie;texte imprimé;Document numérique | NUMM-85282 | ;1;L'hymne des combats : hommage aux armées de la République ([Reprod.]) par Nicolas de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1797;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693529n;34693529;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5917 | ;2;L'hymne des combats : hommage aux armées de la République ([Reprod.]) par Nicolas de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1797;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693529n;34693529;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5763 | ;3;L'hymne des combats : hommage aux armées de la République ([Reprod.]) par Nicolas de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1797;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693529n;34693529;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5917 | ;4;L'hymne des combats : hommage aux armées de la République ([Reprod.]) par Nicolas de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1797;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693529n;34693529;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5917 | ;5;L'hymne des combats : hommage aux armées de la République ([Reprod.]) par Nicolas de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1797;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Document numérique | NUMM-85275 | ;1;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Document numérique | NUMM-85276 | ;2;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5909 | ;3;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5910 | ;4;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5756 (1) | ;5;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5756 (2) | ;6;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5909 | ;7;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5910 | ;8;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
