Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;Document numérique | NUMM-72931 | ;1;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S83/2682 | ;2;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-Z-13055 (105) | ;3;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z-13055 (105) | ;4;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S83/2682 | ;5;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb35956940t;35956940;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S83/2682 | ;6;[La patrie en danger] : discours / Danton;Danton, Georges-Jacques (1759-1794). Auteur du texte;;L. Boulanger (Paris);1893;"Collection : Le livre pour tous ; 105";;;fre | français | ;"32 p. : portr. ; in-16";
http://catalogue.bnf.fr/ark:/12148/cb362817638;36281763;monographie;texte imprimé;Document numérique | NUMM-6227346 | ;1;Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre. [Signé Danton...];Danton, Georges-Jacques (1759-1794). Auteur du texte;;Impr. royale (Paris);1839;;;;fre | français | ;In-4 °, 369 p.;
http://catalogue.bnf.fr/ark:/12148/cb362817638;36281763;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-L45-34 (B) | ;2;Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre. [Signé Danton...];Danton, Georges-Jacques (1759-1794). Auteur du texte;;Impr. royale (Paris);1839;;;;fre | français | ;In-4 °, 369 p.;
http://catalogue.bnf.fr/ark:/12148/cb362817638;36281763;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-L45-34 (B,NUM) | ;3;Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre. [Signé Danton...];Danton, Georges-Jacques (1759-1794). Auteur du texte;;Impr. royale (Paris);1839;;;;fre | français | ;In-4 °, 369 p.;
http://catalogue.bnf.fr/ark:/12148/cb362817638;36281763;monographie;texte imprimé;Richelieu | Manuscrits | magasin | T-1 (107) | ;4;Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre. [Signé Danton...];Danton, Georges-Jacques (1759-1794). Auteur du texte;;Impr. royale (Paris);1839;;;;fre | français | ;In-4 °, 369 p.;
http://catalogue.bnf.fr/ark:/12148/cb362817638;36281763;monographie;texte imprimé;ARS | Arsenal | magasin | 4-H-2534 | ;5;Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre. [Signé Danton...];Danton, Georges-Jacques (1759-1794). Auteur du texte;;Impr. royale (Paris);1839;;;;fre | français | ;In-4 °, 369 p.;
http://catalogue.bnf.fr/ark:/12148/cb302996232;30299623;monographie;texte imprimé;Document numérique | NUMM-72971 | ;1;Aux tribunaux / (signé : Le ministre de la Justice, Danton, 12 août 1792);Danton, Georges-Jacques (1759-1794). Auteur du texte;;impr. de A.-J. Gorsas (Paris);1785-1795;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb302996232;30299623;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S89/18781 | ;2;Aux tribunaux / (signé : Le ministre de la Justice, Danton, 12 août 1792);Danton, Georges-Jacques (1759-1794). Auteur du texte;;impr. de A.-J. Gorsas (Paris);1785-1795;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb302996232;30299623;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB39-10817 | ;3;Aux tribunaux / (signé : Le ministre de la Justice, Danton, 12 août 1792);Danton, Georges-Jacques (1759-1794). Auteur du texte;;impr. de A.-J. Gorsas (Paris);1785-1795;;;;fre | français | ;"14 p. ; in-8";
