Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Document numérique | NUMM-311411 | ;1;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P95/1121 | ;2;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P95/1122 | ;3;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE R-18476 | ;4;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE R-18475 | ;5;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | R-18475 | ;6;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | R-18476 | ;7;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | FB-5236-5237 | ;8;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Richelieu | Estampes et photographie | magasin | KH-356 (1)-4 | ;9;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30388138f;30388138;monographie;texte imprimé;Richelieu | Estampes et photographie | magasin | KH-356 (2)-4 | ;10;"De la passion du jeu, depuis les temps anciens jusqu'à nos jours ; par M. Dusaulx,...";Dusaulx, Jean (1728-1799). Auteur du texte;;A Paris, de l'imprimerie de Monsieur et se trouve chez N. L. Moutard. MDCCLXXIX;1779;;Jeu, Histoire, Origine-1779;;fre | français | ;"2 parties en 1 vol. (XXXVI-267-[4]-355 p.) ; in-8";
