Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Document numérique | NUMM-6451941 | ;1;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Document numérique | NUMM-6456838 | ;2;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Document numérique | NUMM-6457096 | ;3;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-9955 (1) | ;4;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-9955 (2) | ;5;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32156167v;32156167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-9955 (3) | ;6;"Paris en province et la province à Paris. Suivi du Château de Coppet en 1807 : nouvelle historique (3e édition) par Mme Gtte Ducrest,... ; ouvrage posthume de Mme la ctesse de Genlis";Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. (XVI-430, 412, 376 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb303665588;30366558;monographie;texte imprimé;Document numérique | NUMS-100374866 | ;1;Paris en province et la province à Paris / par Mme Georgette Ducrest,.... suivi du Château de Coppet en 1807 : nouvelle historique / ouvrage posthume de Mme la Comtesse de Genlis;Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. ; in-8. - In-8";
http://catalogue.bnf.fr/ark:/12148/cb303665588;30366558;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LI3-128 (1) | ;2;Paris en province et la province à Paris / par Mme Georgette Ducrest,.... suivi du Château de Coppet en 1807 : nouvelle historique / ouvrage posthume de Mme la Comtesse de Genlis;Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. ; in-8. - In-8";
http://catalogue.bnf.fr/ark:/12148/cb303665588;30366558;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LI3-128 (2) | ;3;Paris en province et la province à Paris / par Mme Georgette Ducrest,.... suivi du Château de Coppet en 1807 : nouvelle historique / ouvrage posthume de Mme la Comtesse de Genlis;Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. ; in-8. - In-8";
http://catalogue.bnf.fr/ark:/12148/cb303665588;30366558;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LI3-128 (3) | ;4;Paris en province et la province à Paris / par Mme Georgette Ducrest,.... suivi du Château de Coppet en 1807 : nouvelle historique / ouvrage posthume de Mme la Comtesse de Genlis;Ducrest, Georgette. Auteur du texte | Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte | ;;Ladvocat (Paris);1831;Comprend : Le château de Coppet en 1807;;;fre | français | ;"3 vol. ; in-8. - In-8";
