Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Document numérique | NUMM-9619693 | ;1;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/11440 | ;2;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 27592 | ;3;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB39-5845 | ;4;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-23507 | ;5;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB39-5845 | ;6;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;ARS | Arsenal | magasin | GD-689 (12) | ;7;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S88/11440 | ;8;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 27592 | ;9;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
http://catalogue.bnf.fr/ark:/12148/cb305269415;30526941;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S88/11440 | ;10;L'Esprit françois, ou Problème à résoudre sur le labyrinthe des divers complots , par Mme de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte;;Vve Duchesne (Paris);1792;;France (1774-1792, Louis XVI);;fre | français | ;In-8, VIII-32 p.;
