Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb307200062;30720006;monographie;texte imprimé;Document numérique | NUMM-375364 | ;1;Tangu et Félime ou le Pied de nez, poème en quatre chants, par La Harpe;La Harpe, Jean François de (1739-1803). Auteur du texte;;P. Villiers (Paris);1824;;;;fre | français | ;In-12, 70 p. et pl.;
http://catalogue.bnf.fr/ark:/12148/cb307200062;30720006;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-7291 | ;2;Tangu et Félime ou le Pied de nez, poème en quatre chants, par La Harpe;La Harpe, Jean François de (1739-1803). Auteur du texte;;P. Villiers (Paris);1824;;;;fre | français | ;In-12, 70 p. et pl.;
http://catalogue.bnf.fr/ark:/12148/cb31925746x;31925746;monographie;texte imprimé;Document numérique | NUMM-5457599 | ;1;Répertoire général du théâtre français.... Théâtre du second ordre. Tragédies. Tome VII;La Harpe, Jean François de (1739-1803). Auteur du texte | La Harpe, Jean François de (1739-1803). Auteur du texte | La Harpe, Jean François de (1739-1803). Auteur du texte | Blin de Sainmore, Adrien-Michel-Hyacinthe (1733-1807). Auteur du texte | Chamfort, Sébastien-Roch-Nicolas de (1741?-1794). Auteur du texte | ;;H. Nicolle (Paris);1818;"Comprend : Le Comte de Warwick, tragédie par La Harpe, représentée, pour la première fois, le 7 novembre 1763 ; Philoctète, tragédie, par La Harpe, représentée pour la première fois le 16 juin 1783 ; Coriolan, tragédie, par La Harpe, représentée, pour la première fois, le 2 mars 1784 ; Orphanis, tragédie, par Blin de Sainmore, représentée, pour la première fois, le samedi 25 septembre 1773 ; Mustapha et Zéangir, tragédie, par Champfort, représentée, pour la première fois, le 15 décembre 1777";;;fre | français | ;"1 vol. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb31925746x;31925746;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YF-5303 | ;2;Répertoire général du théâtre français.... Théâtre du second ordre. Tragédies. Tome VII;La Harpe, Jean François de (1739-1803). Auteur du texte | La Harpe, Jean François de (1739-1803). Auteur du texte | La Harpe, Jean François de (1739-1803). Auteur du texte | Blin de Sainmore, Adrien-Michel-Hyacinthe (1733-1807). Auteur du texte | Chamfort, Sébastien-Roch-Nicolas de (1741?-1794). Auteur du texte | ;;H. Nicolle (Paris);1818;"Comprend : Le Comte de Warwick, tragédie par La Harpe, représentée, pour la première fois, le 7 novembre 1763 ; Philoctète, tragédie, par La Harpe, représentée pour la première fois le 16 juin 1783 ; Coriolan, tragédie, par La Harpe, représentée, pour la première fois, le 2 mars 1784 ; Orphanis, tragédie, par Blin de Sainmore, représentée, pour la première fois, le samedi 25 septembre 1773 ; Mustapha et Zéangir, tragédie, par Champfort, représentée, pour la première fois, le 15 décembre 1777";;;fre | français | ;"1 vol. ; in-12";
http://catalogue.bnf.fr/ark:/12148/cb30719992x;30719992;monographie;texte imprimé;Document numérique | NUMM-5425965 | ;1;L'Homme de lettres , épître à Monsieur ***;La Harpe, Jean François de (1739-1803). Auteur du texte;;;;;;;fre | français | ;In-8, 7 p.;
http://catalogue.bnf.fr/ark:/12148/cb30719992x;30719992;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-25242 | ;2;L'Homme de lettres , épître à Monsieur ***;La Harpe, Jean François de (1739-1803). Auteur du texte;;;;;;;fre | français | ;In-8, 7 p.;
http://catalogue.bnf.fr/ark:/12148/cb30719995z;30719995;monographie;texte imprimé;Document numérique | NUMM-5426951 | ;1;"Montézume à Cortez ; Élisabeth de France à Don Carlos ; héroïdes nouvelles, par M. de La Harpe,...";La Harpe, Jean François de (1739-1803). Auteur du texte;;Cailleau (Paris);1764;;;;fre | français | ;In-8° , 30 p.;
http://catalogue.bnf.fr/ark:/12148/cb30719995z;30719995;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-25244 | ;2;"Montézume à Cortez ; Élisabeth de France à Don Carlos ; héroïdes nouvelles, par M. de La Harpe,...";La Harpe, Jean François de (1739-1803). Auteur du texte;;Cailleau (Paris);1764;;;;fre | français | ;In-8° , 30 p.;
http://catalogue.bnf.fr/ark:/12148/cb307200031;30720003;monographie;texte imprimé;Document numérique | NUMM-5427566 | ;1;Des Talens dans leurs rapports avec la société et le bonheur, pièce qui a remporté le prix de l'Académie françoise en 1771, par M. de La Harpe;La Harpe, Jean François de (1739-1803). Auteur du texte;;Vve Regnard (Paris);1871;;;;fre | français | ;In-8° , 11 p.;
http://catalogue.bnf.fr/ark:/12148/cb307200031;30720003;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-25247 | ;2;Des Talens dans leurs rapports avec la société et le bonheur, pièce qui a remporté le prix de l'Académie françoise en 1771, par M. de La Harpe;La Harpe, Jean François de (1739-1803). Auteur du texte;;Vve Regnard (Paris);1871;;;;fre | français | ;In-8° , 11 p.;
