Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb30744950d;30744950;monographie;texte imprimé;Document numérique | NUMM-6517276 | ;1;Au Directoire exécutif. [Signé : A.-N. Lasalle.];La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;;1797;;;;fre | français | ;In-8° , 2 p.;
http://catalogue.bnf.fr/ark:/12148/cb30744950d;30744950;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-25607 | ;2;Au Directoire exécutif. [Signé : A.-N. Lasalle.];La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;;1797;;;;fre | français | ;In-8° , 2 p.;
http://catalogue.bnf.fr/ark:/12148/cb30744965f;30744965;monographie;texte imprimé;Document numérique | NUMM-5849630 | ;1;Le Nouvel Olympe. [Signé : le général Lasalle.];La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;;;;;;fre | français | ;In-4° , 3 p.;
http://catalogue.bnf.fr/ark:/12148/cb30744965f;30744965;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | YE-3276 | ;2;Le Nouvel Olympe. [Signé : le général Lasalle.];La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;;;;;;fre | français | ;In-4° , 3 p.;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Document numérique | NUMM-5842812 | ;1;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Document numérique | NUMM-5842856 | ;2;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Document numérique | NUMM-5842789 | ;3;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Document numérique | NUMM-5842859 | ;4;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-75761 | ;5;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-75762 | ;6;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-75763 | ;7;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb307449496;30744949;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Y2-75764 | ;8;L'Anneau de Salomon, par M. de La Salle,...;La Salle, Adrien-Nicolas (1735-1818). Auteur du texte;;Béchet (Paris);1812;;;;fre | français | ;4 vol. in-12;
http://catalogue.bnf.fr/ark:/12148/cb449108360;44910836;monographie;partition musicale;Document numérique | IFN-10071176 | ;1;Diligam te Domine. Psaume à g.d ch.r;Madin, Henry (1698-1748). Compositeur;;[s.n.];1737;;;;;50 p.;
http://catalogue.bnf.fr/ark:/12148/cb449108360;44910836;monographie;partition musicale;Document numérique | IFN-52501636 | ;2;Diligam te Domine. Psaume à g.d ch.r;Madin, Henry (1698-1748). Compositeur;;[s.n.];1737;;;;;50 p.;
http://catalogue.bnf.fr/ark:/12148/cb449108360;44910836;monographie;partition musicale;Richelieu | Musique | magasin | VM BOB-27683 | ;3;Diligam te Domine. Psaume à g.d ch.r;Madin, Henry (1698-1748). Compositeur;;[s.n.];1737;;;;;50 p.;
http://catalogue.bnf.fr/ark:/12148/cb449108360;44910836;monographie;partition musicale;Richelieu | Musique | magasin de la Réserve | H-442 | ;4;Diligam te Domine. Psaume à g.d ch.r;Madin, Henry (1698-1748). Compositeur;;[s.n.];1737;;;;;50 p.;
http://catalogue.bnf.fr/ark:/12148/cb449108360;44910836;monographie;partition musicale;Richelieu | Musique | magasin de la Réserve | H-442 (A-S) | ;5;Diligam te Domine. Psaume à g.d ch.r;Madin, Henry (1698-1748). Compositeur;;[s.n.];1737;;;;;50 p.;
