Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb31091652h;31091652;monographie;texte imprimé;Document numérique | NUMM-132707 | ;1;Discours de M. le maire aux citoyens enrolés pour la défense de la patrie en danger . Imprimé par ordre du Conseil-général.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie de la municipalité, 1792.);1792;;Paris (France) (1789-1799, Révolution);;fre | français | ;"2 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091652h;31091652;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB40-199 | ;2;Discours de M. le maire aux citoyens enrolés pour la défense de la patrie en danger . Imprimé par ordre du Conseil-général.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie de la municipalité, 1792.);1792;;Paris (France) (1789-1799, Révolution);;fre | français | ;"2 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Document numérique | NUMM-9782022 | ;1;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Document numérique | NUMM-9782139 | ;2;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Document numérique | NUMM-9781382 | ;3;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-57450 | ;4;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-57451 | ;5;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-57452 | ;6;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb310915945;31091594;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-57453 | ;7;Oeuvres de Jérôme Pétion,...;Pétion, Jérôme (1756-1794). Auteur du texte;;Garnery (Paris);1792-1793;;;;fre | français | ;"4 vol. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;Document numérique | NUMM-5477034 | ;1;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P96/438 | ;2;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB41-162 | ;3;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB41-162 | ;4;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P96/438 | ;5;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091614z;31091614;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P96/438 | ;6;Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].);1792;;France (1792-1795);;fre | français | ;"28 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;Document numérique | NUMM-5474821 | ;1;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P96/444 | ;2;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB41-630 | ;3;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB41-630 | ;4;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P96/444 | ;5;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091667j;31091667;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P96/444 | ;6;Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.;Pétion, Jérôme (1756-1794). Auteur du texte;;([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.);1793;;France (1792-1795);;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091622k;31091622;monographie;texte imprimé;Document numérique | NUMM-75432 | ;1;Essai sur le mariage considéré sous des rapports naturels, moraux et politiques, ou Moyens de faciliter et d'encourager les mariages en France;Pétion, Jérôme (1756-1794). Auteur du texte;;[s.n.] (Genève);1785;;;;fre | français | ;"XIV-161 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091622k;31091622;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 24024 | ;2;Essai sur le mariage considéré sous des rapports naturels, moraux et politiques, ou Moyens de faciliter et d'encourager les mariages en France;Pétion, Jérôme (1756-1794). Auteur du texte;;[s.n.] (Genève);1785;;;;fre | français | ;"XIV-161 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31091622k;31091622;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-20564 | ;3;Essai sur le mariage considéré sous des rapports naturels, moraux et politiques, ou Moyens de faciliter et d'encourager les mariages en France;Pétion, Jérôme (1756-1794). Auteur du texte;;[s.n.] (Genève);1785;;;;fre | français | ;"XIV-161 p. ; in-8";
