Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb37261180x;37261180;monographie;texte imprimé;Document numérique | NUMM-47923 | ;1;Prenez-y garde, ou Avis à toutes les assemblées d'élection, qui seront convoquées pour nommer les représentans des trois ordres aux Etats-généraux ([Reprod.]) [par Rabaut Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.998";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37237161g;37237161;monographie;texte imprimé;Document numérique | NUMM-41766 | ;1;Prenez-y garde, ou Avis à toutes les assemblées d'élection, qui seront convoquées pour nommer les représentans des trois ordres aux états généraux ([Reprod.]) [par Rabaut Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Micro Graphix;1789;"Collection : Les archives de la Révolution française ; 6.3.174";;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372375878;37237587;monographie;texte imprimé;Document numérique | NUMM-41763 | ;1;A la Nation française, sur les vices de son gouvernement, sur la nécessité d'établir une Constitution, et sur la composition des états généraux ([Reprod.]) [par Rabaut Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Micro Graphix;1788;"Collection : Les archives de la Révolution française ; 6.3.171";Politique et gouvernement -- France -- 1789-1799;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372371488;37237148;monographie;texte imprimé;Document numérique | NUMM-41764 | ;1;Considérations sur les intérêts du Tiers état, adressées au peuple des provinces par un propriétaire foncier ([Reprod.]) [par Rabaut-Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Micro Graphix;1788;"Collection : Les archives de la Révolution française ; 6.3.172";Politique et gouvernement -- France -- 1774-1792 | Tiers état | ;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb372611980;37261198;monographie;texte imprimé;Document numérique | NUMM-47514 | ;1;Considérations sur les intérêts du Tiers état, adressées au peuple des provinces par un propriétaire foncier ([Reprod.]) [par Rabaut-Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Pergamon press;1788;"Collection : Les archives de la Révolution française ; 5.581";Politique et gouvernement -- France -- 1774-1792 | Tiers état | ;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb311671675;31167167;monographie;texte imprimé;Document numérique | NUMM-9798201 | ;1;Projet du préliminaire de la constitution françoise , présenté par M. Rabaut de Saint-Étienne;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Baudouin (Versailles);1789;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb311671675;31167167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFILM M-4683 | ;2;Projet du préliminaire de la constitution françoise , présenté par M. Rabaut de Saint-Étienne;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Baudouin (Versailles);1789;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb311671675;31167167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE29-125 | ;3;Projet du préliminaire de la constitution françoise , présenté par M. Rabaut de Saint-Étienne;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Baudouin (Versailles);1789;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb311671675;31167167;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | E*-5785 | ;4;Projet du préliminaire de la constitution françoise , présenté par M. Rabaut de Saint-Étienne;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Baudouin (Versailles);1789;;;;fre | français | ;"14 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb37237156w;37237156;monographie;texte imprimé;Document numérique | NUMM-41765 | ;1;Question de droit public, "Doit-on recueillir les voix, dans les états généraux, par ordres, ou par tête de délibérans ?" ([Reprod.]) par l'auteur des "Considérations sur les intérêts du tiers état" [Rabaut Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Micro Graphix;1789;"Collection : Les archives de la Révolution française ; 6.3.173";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb37261188p;37261188;monographie;texte imprimé;Document numérique | NUMM-47924 | ;1;Question de droit public, "Doit-on recueillir les voix, dans les Etats-généraux, par ordres, ou par tête de délibérans ?" ([Reprod.]) par l'auteur des "Considérations sur les intérêts du Tiers-Etat" [Rabaut Saint-Etienne];Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.999";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb44729060p;44729060;monographie;texte imprimé;Document numérique | NUMM-1091739 | ;1;"Le vieux cévenol ou Anecdotes de la vie d'Ambroise Borély / par Rabaut Saint-Etienne ; avec une préface par Charles Dardier";Rabaut Saint-Étienne (1743-1793). Auteur du texte;Dardier, Charles (1820-1893). Préfacier;Société des livres religieux (Toulouse);1886;;;;fre | français | ;"164 p. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb44729060p;44729060;monographie;texte imprimé;Document numérique | collection de sécurité | LEG_845 | ;2;"Le vieux cévenol ou Anecdotes de la vie d'Ambroise Borély / par Rabaut Saint-Etienne ; avec une préface par Charles Dardier";Rabaut Saint-Étienne (1743-1793). Auteur du texte;Dardier, Charles (1820-1893). Préfacier;Société des livres religieux (Toulouse);1886;;;;fre | français | ;"164 p. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb372629795;37262979;monographie;texte imprimé;Document numérique | NUMM-47849 | ;1;Considérations sur les intérêts du Tiers Etat, adressées au peuple des provinces ([Reprod.]) par un propriétaire foncier;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Pergamon press;1788;"Collection : Les archives de la Révolution française ; 5.924";Politique et gouvernement -- France -- 1774-1792 | Tiers état | ;;fre | français | ;"1 microfiche ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb44730203f;44730203;monographie;texte imprimé;Document numérique | NUMM-1091740 | ;1;Anecdotes de la vie d'Ambroise Borély, ou Le Vieux Cévenois, Protestant retiré Et mort à Londres, âgé de 103 ans, sept mois & quatre jours;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;[s.n.];1788;;;;fre | français | ;"p. [1], [1 bl.], [1], 4-96 ; in-8° (22 cm)";
http://catalogue.bnf.fr/ark:/12148/cb44730203f;44730203;monographie;texte imprimé;Document numérique | collection de sécurité | LEG_847 | ;2;Anecdotes de la vie d'Ambroise Borély, ou Le Vieux Cévenois, Protestant retiré Et mort à Londres, âgé de 103 ans, sept mois & quatre jours;Rabaut Saint-Étienne (1743-1793). Auteur du texte;;[s.n.];1788;;;;fre | français | ;"p. [1], [1 bl.], [1], 4-96 ; in-8° (22 cm)";
http://catalogue.bnf.fr/ark:/12148/cb37262971d;37262971;monographie;texte imprimé;Document numérique | NUMM-47850 | ;1;Question de droit public : doit-on recueillir les voix, dans les Etats généraux, par ordres ou par têtes de délibérans ? ([Reprod.]) par l'auteur des "Considérations ur les intérêts du Tiers Etat";Rabaut Saint-Étienne (1743-1793). Auteur du texte;;Pergamon press;1789;"Collection : Les archives de la Révolution française ; 5.925";;;fre | français | ;"2 microfiches ; 105*148 mm";
http://catalogue.bnf.fr/ark:/12148/cb31167187s;31167187;monographie;texte imprimé;Document numérique | NUMM-5494374 | ;1;Projet d'éducation nationale , par J. P. Rabaut, député du département de l'Aube. Du 21 décembre 1792, l'an premier de la République. Imprimé par ordre de la Convention nationale.;Rabaut Saint-Étienne (1743-1793). Auteur du texte;France. Convention nationale. Éditeur scientifique;[Paris.] De l'Imprimerie nationale. [1792];1792;;Éducation à la citoyenneté -- France -- 1789-1799 (Révolution) | Éducation morale -- France -- 1789-1799 (Révolution) | ;;fre | français | ;"7 p. ; in-8";
