Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;Document numérique | NUMM-73947 | ;1;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P87/1355 | ;2;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-R-7045 | ;3;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-R-7045 | ;4;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | P87/1355 | ;5;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273780f;31273780;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | P87/1355 | ;6;[Pensées et observations morales et politiques pour servir à la connaissance des vrais principes du gouvernement , par l'abbé Sabatier de Castres];Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;[s.n.] (Vienne);1794;;;;fre | français | ;"484 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Document numérique | NUMM-108540 | ;1;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Document numérique | NUMM-108541 | ;2;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Document numérique | NUMM-108542 | ;3;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 24234 | ;4;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 24235 | ;5;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 24236 | ;6;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-20696 (1) | ;7;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-20696 (2) | ;8;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-20696 (3) | ;9;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-59492 | ;10;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-59493 | ;11;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31273792f;31273792;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | Z-59494 | ;12;Les trois siècles de la littérature françoise, ou Tableau de l'esprit de nos écrivains, depuis François I, jusqu'en 1773 (Nouv. éd., corr. & augm. considérablement) , par M. l'abbé S***, de Castres;Sabatier de Castres, Antoine (1742-1817). Auteur du texte;;de Hansy (Amsterdam);1774;;;;fre | français | ;"3 vol. (XXXII-531 ; 523 ; 640 p.) ; in-8";
