Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb31579783f;31579783;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE50-11 | ;1;Discours prononcé par Villar, en présentant un poème épique composé par le citoyen Masson...;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;;Impr. nationale (Paris);1799;;;;fre | français | ;In-8° , 2 p.;
http://catalogue.bnf.fr/ark:/12148/cb31579789h;31579789;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE38-2621 | ;1;Rapport et projet de décret présentés à la Convention nationale, dans la séance du 18 fructidor, au nom du Comité d'instruction publique, sur les encouragemens destinés aux savans, gens de lettres et artistes, par Villar,...;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;;Impr. nationale (Paris);1794;;;;fre | français | ;In-8° , 10 p.;
http://catalogue.bnf.fr/ark:/12148/cb315797823;31579782;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE38-1679 | ;1;Convention nationale. Rapport et projet de décret, présentés au nom du Comité d'instruction publique sur l'organisation de la Bibliothèque nationale, dans la séance du 6 vendémiaire an IV, par Villar...;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;France. Convention nationale. Éditeur scientifique;de l'Impr. nationale ((Paris,));1795;;Bibliothèque Nationale, Réglements, 1795;;fre | français | ;In-8° , 10 p.;
http://catalogue.bnf.fr/ark:/12148/cb315797823;31579782;monographie;texte imprimé;Richelieu | Estampes et photographie | magasin | YF1-29 (23)-4 | ;2;Convention nationale. Rapport et projet de décret, présentés au nom du Comité d'instruction publique sur l'organisation de la Bibliothèque nationale, dans la séance du 6 vendémiaire an IV, par Villar...;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;France. Convention nationale. Éditeur scientifique;de l'Impr. nationale ((Paris,));1795;;Bibliothèque Nationale, Réglements, 1795;;fre | français | ;In-8° , 10 p.;
http://catalogue.bnf.fr/ark:/12148/cb31579784s;31579784;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-LN27-6940 | ;1;Funérailles du citoyen Dusaulx;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;;([Paris.] Baudouin, imprimeur de l'Institut national. [1799.]);1799;;Dusaulx;;fre | français | ;"2 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31579786g;31579786;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-LB40-574 (B) | ;1;Lettre de la Société des amis de la constitution. Paris, le 24 janvier 1791. [Signé : Victor Broglie, Villars, G. Bonnecarrère, Alexandre Beauharnois, Voydel.];Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;;Impr. nationale (Paris);;;;;fre | français | ;In-4° , 3 p.;
http://catalogue.bnf.fr/ark:/12148/cb31579790q;31579790;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LE43-276 | ;1;Rapport et resolution sur le placement de l'école centrale, pour le département du Nord , prononcés au Conseil des Cinq Cents dans la séance du 4 prairial, an 4 de la République, par le représentant du peuple Villars.;Villar, Noël-Gabriel-Luce (1748-1826). Auteur du texte;;([Paris.] De l'Imprimerie du Républicain français [1796].);1796;;;;fre | français | ;"4 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb30347265j;30347265;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 18483 | ;1;Rapport fait à l'Institut national sur une nouvelle encyclopédie destinée aux instituteurs et aux éleves des écoles primaires et secondaires.;Institut de France. Auteur du texte;Domergue, Urbain (1745-1810). Rédacteur | Villar, Noël-Gabriel-Luce (1748-1826). Rédacteur | Sicard, Roch-Ambroise (1742-1822). Rédacteur | ;[S.l.] An X. - 1802;1802;;;;fre | français | ;"[2]-III-[1 bl.]-3-[1 bl.]-31-[3 bl.] p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb30347265j;30347265;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-14582 | ;2;Rapport fait à l'Institut national sur une nouvelle encyclopédie destinée aux instituteurs et aux éleves des écoles primaires et secondaires.;Institut de France. Auteur du texte;Domergue, Urbain (1745-1810). Rédacteur | Villar, Noël-Gabriel-Luce (1748-1826). Rédacteur | Sicard, Roch-Ambroise (1742-1822). Rédacteur | ;[S.l.] An X. - 1802;1802;;;;fre | français | ;"[2]-III-[1 bl.]-3-[1 bl.]-31-[3 bl.] p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb30347265j;30347265;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | ZP-199 | ;3;Rapport fait à l'Institut national sur une nouvelle encyclopédie destinée aux instituteurs et aux éleves des écoles primaires et secondaires.;Institut de France. Auteur du texte;Domergue, Urbain (1745-1810). Rédacteur | Villar, Noël-Gabriel-Luce (1748-1826). Rédacteur | Sicard, Roch-Ambroise (1742-1822). Rédacteur | ;[S.l.] An X. - 1802;1802;;;;fre | français | ;"[2]-III-[1 bl.]-3-[1 bl.]-31-[3 bl.] p. ; in-4";
