id,link_bnf,link_gallica,author_short,selected_for_galerie,title,date,format,author,contributors,editors,description,subject,notes
1,http://catalogue.bnf.fr/ark:/12148/cb37236775k,https://gallica.bnf.fr/ark:/12148/bpt6k42803h,Bancal des Issarts,yes,"Opinion sur le divorce, prononcée au Conseil des Cinq-cents, le 12 pluviôse an 5 ([Reprod.]) par Jean-Henry Bancal,...",1797,57p___1 microfiche ; 105*148 mm,"Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",,Micro Graphix,Collection : Les archives de la Révolution française ; 9.4.338,Divorce -- Droit -- France,
2,http://catalogue.bnf.fr/ark:/12148/cb346933758,https://gallica.bnf.fr/ark:/12148/bpt6k85298x,Bancal des Issarts,yes,"Du nouvel ordre social ([Reprod.]) par Henry Bancal,...",1792,"52p___1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",,Hachette (Paris),,,
3,http://catalogue.bnf.fr/ark:/12148/cb30051725x,https://gallica.bnf.fr/ark:/12148/bpt6k42324856,Bancal des Issarts,,"Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens",1792,"In-8° , 28 p.","Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",France. Convention nationale. Éditeur scientifique,Impr. nationale (Paris),,,
4,http://catalogue.bnf.fr/ark:/12148/cb300517148,https://gallica.bnf.fr/ark:/12148/bpt6k853041,Bancal des Issarts,,"Henri Bancal, député à la Convention, à Anacharsis Clootz, son collègue",1793-1794,16 p. ; in-8,"Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",,Impr. du Cercle social (Paris),,,
5,http://catalogue.bnf.fr/ark:/12148/cb30051721j,https://gallica.bnf.fr/ark:/12148/bpt6k62669573,Bancal des Issarts,,"Des prochaines élections de l'an VI , par Jean-Henri Bancal, ex-représentant du peuple à la Convention nationale et au Conseil des Cinq-Cents",1798,12 p. ; in-8,"Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",,impr. de Baudouin (Paris),,,
6,http://catalogue.bnf.fr/ark:/12148/cb40036168f,https://gallica.bnf.fr/ark:/12148/bpt6k2207561,Bancal des Issarts,double,"Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République , par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens",1793,1 fasc. (28 p.) ; 20 cm,"Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte",France. Convention nationale. Éditeur scientifique,impr. de J. Ferrand (Rouen),[Discours. 1792-12-24],Écoles publiques -- France | Auvergne (France) -- 1789-1799 (Révolution) -- Sources | Haute-Normandie (France) -- 1789-1799 (Révolution) -- Sources |,
7,http://catalogue.bnf.fr/ark:/12148/cb300568033,https://gallica.bnf.fr/ark:/12148/bpt6k6306761w,Barère,,"Les époques de la nation française, et les quatre dynasties ; par Bertrand Barère.",1815,21-[1 bl.]-[1] p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, chez L. Colas, impr.-libr., rue du Petit-Lion-Saint-Sulpice, en face de la rue Garencière ; Delaunay, libr., Palais-Royal, galeries de bois. 23 mai 1815.",,France -- 1815 (Cent-Jours),
8,http://catalogue.bnf.fr/ark:/12148/cb30056796n,https://gallica.bnf.fr/ark:/12148/bpt6k56243149,Barère,,"Considérations sur la chambre des pairs, ou sur la chambre des représentans héréditaires avant qu'elle soit acceptée, établie et composée ; par Bertrand Barère, député à la chambre des communes.",1815,[4]-43 p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, chez Louis Colas, imprimeur-libraire, rue du Petit-Lion-St.-Sulpice, en face de la rue Garencière. Delaunay, libraire, Palais-Royal, galeries de bois. Pélicier, libraire, première cour du Palais-Royal. Mai 1815.",,"France (1815, Cent-Jours)",
9,http://catalogue.bnf.fr/ark:/12148/cb37244091m,https://gallica.bnf.fr/ark:/12148/bpt6k412070,Barère,,"Rapport à faire par Barère, au nom de l'opinion publique, ou Bertrand Barère, représentant du peuple, juge de monsieur Barère de Vieuzac, écuyer, conseiller du roi, rapporteur de la liste civile, président des Feuillans, valet de Mirabeau, de d'Orléans, de Danton, de Brissot, etc. et secrétaire en chef du crime sous Robespierre ([Reprod.])",1794-1795,1 microfiche ; 105*148 mm,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,Micro Graphix,Collection : Les archives de la Révolution française ; 6.2.1686,,
10,http://catalogue.bnf.fr/ark:/12148/cb30056825d,https://gallica.bnf.fr/ark:/12148/bpt6k8535307,Barère,,"Observations présentées a l'Assemblée nationale, par M. Barère de Vieuzac, député du Bigorre, sur la nécessité de faire de ce pays d'États un département, dont la ville de Tarbes soit le chef-lieu.",1789,22 p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"([Paris.] De l'Imp. de Ballard, rue des Mathurius [sic]. [1789])",,Bigorre (France),
11,http://catalogue.bnf.fr/ark:/12148/cb30056805s,https://gallica.bnf.fr/ark:/12148/bd6t5378642g,Barère,,"Esprit de Madame Necker, extrait des cinq volumes des Mélanges tirés de ses manuscrits publiés en 1798 et en 1801 ; par M. B. D. V. (Barère de Vieuzac.)",1808,"In-8° , X-352 p.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,L. Colin (Paris),,,
12,http://catalogue.bnf.fr/ark:/12148/cb363109472,https://gallica.bnf.fr/ark:/12148/bpt6k62696325,Barère,,"Lettre d'un citoyen français, en réponse a lord Grenville.",1800,[4]-64 p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, chez les Marchands de nouveautés. An VIII [1800].",,"France (1799-1804, Consulat)",
13,http://catalogue.bnf.fr/ark:/12148/cb30056794z,https://gallica.bnf.fr/ark:/12148/bpt6k63035863,Barère,,"De la conduite des princes de la maison de Bourbon, depuis 1789, jusqu'en 1805.",1805,[4]-134-[1] p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, chez les Marchands de nouveautés. An XIII. - 1805.",,,
