	id	link_bnf	link_gallica	author_short	selected_for_galerie	title	date	format	author	contributors	editors	description	subject	notes	title_short	filename
1	1	http://catalogue.bnf.fr/ark:/12148/cb37236775k	https://gallica.bnf.fr/ark:/12148/bpt6k42803h	Bancal des Issarts	yes	Opinion sur le divorce, prononcée au Conseil des Cinq-cents, le 12 pluviôse an 5 ([Reprod.]) par Jean-Henry Bancal,...	1797	"57p___1 microfiche ; 105*148 mm"	Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte		Micro Graphix	"Collection : Les archives de la Révolution française ; 9.4.338"	Divorce -- Droit -- France		Opinion sur le divorce, prononcée au	../corpus_raw/Bancal des Issarts_1.txt
2	2	http://catalogue.bnf.fr/ark:/12148/cb346933758	https://gallica.bnf.fr/ark:/12148/bpt6k85298x	Bancal des Issarts	yes	Du nouvel ordre social ([Reprod.]) par Henry Bancal,...	1792	"52p___1 microfiche acétate de 98 images, diazoïque ; 105 * 148 mm"	Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte		Hachette (Paris)				Du nouvel ordre social ([Reprod.]) par	../corpus_raw/Bancal des Issarts_2.txt
3	3	http://catalogue.bnf.fr/ark:/12148/cb30051725x	https://gallica.bnf.fr/ark:/12148/bpt6k42324856	Bancal des Issarts		Convention nationale. Discours et projet de décret sur l'éducation nationale, prononcés à la Convention nationale le 24 décembre 1792, l'an premier de la République, par Henri Bancal, député du département du Puy-de-Dôme, imprimés par ordre de la Convention nationale et envoyés aux 84 départemens	1792	In-8° , 28 p.	Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte	France. Convention nationale. Éditeur scientifique	Impr. nationale (Paris)				Convention nationale. Discours et projet de	../corpus_raw/Bancal des Issarts_3.txt
4	4	http://catalogue.bnf.fr/ark:/12148/cb300517148	https://gallica.bnf.fr/ark:/12148/bpt6k853041	Bancal des Issarts		Henri Bancal, député à la Convention, à Anacharsis Clootz, son collègue	1793-1794	"16 p. ; in-8"	Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte		Impr. du Cercle social (Paris)				Henri Bancal, député à la Convention,	../corpus_raw/Bancal des Issarts_4.txt
5	5	http://catalogue.bnf.fr/ark:/12148/cb30051721j	https://gallica.bnf.fr/ark:/12148/bpt6k62669573	Bancal des Issarts		Des prochaines élections de l'an VI , par Jean-Henri Bancal, ex-représentant du peuple à la Convention nationale et au Conseil des Cinq-Cents	1798	"12 p. ; in-8"	Bancal Desissarts, Jean-Henri (1750-1826). Auteur du texte		impr. de Baudouin (Paris)				Des prochaines élections de l'an VI	../corpus_raw/Bancal des Issarts_5.txt
6	9	http://catalogue.bnf.fr/ark:/12148/cb37244091m	https://gallica.bnf.fr/ark:/12148/bpt6k412070	Barère		Rapport à faire par Barère, au nom de l'opinion publique, ou Bertrand Barère, représentant du peuple, juge de monsieur Barère de Vieuzac, écuyer, conseiller du roi, rapporteur de la liste civile, président des Feuillans, valet de Mirabeau, de d'Orléans, de Danton, de Brissot, etc. et secrétaire en chef du crime sous Robespierre ([Reprod.])	1794-1795	"1 microfiche ; 105*148 mm"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte		Micro Graphix	"Collection : Les archives de la Révolution française ; 6.2.1686"			Rapport à faire par Barère, au	../corpus_raw/Barère_9.txt
7	10	http://catalogue.bnf.fr/ark:/12148/cb30056825d	https://gallica.bnf.fr/ark:/12148/bpt6k8535307	Barère		Observations présentées a l'Assemblée nationale, par M. Barère de Vieuzac, député du Bigorre, sur la nécessité de faire de ce pays d'États un département, dont la ville de Tarbes soit le chef-lieu.	1789	"22 p. ; in-8"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte		([Paris.] De l'Imp. de Ballard, rue des Mathurius [sic]. [1789])		Bigorre (France)		Observations présentées a l'Assemblée nationale, par	../corpus_raw/Barère_10.txt
8	14	http://catalogue.bnf.fr/ark:/12148/cb30056811q	https://gallica.bnf.fr/ark:/12148/bpt6k5625879p	Barère	yes	Montesquieu peint d'après ses ouvrages , par Bertrand Barere, ex-député du département des Hautes-Pyrénées, à la Convention nationale.	1796-1797	"VIII-169 p. ; in-8"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte		Imprimé en Suisse, et réimprimé en France l'an cinquieme de la République française [1796 ou 1797].		Montesquieu, de		Montesquieu peint d'après ses ouvrages ,	../corpus_raw/Barère_14.txt
9	16	http://catalogue.bnf.fr/ark:/12148/cb37269089p	https://gallica.bnf.fr/ark:/12148/bpt6k787546	Barère		Rapport sur la Vendée, au nom du Comité de salut public, par Barrère, dans la séance du premier octobre 1793 ([Reprod.]) impr. par ordre de la Convention nationale	1793	"20p___1 microfiche ; 105*148 mm"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte	France. Convention nationale. Comité de salut public. Éditeur scientifique | France. Convention nationale. Éditeur scientifique |	Micro Graphix	"Collection : Les archives de la Révolution française ; 7.567"	Guerre de Vendée (1793-1800) | Pays de la Loire (France) -- 1789-1799 (Révolution) -- Sources |		Rapport sur la Vendée, au nom	../corpus_raw/Barère_16.txt
10	17	http://catalogue.bnf.fr/ark:/12148/cb30056814r	https://gallica.bnf.fr/ark:/12148/bpt6k62698108	Barère	yes	De la pensée du gouvernement républicain , par Bertrand Barère, ex-député du département des Hautes-Pyrénées, à l'Assemblée constituante, à la Convention nationale. Et élu membre du Corps législatif au Conseil des cinq-cents, par le même département, le 25 germinal de l'an 5. Seconde édition, revue et corrigée.	1797	"XXXIX-[1 bl.]-178-[2] p., 1 f. de pl. (front.) ; in-8"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte		Imprimé en France. Floréal, an 5 de la République [avril-mai 1797].		France (1795-1799, Directoire)		De la pensée du gouvernement républicain	../corpus_raw/Barère_17.txt
11	18	http://catalogue.bnf.fr/ark:/12148/cb30056793m	https://gallica.bnf.fr/ark:/12148/bpt6k6218916d	Barère		"B. Barere a Dubois-Crancé . Réponse à l'accusation personnelle, remise le 14 nivôse à la Commission des vingt-un ; servant de réfutation à la partie du rapport de Saladin, qui concerne Dubois-Crancé, fait dans la séance du 12 ventôse."	1795	"[2]-34 p. ; in-8"	Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte		A Paris, de l'Imprimerie de Charpentier, rue Denis, n°. 62, vis-à-vis les ci-devant Filles-Dieu. L'an IIIe. de la République [1795].				B. Barere a Dubois-Crancé . Réponse	../corpus_raw/Barère_18.txt
12	19	http://catalogue.bnf.fr/ark:/12148/cb329151911	https://gallica.bnf.fr/ark:/12148/bpt6k6457q	Baudeau		Explication du Tableau économique à madame de*** : extrait des éphémérides de 1767 et 1768 ([Reprod. en fac-sim.]) par M. l'abbé Baudeau...	1776	"1 vol. (172 p.-[1] dépl.) ; 20 cm"	Baudeau, Nicolas (1730-1792?). Auteur du texte		Éditions d'Histoire sociale (Paris)			double	Explication du Tableau économique à madame	../corpus_raw/Baudeau_19.txt
13	20	http://catalogue.bnf.fr/ark:/12148/cb30066425h	https://gallica.bnf.fr/ark:/12148/bpt6k9739090j	Baudeau		Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau	1775	"X-306 p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		[s.n.]				Éclaircissemens demandés à M. N*** (Necker),	../corpus_raw/Baudeau_20.txt
14	21	http://catalogue.bnf.fr/ark:/12148/cb300664365	https://gallica.bnf.fr/ark:/12148/bpt6k75253r	Baudeau	yes	Lettres et mémoires à un magistrat du Parlement de Paris, sur l'arrêt du Conseil du 13 septembre 1774 / (Signé l'abbé Baudeau)	1770-1780	"146 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		s.n.				Lettres et mémoires à un magistrat	../corpus_raw/Baudeau_21.txt
15	22	http://catalogue.bnf.fr/ark:/12148/cb300664214	https://gallica.bnf.fr/ark:/12148/bpt6k75250q	Baudeau		Avis au peuple sur l'impôt forcé qui se percevoit dans les halles et marchés sur tous les bleds et toutes les farines / (par l'abbé N. Baudeau)	1774	"21 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		[s.n.]				Avis au peuple sur l'impôt forcé	../corpus_raw/Baudeau_22.txt
16	23	http://catalogue.bnf.fr/ark:/12148/cb30066423t	https://gallica.bnf.fr/ark:/12148/bpt6k752512	Baudeau	yes	Charles V, Louis XII et Henri IV aux François : projet raisonné d'un bureau d'administration à l'usage des souverains / (Par l'abbé N. Baudeau)	1787	"3 part. en 1 vol. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		chez les marchands de nouveautés (Paris)				Charles V, Louis XII et Henri	../corpus_raw/Baudeau_23.txt
17	24	http://catalogue.bnf.fr/ark:/12148/cb31773730r	https://gallica.bnf.fr/ark:/12148/bpt6k80063h	Baudeau		"Première introduction à la philosophie économique, ou Analyse des états policés, 1767 / Nicolas Baudeau ; publié... par A. Dubois,..."	1910	"XIX-VIII-192 p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte	Dubois, Auguste (1866-1935). Éditeur scientifique	P. Geuthner (Paris)	"Collection : Collection des économistes et des réformateurs sociaux de la France ; 2"			Première introduction à la philosophie économique,	../corpus_raw/Baudeau_24.txt
18	25	http://catalogue.bnf.fr/ark:/12148/cb30381655q	https://gallica.bnf.fr/ark:/12148/bpt6k96403257	Baudeau		"Avis au peuple sur son premier besoin ; par M. l'abbé Baudeau. Nouvelle edition, revue & corrigée par l'auteur"	1774	"324 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		"F.-A. Didot aîné (Amsterdam ; et Paris)"				Avis au peuple sur son premier	../corpus_raw/Baudeau_25.txt
19	27	http://catalogue.bnf.fr/ark:/12148/cb333791397	https://gallica.bnf.fr/ark:/12148/bpt6k1509239q	Baudeau		Examen de la dixme royale du maréchal de Vauban, dont j'avais adopté le système en 1760		"15 p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte						Examen de la dixme royale du	../corpus_raw/Baudeau_27.txt
20	28	http://catalogue.bnf.fr/ark:/12148/cb30066429w	https://gallica.bnf.fr/ark:/12148/bpt6k15094721	Baudeau		Idée d'une souscription patriotique, en faveur de l'agriculture, du commerce, et des arts	1765	"22-[1] p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		A Amsterdam, et se trouve a Paris, chez Hochereau le jeune, libraire, Grand'salle du Palais, au Pilier des consultations. M. DCC. LXV				Idée d'une souscription patriotique, en faveur	../corpus_raw/Baudeau_28.txt
21	29	http://catalogue.bnf.fr/ark:/12148/cb33455390b	https://gallica.bnf.fr/ark:/12148/bpt6k96125427	Baudeau		Lettre du fermier des droits de halle & du marché de la ville de ***, à son confrere le fermier des mêmes droits à ***	1770	"15 p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		[S.l., 1770]				Lettre du fermier des droits de	../corpus_raw/Baudeau_29.txt
