number	author_title	author_name	title	subtitle	gender	type_source	place_edition	publisher	year_title	year_first	filename
1	Ресницкий Михаил	Ресницкий, Михаил	Мережин	Роман из времен осады Севастополя	мужской	Отдельное издание	Киев	Университетская типография	1858	1858	resnitsky_merezhin
2	Ленский Владимир	Абрамович, Владимир Яковлевич	Под гнездом аиста	Роман	мужской	Отдельное издание	Москва	Московское книгоиздательство	1913	1913	lensky_pod gnezdom aista
3	Аничкова И.	Аничкова, Идалия Мечиславовна	Наташа Озерова	Роман из современных русских нравов	женский	Отдельное издание	СПб	Типография Н. А. Лебедева	1888	1888	anichkova_natasha ozerova
4	Апраксин А. Д.	Апраксин, Александр Дмитриевич	Светлые дни	Роман	мужской	Отдельное издание	Москва	Е. И. Коновалова	1897	1897	apraksin_svetlyje dni
5	Арсеньев А. В.	Арсеньев, Александр Васильевич	Князь Дмитрий Иоаннович Донской (Из эпохи грозного века)	Исторический роман в 3-х частях	мужской	Приложение к журналу	СПб	[Журнал Родина]	1892	1892	arsenjev_knjaz
6	Безобразов П. В.	Безобразов, Павел Владимирович	Жених двух невест	Исторический роман	мужской	Отдельное издание	Москва	Типография А. И. Снегиревой	1894	1894	bezobrazov_zhenikh dvukh nevest
7	Березин В. П.	Березин, Владимир Петрович	Под чужим флагом	Роман в двух частях	мужской	Сборник	СПб	Типография М. М. Стасюлевича	1888	1888	berezin_pod chuzhim flagom
8	Березин В. П.	Березин, Владимир Петрович	Невольный грех	Роман в двух частях	мужской	Сборник	СПб	Типография М. М. Стасюлевича	1888	1888	berezin_nevolnyj grekh
9	Бибиков Виктор	Бибиков, Виктор Иванович	Чистая любовь	Роман	мужской	Отдельное издание	СПб	Книгоиздательство Герман Гоппе	1887	1887	bibikov_chistaja ljubov
10	Будищев Ал.	Будищев, Алексей Николаевич	Степь грезит	Роман	мужской	Отдельное издание	СПб	Книгоиздательство Освобождение	1912	1912	budischev_step grezit
11	Будищев Ал. Н.	Будищев, Алексей Николаевич	Бунт совести	Роман	мужской	Отдельное издание	СПб	"Издательское товарищество писателей; Типография СПб. Т-ва «Труд»"	1913	1909	budischev_bunt sovesti
12	Раменский Н.	Виноградов, Николай Иванович	Братья-изгои	Роман в 3-х частях	мужской	Отдельное издание	Москва	Т-во скороп. А.А. Левенсон	1895	1895	ramensky_bratja izgoi
13	Ге Г. Н.	Ге, Григорий Николаевич	Софья Малич (Между старым и новым)	Роман в четырех частях	мужской	Отдельное издание	СПб	Ф. Ф. Харринг	1888	1888	ge_sofja malich
14	Князь Д. П. Голицын - (Муравлин)	Голицын, Дмитрий Петрович	Тенор	Роман	мужской	Журнал	СПб	Типо-литография В.В. Комарова	1902	1885	golitsyn_tenor
15	Муравлин Дм. 	Голицын, Дмитрий Петрович	Хворь	Петербургская история	мужской	Отдельное издание	СПб	Типография газеты «Новости»	1886	1886	muravlin_khvor
16	Муравлин Дм. 	Голицын, Дмитрий Петрович	Около любви	na	мужской	Отдельное издание	СПб	Типография А. С. Суворина	1887	1887	muravlin_okolo ljubvi
17	Муравлин Дмитрий 	Голицын, Дмитрий Петрович	Баба	Роман	мужской	Отдельное издание	СПб	Типография С. Добродеева	1885	1885	golitsyn_baba
18	Головин К. Ф.	Головин, Константин Федорович	Язычники	Роман из современной жизни в двух частях	мужской	Отдельное издание	"СПб; Москва"	Т-во М. О. Вольф	1909	1907	golovin_jazychniki
19	Голота П.	Голота, Петр Иванович	Заруцкий, гетман войска Запорожского	Исторический роман из смтуных времен России 1606-1612 г. в двух частях.	мужской	Отдельное издание	Москва	Типография Т. Волкова и комп.	1857	1857	golota_zarutsky
20	Громов А. М.	Громов, Алексей Матвеевич	Девичьи сны	Роман	мужской	Отдельное издание	Москва	Тип. и цинк. т/д. «Мысль» Н.П. Меснянкин и К°	1915	1915	gromov_devichji sny
21	Дмитриев Д. С.	Дмитриев, Дмитрий Савватьевич	Полудержавный властелин	Исторический роман	мужской	Отдельное издание	Москва	Т-во И. Д. Сытина	1905	1905	dmitriev_poluderzhavny vlastelin
22	Евстигнеев М.	Евстигнеев, Михаил Евдокимович	Ведьма из-за Днепра, или Разбойник Соловей	Историческое повествование времен Василия Темного в 3-х частях	мужской	Отдельное издание	Москва	Книгопродавец Манухин	1872	1868	evstigneev_vedma
23	Зарин А. Е.	Зарин, Андрей Ефимович	Спирит	Роман в 6-ти главах	мужской	Отдельное издание	СПб	С.-Петербургская Электропечатня	1902	1902	zarin_spirit
24	Светлов Валериан	Ивченко, Валериан Яковлевич	Змея и чаша	Роман	мужской	Собрание сочинений	СПб	Т-во А. Ф. Маркс	1909	1909	svetlov_zmeja i chasha
25	Казанцев Н.	Казанцев, Николай Владимирович	Против течения	Исторический роман из времен Стеньки Разина. В четырех частях.	мужской	Отдельное издание	СПб	Типография т-ва «Общественная польза»	1881	1881	kazantsev_protiv techenija
26	Каменский Василий	Каменский, Василий Васильевич	Землянка	na	мужской	Отдельное издание	СПб	Типография т-ва «Общественная польза»	1911	1911	kamensky_zemljanka
27	Карпов Пимен	Карпов, Пимен Иванович	Пламень	Из жизни и веры хлеборобов	мужской	Отдельное издание	СПб	Союз	1914	1914	karpov_plamen
28	Киснемский С. П.	Киснемский, Семен Петрович	Предсказание ворожеи	Роман	мужской	Приложение к журналу	СПб	"А. А. Каспари; Книжный склад «Родины»"	1905	1905	kisnemsky_predskazanije vorozhei
29	Крашенинников Н.	Крашенинников, Николай Александрович	Дети	Роман в двух частях	мужской	Отдельное издание	Москва	Журнал «Русская мысль»	1908	1908	krasheninnikov_deti
30	Крашенинников Н.	Крашенинников, Николай Александрович	Амеля	История одной жизни, роман детства и юности 	мужской	Сборник	Москва	na	1915	1915	krasheninnikov_amelja
31	Круглов А. В.	Круглов, Александр Васильевич	Свои — чужие	Роман	мужской	Отдельное издание	Киев	Ф. А. Иогансон	1893	1891	kruglov_svoi chuzhije
32	Круглов А. В.	Круглов, Александр Васильевич	Мудрые и неразумные	Роман	мужской	Отдельное издание	Москва	Журнал «Светоч и Дневник писателя»	1913	1913	kruglov_mudryje i nerazumnyje
33	Крушеван Павел	Крушеван, Павел Александрович	Дело Артабанова	na	мужской	Отдельное издание	Москва	Т-во И. Н. Кушнерев и К°	1896	1896	krushevan_delo artabanova
34	Крыжановская В. И. (Рочестер)	Крыжановская, Вера Ивановна	Сим победиши! (In hoc singo vinces!)	Роман	женский	Отдельное издание	СПб	Книгоиздательское Товарищество	1914	1893	kryzhanovskaja_sim pobedishi
35	Кукольник Нестор	Кукольник, Нестор Васильевич	Две сестры	Эпизод из последней польской смуты. В трех частях	мужской	Отдельное издание	СПб	Типография Департамента уделов	1865	1865	kukolnik_dve sestry
36	Лаппо-Данилевская Н. А.	Лаппо-Данилевская, Надежда Александровна	Княжна Мара	Роман	женский	Отдельное издание	Пг	Тип. т-ва А.С. Суворина - «Новое время»	1916	1914	lappo_knjazhna mara
37	Лаппо-Данилевская Н. А.	Лаппо-Данилевская, Надежда Александровна	Долг жизни	Роман	женский	Отдельное издание	Пг	тип. П.П. Сойкина	1917	1917	lappo_dolg zhizni
38	Летнев П.	"Лачинова, Прасковья Александровна; Лачинова, Анна Александровна"	Современный недуг	Роман в трех частях	женский	Собрание сочинений	Киев	Ф. А. Иогансон	1894	1894	letnev_sovremennyj nedug
39	Летнев П.	"Лачинова, Прасковья Александровна; Лачинова, Анна Александровна"	Вне общественных интересов	Роман	женский	Отдельное издание	СПб.	Типография В. Тушнова	1874	1874	letnev_vne obschestvennykh interesov
40	Лухманова Н. А.	Лухманова, Надежда Александровна	В порыве страстей	короткий роман	женский	Сборник 	СПб	М. В. Попов	1897	1897	lukhmanova_v poryve strastei
41	Лухманова Н. А.	Лухманова, Надежда Александровна	Варя Бронина	короткий роман	женский	Сборник 	СПб	М. В. Попов	1897	1897	lukhmanova_varja bronina
42	Лухманова Н. А.	Лухманова, Надежда Александровна	Сибирский Риголетто	короткий роман	женский	Сборник 	СПб	М. В. Попов	1897	1897	lukhmanova_sibirsky rigoletto
43	К. В. М.	Мещерский, Владимир Петрович	Один из наших Бисмарков	Фантастический роман в трех частях	мужской	Отдельное издание	СПб.	Типография и литография А. Траншеля	1874	1873	meschersky_odin iz nashikh bismarkov
44	Князь В. Мещерский	Мещерский, Владимир Петрович	Недоразумение	Роман. III часть Продолжения романа «Женщины петербургского большого света»	мужской	Отдельное издание	СПб	Типография т-ва «Общественная польза»	1885	1885	meschersky_nedorazumenije
45	Князь В. Мещерский	Мещерский, Владимир Петрович	Курсистка	Повесть	мужской	Отдельное издание	СПб	Типография т-ва «Общественная польза»	1886	1886	meschersky_kursistka
46	Кн. В. П. Мещерский	Мещерский, Владимир Петрович	Письма от отца к сыну (старого правоведа к новому) и сына (министра) к отцу. (Из прошлого)	na	мужской	Отдельное издание	СПб	Типография кн. В. П. Мещерского	1897	1897	meschersky_pisma otsa
47	Минцлов С. Р.	Минцлов, Сергей Рудольфович	На заре века	Исторический роман из эпохи смутного времени	мужской	Отдельное издание	СПб	Всходы	1910	1901	mintslov_na zare
48	Минцлов С. Р.	Минцлов, Сергей Рудольфович	В грозу	Историческая повесть из эпохи Петра Великого	мужской	Собрание сочинений	СПб	Всходы	1910	1903	mintslov_v grozu
49	Минцлов С. Р.	Минцлов, Сергей Рудольфович	В лесах Литвы	Исторический роман	мужской	Сборник	СПб	К. Н. Кособрюхов	1911	1911	mintslov_v lesakh litvy
50	Минцлов С. Р.	Минцлов, Сергей Рудольфович	На крестах	Продолжение романа «В лесах Литвы»	мужской	Сборник	СПб	К. Н. Кособрюхов	1911	1911	mintslov_na krestakh
51	Нагродская Е.	Нагродская, Евдокия Аполлоновна	У бронзовой двери	Из неизданного романа	женский	Сборник	Пг	na	1913	1913	nagrodskaja_u bronzovoj dveri
52	Назарьева К. В.	Назарьева, Капитолина Валериановна	В тисках	Роман	женский	Сборник	СПб	Типография С. Добродеева	1889	1889	nazarjeva_v tiskakh
53	Назарьева К. В.	Назарьева, Капитолина Валериановна	Дорогой ценой	Роман	женский	Отдельное издание	СПб	Паровая скоропечатня Я. И. Либермана	1898	1898	nazarjeva_dorogoj tsenoj
54	Невежин П. М.	Невежин, Пётр Михайлович	Знаменитость	Роман	мужской	Собрание сочинений	СПб	Товарищество «Просвещение»	1909	1899	nevezhin_znamenitost
55	Новиков Ив.	Новиков, Иван Алексеевич	Из жизни духа	Роман	мужской	Отдельное издание	СПб	С. Скирмунт	1906	1906	novikov_iz zhizni dukha
56	Северова Н. Б.	Нордман-Северова, Наталья Борисовна	Крест материнства. Тайный дневник	Роман	женский	Отдельное издание	СПб	Типография А. С. Суворина	1904	1904	severova_krest materinstva
57	Красов М. И. (Л. Е. Оболенский)	Оболенский, Леонид Егорович	Два полюса	Роман	мужской	Отдельное издание	СПб	Типография Русская Скоропечатня (Э. К. Корево)	1885	1883	krasov_dva poljusa
58	Зео	Озмидова, Зинаида Константиновна	Три соперницы	Роман в 2-х частях	женский	Отдельное издание	Одесса	Типография «Новор. Телегр.»	1890	1889	zeo_tri sopernitsy
59	Окрейц	Окрейц, Станислав Станиславович	Старосветские помещики	Очерки западного края	мужской	Отдельное издание	СПб	Типография Е. Евдокимова	1885	1885	okrejts_starosvetskije pomeschiki
60	Окрейц С. С.	Окрейц, Станислав Станиславович	Преступник	Роман в двух частях	мужской	Отдельное издание	СПб	Типография Е. Евдокимова	1887	1887	okrejts_prestupnik
61	Пазухин Н.	Пазухин, Николай Михайлович	Блуждающий вечный жид	Роман в двух частях	мужской	Отдельное издание	Москва	Е. И. Коновалова	1907	1886	pazukhin_bluzhdajuschij vechnyj zhid
62	Позняков Н. И.	Позняков, Николай Иванович	Тайна	Роман	мужской	Отдельное издание	СПб	Типография Ю. Н. Эрлих	1886	1886	poznjakov_taina
63	Полевой П. Н.	Полевой, Петр Николаевич	Где бог и правда?	Историческая повесть	мужской	Приложение к журналу	СПб	Издание книжного склада «Родины»	1892	1892	polevoj_gde bog i pravda
64	Полевой П. Н.	Полевой, Петр Николаевич	На роковом просторе	Исторический роман	мужской	Приложение к журналу	СПб	"А. А. Каспари; Книжный склад «Родины»"	1898	1898	polevoj_na rokovom prostore
65	Северцев-Полилов Г. Т.	Полилов, Георгий Тихонович	Яд	Роман из жизни артистов-любителей	мужской	Отдельное издание	СПб	Типо-Литография «Герольд»	1905	1905	severtsev polilov_jad
66	Северцев-Полилов Г. Т.	Полилов, Георгий Тихонович	Проснулась женщина!	Повесть	мужской	Сборник	СПб	Прогресс	1910	1910	severtsev polilov_prosnulas zhenschina
67	Северцев-Полилов Г. Т.	Полилов, Георгий Тихонович	В погоню за славою и золотом	Роман из жизни оперной богемы	мужской	Сборник	СПб	Типография «Родник»	1911	1911	severtsev polilov_v pogone za slavoju i zolotom
68	Северцев-Полилов Г. Т.	Полилов, Георгий Тихонович	Слепая любовь	Роман	мужской	Сборник	СПб	Типография «Родник»	1912	1912	severtsev polilov_slepaja ljubov
69	Серафимович А.	Попов, Александр Серафимович	Город в степи	Роман	мужской	Собрание сочинений	СПб	Шиповник	1912	1912	serafimovich_gorod v stepi
70	Граф Амори	Рапгоф, Ипполит Павлович	Любовные похождения madame Вербицкой (Новая женщина)	na	мужской	Отдельное издание	СПб	Типо-Литография «Герольд»	1913	1913	amori_ljubovnyje pokhozhdenija
71	Рафалович Сергей	Рафалович, Сергй Львович	На весах справедливости	Комментарий к роману	мужской	Отдельное издание	СПб	Шиповник	1909	1909	rafalovich_na vesakh spravedlivosti
72	Рышков Виктор	Рышков, Виктор Александрович	В паутине	Землевладельческая эпопея	мужской	Сборник	СПб	Издатель	1898	1896	ryshkov_v pautine
73	Рышков Виктор	Рышков, Виктор Александрович	Женихи	Роман	мужской	Собрание сочинений	СПб	П. А. Картавов	1900	1900	ryshkov_zhenikhi
74	Граф Салиас	Салиас-де-Турнемир, Евгений Андреевич	Граф Тятин-Балтийский	Историческая повесть в двух частях	мужской	Отдельное издание	СПб	А. С. Суворин	1892	1891	salias_graf tjatin baltijskij
75	Салманов П. А.	Салманов, Петр Алексеевич	Убийца	Роман из русского оконченного дела: в трех частях, с прологом и эпилогом	мужской	Отдельное издание	СПб	П. Ш. 	1877	1877	salmanov_ubijtsa
76	Криницкий Марк	Самыгин, Михаил Владимирович	Молодые годы Долецкого	Роман	мужской	Отдельное издание	Москва	Польза» В. Антик и К°	1912	1912	krinitsky_molodyje gody doletskogo
77	Криницкий Марк	Самыгин, Михаил Владимирович	Час настал	Роман	мужской	Отдельное издание	Москва	Наши дни	1915	1915	krinitsky_chas nastal
78	Ренников А.	Селитренников, Андрей Митрофанович	Сеятели вечного	Сатирический роман	мужской	Отдельное издание	Пг	Типография Т-ва М. О. Вольф	1915	1912	rennikov_sejateli vechnogo
79	Семёнов Вл.	Семёнов, Владимир Иванович	Царица мира	Роман-фантазия	мужской	Отдельное издание	"СПб; Москва"	Т-во М. О. Вольф	1908	1908	semenov_tsaritsa mira
80	Симонова Л.	Симонова, Людмила Христофоровна	Убила	Роман	женский	Отдельное издание	СПб	Типография Ф. Елеонского и К°	1884	1884	simonova_ubila
81	Соколов А. А.	Соколов, Александр Алексеевич	Понизовая вольница атамана Стеньки Разина	Исторический роман	мужской	Отдельное издание	СПб	Типо-Литография И. И. Шмидта	1880	1880	sokolov_ponizovaja volnitsa
82	Соколов А. А.	Соколов, Александр Алексеевич	Белый генерал	Исторический роман	мужской	Отдельное издание	СПб	Книгопродавец Т. Ф. Кузин	1895	1888	sokolov_belyj general
83	Соколов Александр	Соколов, Александр Алексеевич	Старые и новые коммерсанты	Роман в 3-х частях	мужской	Отдельное издание	СПб	Типография Е. Евдокимова	1888	1888	sokolov_staryje i novyje kommersanty
84	Соколов А. А.	Соколов, Александр Алексеевич	Отец Алексей из Заозерья (Борьба сельского духовенства с мироедами)	Роман в трех частях	мужской	Приложение к журналу	СПб	Книжный склад «Родины»	1896	1894	sokolov_otets aleksej iz zaozerja
85	Соколова А. И.	Соколова, Александра Ивановна	На смену былому	Оригинальный роман	женский	Отдельное издание	СПб	Типография Е. Евдокимова	1890	1890	sokolova_na smenu bylomu
86	Филиппов М. А.	Филиппов, Михаил Авраамович	Рассвет	Роман	мужской	Отдельное издание	СПб	Типография А. Моригеровского	1873	1873	filippov_rassvet
