Source,Target,Weight,Type
Bancal des Issarts_1,Bancal des Issarts_2,6,undirected
Bancal des Issarts_1,Barère_1,3,undirected
Bancal des Issarts_1,Fauchet_2,3,undirected
Bancal des Issarts_2,Bancal des Issarts_1,6,undirected
Bancal des Issarts_2,Barère_1,3,undirected
Bancal des Issarts_2,Barère_2,1,undirected
Bancal des Issarts_2,Fauchet_1,4,undirected
Bancal des Issarts_2,Fauchet_2,1,undirected
Barère_1,Bancal des Issarts_1,3,undirected
Barère_1,Bancal des Issarts_2,3,undirected
Barère_1,Barère_2,6,undirected
Barère_2,Bancal des Issarts_2,1,undirected
Barère_2,Barère_1,6,undirected
Barère_2,Mirabeau_2,2,undirected
Baudeau_1,Baudeau_2,6,undirected
Baudeau_1,Clavière_1,3,undirected
Baudeau_1,Clavière_2,1,undirected
Baudeau_1,Lacretelle_2,3,undirected
Baudeau_1,Sieyès_1,2,undirected
Baudeau_2,Baudeau_1,6,undirected
Baudeau_2,Clavière_1,3,undirected
Baudeau_2,D'Alembert_2,1,undirected
Bergasse_1,Bergasse_2,6,undirected
Bergasse_1,Mercier_2,2,undirected
Bergasse_1,Sabatier de Castres_1,1,undirected
Bergasse_2,Bergasse_1,6,undirected
Bergasse_2,Brissot_2,1,undirected
Bergasse_2,Laclos_2,2,undirected
Bergasse_2,Talleyrand_1,4,undirected
Bonneville_1,Bonneville_2,6,undirected
Bonneville_1,Mercier_1,4,undirected
Bonneville_1,Mercier_2,3,undirected
Bonneville_2,Bonneville_1,6,undirected
Bonneville_2,Gouges_1,2,undirected
Bonneville_2,Gouges_2,4,undirected
Bonneville_2,Mercier_2,2,undirected
Brissot_1,Brissot_2,6,undirected
Brissot_1,D'Alembert_1,2,undirected
Brissot_1,D'Alembert_2,4,undirected
Brissot_1,Dupaty_1,3,undirected
Brissot_1,Dupaty_2,2,undirected
Brissot_1,Rabaut Saint-Étienne_2,1,undirected
Brissot_2,Bergasse_2,1,undirected
Brissot_2,Brissot_1,6,undirected
Brissot_2,D'Alembert_1,1,undirected
Brissot_2,D'Alembert_2,2,undirected
Carra_1,Carra_2,6,undirected
Carra_1,G1787_5_V4_seg_7_240_1,2,undirected
Carra_1,G1787_5_V4_seg_7_240_2,1,undirected
Carra_1,La Salle_1,1,undirected
Carra_1,Sabatier de Castres_1,1,undirected
Carra_1,Sabatier de Castres_2,1,undirected
Carra_2,Carra_1,6,undirected
Carra_2,Dusaulx_2,1,undirected
Carra_2,G1787_5_V4_seg_7_240_1,2,undirected
