Source,Target,Weight,Type
G1785_0_Preface_1,G1785_0_Preface_2,1206,undirected
G1785_0_Preface_1,G1785_1_Tableau_1,216,undirected
G1785_0_Preface_1,G1785_3_Troisième_1,91,undirected
G1785_0_Preface_1,Lacretelle_1,153,undirected
G1785_0_Preface_1,Mirabeau_1,86,undirected
G1785_0_Preface_1,Mirabeau_2,70,undirected
G1785_0_Preface_1,Sillery (Genlis Ch)_1,107,undirected
G1785_0_Preface_1,Sillery (Genlis Ch)_2,50,undirected
G1785_0_Preface_2,G1785_0_Preface_1,1206,undirected
G1785_0_Preface_2,G1785_1_Tableau_1,225,undirected
G1785_0_Preface_2,G1785_1_Tableau_2,27,undirected
G1785_0_Preface_2,G1785_3_Troisième_1,4,undirected
G1785_0_Preface_2,Marat_2,8,undirected
G1785_0_Preface_2,Mirabeau_1,8,undirected
G1785_0_Preface_2,Mirabeau_2,353,undirected
G1785_0_Preface_2,Mme Genlis_1,70,undirected
G1785_0_Preface_2,Sillery (Genlis Ch)_1,196,undirected
G1785_1_Tableau_1,G1785_0_Preface_1,216,undirected
G1785_1_Tableau_1,G1785_0_Preface_2,225,undirected
G1785_1_Tableau_1,G1785_1_Tableau_2,1206,undirected
G1785_1_Tableau_1,G1785_2_Second_1,167,undirected
G1785_1_Tableau_1,G1785_3_Troisième_1,372,undirected
G1785_1_Tableau_1,G1785_3_Troisième_2,95,undirected
G1785_1_Tableau_1,Garat_1,2,undirected
G1785_1_Tableau_1,Lacretelle_2,14,undirected
G1785_1_Tableau_1,Marat_2,53,undirected
G1785_1_Tableau_1,Rabaut Saint-Étienne_1,1,undirected
G1785_1_Tableau_2,G1785_0_Preface_2,27,undirected
G1785_1_Tableau_2,G1785_1_Tableau_1,1206,undirected
G1785_1_Tableau_2,G1785_2_Second_1,360,undirected
G1785_1_Tableau_2,G1785_3_Troisième_1,159,undirected
G1785_1_Tableau_2,G1785_3_Troisième_2,71,undirected
G1785_1_Tableau_2,Mirabeau_1,3,undirected
G1785_1_Tableau_2,Mirabeau_2,3,undirected
