"","author_short","gallica_link","title","year","author_bnf","publisher","format","source","bnf_cat","pages"
"1","Clavière","https://gallica.bnf.fr/ark:/12148/bpt6k6248566r","Discours de M. Clavière,... à la Société des amis de la Constitution, séante aux Jacobins Saint-Honoré, le 4 avril 1792","1792","Clavière, Étienne (1735-1793). Auteur du texte","impr. du Patriote français (Paris)","5 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb302486035","5 p."
"2","Condorcet","https://gallica.bnf.fr/ark:/12148/bpt6k1509370v","Bénissons le ministre bienfaisant qui nous délivre du double fléau des corvées, & des exacteurs de corvées...","1775","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","[S.l., 1775]","12 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30263754j","12 p."
"3","Condorcet","https://gallica.bnf.fr/ark:/12148/bpt6k15093696","Éloges des académiciens de l'Académie royale des sciences morts depuis 1666 jusqu'en 1699 , par le marquis de Condorcet,...","1773","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","hôtel de Thou (Paris)","168 p. ; in-12","both","https://catalogue.bnf.fr/ark:/12148/cb30263686w","168 p."
"4","Condorcet","https://gallica.bnf.fr/ark:/12148/bpt6k1509358d","Lettres sur le commerce des grains , par M***","1774","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","Couturier (Paris)","In-8, 29 p.","both","https://catalogue.bnf.fr/ark:/12148/cb302637191","29 p."
"5","Condorcet","https://gallica.bnf.fr/ark:/12148/bpt6k73915n","Lettre d'un laboureur de Picardie, à M. N***, auteur prohibitif, à Paris / [par Condorcet]","1775","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","[s.n.]","51 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30263706p","51 p."
"6","Desmoulins","https://gallica.bnf.fr/ark:/12148/bpt6k1504858k","Les aristocrates aux abois, ou Correspondance d'un patriote de France avec un patriote Brabançon","1790","Desmoulins, Camille (1760-1794). Auteur du texte","[Paris, vers 1790]","8 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb39359260r","8 p."
"7","Desmoulins","https://gallica.bnf.fr/ark:/12148/bpt6k6220649j","Fragment de l'histoire secrete de la révolution,","1793","Desmoulins, Camille (1760-1794). Auteur du texte","[Paris.] De l'Imprimerie patriotique et républicaine, rue Saint-Honoré, n°. 355, vis-à-vis l'Assomption [1793].","[2]-80 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb303333153","80 p."
"8","Desmoulins","https://gallica.bnf.fr/ark:/12148/bpt6k62593605","Discours de Camille Desmoulins, sur le parti que l'Assemblée nationale doit prendre relativement à la proposition de guerre, annoncée par le pouvoir exécutif ; prononcé à la Société, le 25 décembre 1791.","1791","Desmoulins, Camille (1760-1794). Auteur du texte","([Paris.] De l'Imprimerie du Patriote françois, place du Théâtre Italien [1791].)","23 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb303333095","23 p."
"9","Desmoulins","https://gallica.bnf.fr/ark:/12148/bpt6k6260273x","Discours de Camille Desmoulins, notable, au Conseil général de la Commune, dans la séance du 24 juillet, l'an 4 de la liberté ; sur la situation de la capitale . Imprimé par ordre de la Société.","1792","Desmoulins, Camille (1760-1794). Auteur du texte","([Paris.] De l'Imprimerie du Patriote françois, place du Théâtre Italien [1792].)","34 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30333299p","34 p."
"10","Desmoulins","https://gallica.bnf.fr/ark:/12148/bpt6k6261026w","aux citoyens des départemens, sur l'insurrection du 31 mai.","1793","Desmoulins, Camille (1760-1794). Auteur du texte","(A Troyes, de l'Imprimerie de Sainton, rue du Temple [1793].)","[2]-16 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb36441282p","16 p."
"11","Ducrest","https://gallica.bnf.fr/ark:/12148/bpt6k434567","Mémoire sur l'impôt, considéré dans ses rapports avec la constitution ([Reprod.]) par Charles-Louis Ducrest,...","1791","Ducrest, Charles-Louis (1747-1824). Auteur du texte","Maxwell","3 microfiches ; 105*148 mm","both","https://catalogue.bnf.fr/ark:/12148/cb372423104",NA
"12","Ducrest","https://gallica.bnf.fr/ark:/12148/bpt6k478925","Mémoire sur la meilleure manière de faire les élections dans une grande assemblée, et de ramener les opinions à une seule ([Reprod.]) par M. le marquis Ducrest","1789","Ducrest, Charles-Louis. Auteur du texte","Pergamon press","1 microfiche ; 105*148 mm","both","https://catalogue.bnf.fr/ark:/12148/cb372623665",NA
"13","Ducrest","https://gallica.bnf.fr/ark:/12148/bpt6k930504m","Nouveau système de navigation, ayant pour objet la liberté des mers pour toutes les nations, et la restauration immédiate de notre commerce maritime ... par M. Ducrest","1811","Ducrest, Charles-Louis (1747-1824). Auteur du texte","J. G. Dentu (Paris)","XVII-[1 bl.]-83 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb303665499","83 p."
"14","Ducrest","https://gallica.bnf.fr/ark:/12148/bpt6k6220363s","Vues nouvelles sur les courans d'eau, la navigation intérieure et la marine ; par C.-L. Ducrest","1803","Ducrest, Charles-Louis (1747-1824). Auteur du texte","Courcier (Paris) | Magimel (Paris) | F. Didot [etc.] (Paris)","XIV-211 p.-[1] p. de pl. : ill. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30366554w","211 p."
"15","Ducrest","https://gallica.bnf.fr/ark:/12148/bpt6k5865043w","Traité de la monarchie absolue et des véritables moyens pour opérer la libération de la France, garantir l'intégrité de son territoire et assurer le bonheur du peuple, par M. le Mis Ducrest,...","1816","Ducrest, Charles-Louis (1747-1824). Auteur du texte","au Bureau polymathique (Paris)","In-8° , 315 p.","both","https://catalogue.bnf.fr/ark:/12148/cb30366551v","315 p."
"16","Olympe de Gouges","https://gallica.bnf.fr/ark:/12148/bpt6k6505255m","Le Mariage inattendu de Chérubin, comédie en 3 actes et en prose / par Mme de Gouge","1788","Gouges, Olympe de (1748-1793). Auteur du texte","Cailleau (Séville)","111 p. ; in-8°","both","https://catalogue.bnf.fr/ark:/12148/cb30526951g","111 p."
"17","Olympe de Gouges","https://gallica.bnf.fr/ark:/12148/bpt6k9602961p","L'entrée de Dumourier à Bruxelles, ou Les vivandiers , pièce en cinq actes et en prose, par Olympe de Gouges, représentée sur le Théâtre de la République, rue de Richelieu, le janvier 1793, l'an deuxième de la République","1793","Gouges, Olympe de (1748-1793). Auteur du texte","Regnaud (Paris)","148 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30526939m","148 p."
"18","Olympe de Gouges","https://gallica.bnf.fr/ark:/12148/bpt6k6546469r","Oeuvres de madame de Gouges.... Tome premier","1788","Gouges, Olympe de (1748-1793). Auteur du texte","chez l'auteur (Paris) | chez Cailleau (Paris)","160-140-111 p. ; in-8°","both","https://catalogue.bnf.fr/ark:/12148/cb305269206","111 p."
"19","Laclos","https://gallica.bnf.fr/ark:/12148/bpt6k6480741q","De la Monarchie et du républicanisme (par P.-A.-F. Choderlos de Laclos)","1791","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","Impr. nationale (Paris)","In-8° , 20 p.","both","https://catalogue.bnf.fr/ark:/12148/cb302389989","20 p."
"20","Laclos","https://gallica.bnf.fr/ark:/12148/bpt6k63109521","Lettre à MM. de l'Académie françoise, sur l'éloge de M. le maréchal de Vauban, proposé pour sujet du prix d'éloquence de l'année 1787 (par P.-A.-F. Choderlos de Laclos)","1786","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","Durand neveu (Amsterdam ; et Paris)","In-8° , 48 p.","both","https://catalogue.bnf.fr/ark:/12148/cb302389629","48 p."
