"","link","author","Auteur","source"
"1","https://catalogue.bnf.fr/ark:/12148/cb302486035","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","both"
"2","https://catalogue.bnf.fr/ark:/12148/cb30263754j","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","both"
"3","https://catalogue.bnf.fr/ark:/12148/cb30263686w","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","both"
"4","https://catalogue.bnf.fr/ark:/12148/cb302637191","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","both"
"5","https://catalogue.bnf.fr/ark:/12148/cb30263706p","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","both"
"6","https://catalogue.bnf.fr/ark:/12148/cb39359260r","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","both"
"7","https://catalogue.bnf.fr/ark:/12148/cb303333153","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","both"
"8","https://catalogue.bnf.fr/ark:/12148/cb303333095","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","both"
"9","https://catalogue.bnf.fr/ark:/12148/cb30333299p","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","both"
"10","https://catalogue.bnf.fr/ark:/12148/cb36441282p","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","both"
"11","https://catalogue.bnf.fr/ark:/12148/cb372423104","Ducrest","Ducrest, Charles-Louis (1747-1824). Auteur du texte","both"
"12","https://catalogue.bnf.fr/ark:/12148/cb372623665","Ducrest","Ducrest, Charles-Louis. Auteur du texte","both"
"13","https://catalogue.bnf.fr/ark:/12148/cb303665499","Ducrest","Ducrest, Charles-Louis (1747-1824). Auteur du texte","both"
"14","https://catalogue.bnf.fr/ark:/12148/cb30366554w","Ducrest","Ducrest, Charles-Louis (1747-1824). Auteur du texte","both"
"15","https://catalogue.bnf.fr/ark:/12148/cb30366551v","Ducrest","Ducrest, Charles-Louis (1747-1824). Auteur du texte","both"
"16","https://catalogue.bnf.fr/ark:/12148/cb30526951g","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","both"
"17","https://catalogue.bnf.fr/ark:/12148/cb30526939m","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","both"
"18","https://catalogue.bnf.fr/ark:/12148/cb305269206","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","both"
"19","https://catalogue.bnf.fr/ark:/12148/cb302389989","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","both"
"20","https://catalogue.bnf.fr/ark:/12148/cb302389629","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","both"
"21","https://catalogue.bnf.fr/ark:/12148/cb337645744","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte | Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte | ","both"
"22","https://catalogue.bnf.fr/ark:/12148/cb30874428n","Manuel","Manuel, Louis-Pierre (1751-1793). Auteur du texte","both"
"23","https://catalogue.bnf.fr/ark:/12148/cb340651041","Manuel","Manuel, Louis-Pierre (1751-1793). Auteur du texte","both"
"24","https://catalogue.bnf.fr/ark:/12148/cb35945355r","Manuel","Manuel, Louis-Pierre (1751-1793). Auteur du texte","both"
"25","https://catalogue.bnf.fr/ark:/12148/cb308755521","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","both"
"26","https://catalogue.bnf.fr/ark:/12148/cb30875620p","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","both"
