Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb302486035;30248603;monographie;texte imprimé;Document numérique | NUMM-6248566 | ;1;Discours de M. Clavière,... à la Société des amis de la Constitution, séante aux Jacobins Saint-Honoré, le 4 avril 1792;Clavière, Étienne (1735-1793). Auteur du texte;;impr. du Patriote français (Paris);1792;;;;fre | français | ;"5 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb302486035;30248603;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB40-2261 | ;2;Discours de M. Clavière,... à la Société des amis de la Constitution, séante aux Jacobins Saint-Honoré, le 4 avril 1792;Clavière, Étienne (1735-1793). Auteur du texte;;impr. du Patriote français (Paris);1792;;;;fre | français | ;"5 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Document numérique | NUMS-100333420 | ;1;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/629 | ;2;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE 8-LB39-353 | ;3;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB39-353 | ;4;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES 8-LB39-353 | ;5;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | FB-17423 | ;6;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-8785 | ;7;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
http://catalogue.bnf.fr/ark:/12148/cb32952178x;32952178;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-8786 | ;8;"De la France et des États-Unis ou De l'importance de la révolution de l'Amérique pour le bonheur de la France, des rapports de ce royaume & des États-Unis, des avantages réciproques qu'ils peuvent retirer de leurs liaisons de commerce, & enfin de la situation actuelle des États-Unis. Par Étienne Claviere ; et J. P. Brissot de Warville";Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Clavière, Étienne (1735-1793). Auteur du texte | ;;Londres. 1787;1787;;Commerce extérieur -- 18e siècle | France -- 1774-1792 (Louis XVI) -- Commerce extérieur | États-Unis -- 1783-1789 (Confédération) -- Commerce extérieur | ;;fre | français | ;"1 vol. (XXIV-XLVIII-344 p.) ; in-8 + Errata p. 26";
