Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Document numérique | NUMM-1049746 | ;1;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Document numérique | NUMM-6471361 | ;2;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/7398 | ;3;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB39-3967 | ;4;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB39-3967 | ;5;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-6807 | ;6;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES-LC2-222 (VOL2) | ;7;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES P-Z-2681 (12, 10) | ;8;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-9622 (1) | ;9;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb308755521;30875552;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S88/7398 | ;10;"Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.";Marat, Jean-Paul (1743-1793). Auteur du texte;;[s.n.];1790;;France -- 1774-1792 (Louis XVI);;fre | français | ;"67 p. ; in-8";
