Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Document numérique | NUMM-6540436 | ;1;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/4316 | ;2;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB39-2107 (A) | ;3;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB39-2107 (A) | ;4;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-13272 (3) | ;5;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S88/4316 | ;6;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb359923312;35992331;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S88/4316 | ;7;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris, n° 62. 24 septembre 1789.;1789;;France (1774-1792, Louis XVI);;fre | français | ;"39 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Document numérique | NUMM-9774343 | ;1;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | S88/4315 | ;2;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB39-2107 | ;3;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-LB39-2107 | ;4;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-13396 (1) | ;5;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | RES 8-LB39-2107 | ;6;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | S88/4315 | ;7;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb31365936z;31365936;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | S88/4315 | ;8;Quelques idées de constitution, applicables a la ville de Paris en juillet 1789 . Par M. l'abbé Sieyes.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;A Versailles, chez Baudouin, imprimeur de l'Assemblée nationale, avenue de Paris n°. 62 [1789].;1789;;France (1774-1792, Louis XVI);;fre | français | ;"[2]-37 p. ; in-8";
http://catalogue.bnf.fr/ark:/12148/cb340289989;34028998;monographie;texte imprimé;Document numérique | NUMM-6443653 | ;1;Discours prononcé à la fête des 9 & 10 thermidor par le C.en Sieyes, président du Directoire exécutif.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;[S.l., 1799];1799;;France (1795-1799, Directoire);;fre | français | ;"4 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb340289989;34028998;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 4-LB42-2778 | ;2;Discours prononcé à la fête des 9 & 10 thermidor par le C.en Sieyes, président du Directoire exécutif.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;[S.l., 1799];1799;;France (1795-1799, Directoire);;fre | français | ;"4 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb32631345b;32631345;monographie;texte imprimé;Document numérique | NUMM-9774344 | ;1;Vues sur les moyens d'exécution dont les représentans de la France pourront disposer en 1789 [par Sieyès]. 2e édition;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;;1789;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb32631345b;32631345;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-Z LE SENNE-13396 (4) | ;2;Vues sur les moyens d'exécution dont les représentans de la France pourront disposer en 1789 [par Sieyès]. 2e édition;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;;1789;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb32631345b;32631345;monographie;texte imprimé;ARS | Arsenal | magasin | 8-H-9690 (2) | ;3;Vues sur les moyens d'exécution dont les représentans de la France pourront disposer en 1789 [par Sieyès]. 2e édition;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;;1789;;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb31365914n;31365914;monographie;texte imprimé;Document numérique | NUMM-6350795 | ;1;Discours du C.en Sieyes, président du Directoire exécutif, a la célébration de l'anniversaire du 10 août.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;(A Paris, de l'Imprimerie de la République. Thermidor an VII [août 1799].);1799;;France -- 1795-1799 (Directoire) | France (1795-1799, Directoire) | ;;fre | français | ;"6 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31365914n;31365914;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | P89/498 | ;2;Discours du C.en Sieyes, président du Directoire exécutif, a la célébration de l'anniversaire du 10 août.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;(A Paris, de l'Imprimerie de la République. Thermidor an VII [août 1799].);1799;;France -- 1795-1799 (Directoire) | France (1795-1799, Directoire) | ;;fre | français | ;"6 p. ; in-4";
http://catalogue.bnf.fr/ark:/12148/cb31365914n;31365914;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MFICHE LB42-2424 | ;3;Discours du C.en Sieyes, président du Directoire exécutif, a la célébration de l'anniversaire du 10 août.;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte;;(A Paris, de l'Imprimerie de la République. Thermidor an VII [août 1799].);1799;;France -- 1795-1799 (Directoire) | France (1795-1799, Directoire) | ;;fre | français | ;"6 p. ; in-4";
